# of Holes,Address,Club Type,Course Par,Location,Phone,Total Yards,Website,name,url
18,"https://www.google.com/maps/place/Box 246  Powassan,ON P0H 1Z0",Public,Par 70,"Powassan, ON",—,5338,https://www.highviewgolf.ca,Highview Golf Course,https://www.golfcanada.ca/golf-facility/highview-golf-course-en/
9,"https://www.google.com/maps/place/Highway 18, Box 628  Estavan,SK S4A 2H8",Public,Par 56,"Estavan, SK",(306) 634-7744,3498,https://hiddenvalleygolfandrv.com,Hidden Valley Golf Resort,https://www.golfcanada.ca/golf-facility/hidden-valley-golf-resort-en/
18,"https://www.google.com/maps/place/2400 Shore Road  Eastern Passage,NS B3G 1M4",Semi-private,Par 71,"Eastern Passage, NS",(902) 465-3128,6345,https://www.hartlenpoint.com,Hartlen Point Forces Golf Club,https://www.golfcanada.ca/golf-facility/hartlen-point-forces-golf-club-en/
18,"https://www.google.com/maps/place/5040 No. 6 Rd.  Richmond,BC V6V 1T1",Public,Par 71,"Richmond, BC",(604) 273-1121,6032,https://www.greenacresgolfcourse.com,Greenacres Golf Course,https://www.golfcanada.ca/golf-facility/greenacres-golf-course-en/
18,"https://www.google.com/maps/place/7620 Roblin Boulevard  Headingley,MB R4H 1A7",Private,Par 72,"Headingley, MB",(204) 895-7205,6752,,Breezy Bend Country Club,https://www.golfcanada.ca/golf-facility/breezy-bend-country-club-en/
18,"https://www.google.com/maps/place/P.O. Box 418  Birtle,MB R0M 0C0",Public,Par 68,"Birtle, MB",(204) 842-5364,5310,,Birtle Riverside Golf Club Inc.,https://www.golfcanada.ca/golf-facility/birtle-riverside-golf-club-inc-en/
18,"https://www.google.com/maps/place/General Delivery  Lindale,AB T0C 1W0",Public,Par 0,"Lindale, AB",(780) 542-3400,0,,Birchwood Village Greens,https://www.golfcanada.ca/golf-facility/birchwood-village-greens-en/
18,"https://www.google.com/maps/place/Box 609  Lac Du Bonnet,MB R0E 1A0",Public,Par 72,"Lac Du Bonnet, MB",(204) 345-4653,7082,https://www.granitehills.ca,Granite Hills Golf Club,https://www.golfcanada.ca/golf-facility/granite-hills-golf-club-en/
18,"https://www.google.com/maps/place/20511 McCormick Rd 20511 McCormick Rd Alexandria,ON K0C 1A0",Public,Par 72,"Alexandria, ON",(613) 525-2912,6441,https://www.glengarrygolf.ca,Glengarry Golf & Country Club,https://www.golfcanada.ca/golf-facility/glengarry-golf-country-club-en/
18,"https://www.google.com/maps/place/7800 Vivian Street  Vancouver,BC V5S 2V5",Public,Par 72,"Vancouver, BC",(604) 257-6923,6692,https://www.city.vancouver.bc.ca/parks/golf/fraserview/,Fraserview Golf Course,https://www.golfcanada.ca/golf-facility/fraserview-golf-course-en/
18,"https://www.google.com/maps/place/286 Forest Hills Lane  Cavendish,PE C0A 1N0",Public,Par 72,"Cavendish, PE",(902) 963-2887,5606,,Forest Hills Golf Course,https://www.golfcanada.ca/golf-facility/forest-hills-golf-course-en/
18,"https://www.google.com/maps/place/361 route 132,  Bonaventure (Gaspesie),QC G0C 1E0",Public,Par 72,"Bonaventure (Gaspesie), QC",4187523161,6215,https://www.agfauvel.com,Fauvel (Club de golf),https://www.golfcanada.ca/golf-facility/fauvel-club-de-golf-en/
36,"https://www.google.com/maps/place/1137 #1 Sideroad  Burlington,ON L7P 0T1",Semi-private,,"Burlington, ON",(905) 336-3660,,,Hidden Lake Golf Club,https://www.golfcanada.ca/golf-facility/hidden-lake-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 34 PO Box 34 Stephenville,NL A2N 2Y7",Public,Par 72,"Stephenville, NL",(709) 643-4322,6588,,Harmon Seaside Links,https://www.golfcanada.ca/golf-facility/harmon-seaside-links-en/
18,"https://www.google.com/maps/place/13300 Leslie St  Richmond Hill,ON L4E 1A2",Private,Par 72,"Richmond Hill, ON",(905) 888-9612,7079,,DiamondBack Golf Club,https://www.golfcanada.ca/golf-facility/diamondback-golf-club-en/
18,"https://www.google.com/maps/place/5235 Cedar Springs Rd  Burlington,ON L7P 0C1",Semi-private,Par 72,"Burlington, ON",(905) 335-2922,6258,,Burlington Springs Golf LTD.,https://www.golfcanada.ca/golf-facility/burlington-springs-golf-ltd-en/
18,"https://www.google.com/maps/place/53 Romeo Street North  Stratford,ON N5A 6S2",Semi-private,Par 71,"Stratford, ON",(519) 271-4212,6298,https://www.stratfordcountryclub.com,Stratford Country Club,https://www.golfcanada.ca/golf-facility/stratford-country-club-en/
18,"https://www.google.com/maps/place/99  Golf Course Road  Kenora,ON P9N 3X7",Semi-private,Par 72,"Kenora, ON",(807) 468-7995,6354,https://www.kenoragolf.com,Kenora Golf & Country Club,https://www.golfcanada.ca/golf-facility/kenora-golf-country-club-en/
—,"https://www.google.com/maps/place/7388 No. 6 Road  Richmond,BC V6W 1E1",Public,Par 65,"Richmond, BC",604 278-7500,4150,https://www.savagecreekgolf.com,Savage Creek Golf Course,https://www.golfcanada.ca/golf-facility/savage-creek-golf-course-en/
18,"https://www.google.com/maps/place/3425 Wood Hull Road 3425 Wood Hull Road London,ON N6P 1P2",Semi-private,Par 68,"London, ON",(519) 652-0407,5172,,Hickory Ridge Golf & Country Club,https://www.golfcanada.ca/golf-facility/hickory-ridge-golf-country-club-en/
18,"https://www.google.com/maps/place/2361 Lansdowne St W  Cavan Monaghan,ON K9J 6X4",Semi-private,Par 62,"Cavan Monaghan, ON",—,4063,https://www.heronlandinggolf.ca,Heron Landing Golf Club,https://www.golfcanada.ca/golf-facility/heron-landing-golf-club-en/
9,"https://www.google.com/maps/place/1137 Old Parry Sound Rd  Utterson,ON P0B 1M0",Public,Par 68,"Utterson, ON",(705) 385-2211,5508,,Diamond 'In The Ruff' Golf Club,https://www.golfcanada.ca/golf-facility/diamond-in-the-ruff-golf-club-en/
9,"https://www.google.com/maps/place/PO Box 147, Hwy 13  Carlyle,SK S0C 0R0",Public,Par 70,"Carlyle, SK",(306) 453-6344,5842,,Carlyle Golf Club,https://www.golfcanada.ca/golf-facility/carlyle-golf-club-en/
18,"https://www.google.com/maps/place/150 Route du Golf-du-Bic 150 Route du Golf-du-Bic Bic,QC G0L 1B0",Public,Par 72,"Bic, QC",(418) 736-5744,6434,https://www.clubdegolfbic.com,Bic sur Mer,https://www.golfcanada.ca/golf-facility/bic-club-de-golf-en/
18,"https://www.google.com/maps/place/PO Box 548 802 Highway #2 Stewiacke,NS B0N 2J0",Public,Par 72,"Stewiacke, NS",(902) 639-2127,6596,https://www.nsga.ns.ca/FOXHOLLOW/FH.HTM,Fox Hollow Golf Club,https://www.golfcanada.ca/golf-facility/fox-hollow-golf-club-en/
18,"https://www.google.com/maps/place/2015 Hillcrest Dr.  Swift Current,SK S9H 3V8",Semi-private,Par 72,"Swift Current, SK",(306) 773-9500,6842,,Elmwood Golf Club,https://www.golfcanada.ca/golf-facility/elmwood-golf-club-en/
9,"https://www.google.com/maps/place/200 Hermitage Rd. #31  Magog,QC J1X 0M7",Private,Par 71,"Magog, QC",(819) 843-6579,5871,,Hermitage Golf Club,https://www.golfcanada.ca/golf-facility/hermitage-golf-club-en/
18,"https://www.google.com/maps/place/1130 River Valley  Devon,AB T9G 1Z3",Public,Par 70,"Devon, AB",(780) 987-3477,5936,https://www.devongolf.ca,Devon Golf & Curling Club,https://www.golfcanada.ca/golf-facility/devon-golf-curling-club-en/
27,"https://www.google.com/maps/place/1 Heritage Pointe Drive, R.R.#  Heritage Pointe,AB T1S 4H1",Public,,"Heritage Pointe, AB",4032569192,,,Heritage Pointe Golf Club,https://www.golfcanada.ca/golf-facility/heritage-pointe-golf-club-en/
18,"https://www.google.com/maps/place/c/o TJ's Convenience Store  Hamiota,MB R0M 0T0",Public,Par —,"Hamiota, MB",(204) 764-2341,—,,Hamiota Golf Course,https://www.golfcanada.ca/golf-facility/hamiota-golf-course-en/
18,"https://www.google.com/maps/place/RR #1, Church Point  Digby Co.,NS B0W 1M0",Public,Par 71,"Digby Co., NS",(902) 769-2124,6157,https://www.claregolf.ca,Clare Golf & Country Club,https://www.golfcanada.ca/golf-facility/clare-golf-country-club-en/
18,L4E 3E6,Public,Par 72,"Richmond Hill, ON",905-773-1936,6342,,Bloomington Downs Golf Club,https://www.golfcanada.ca/golf-facility/bloomington-downs-golf-club-en/
18,S9V 1S6,Public,Par —,—,—,—,,Kelburn Golf and Conference Centre,https://www.golfcanada.ca/golf-facility/kelburn-golf-and-conference-centre-en/
18,"https://www.google.com/maps/place/1 Greensview Drive  Charlottetown,PE C1A6C3",Semi-private,Par 72,"Charlottetown, PE",(902) 566-5542,6602,https://www.belvederegolf.com,Belvedere Golf Club Inc,https://www.golfcanada.ca/golf-facility/belvedere-golf-club-inc-en/
27,"https://www.google.com/maps/place/20015 Old Hwy #2 20015 Old Hwy #2 Lancaster,ON K0C 1N0",Public,,"Lancaster, ON",613-347-3738,,https://www.heritagegolfandcountryclub.ca,Heritage Golf & Country Club,https://www.golfcanada.ca/golf-facility/heritage-golf-country-club-en/
18,"https://www.google.com/maps/place/2727 South Parkside Dr.  Lethbridge,AB T1K 0C6",Public,Par 70,"Lethbridge, AB",(403) 327-3652,6517,https://hendersonlakegolf.com,Henderson Lake Golf Club,https://www.golfcanada.ca/golf-facility/henderson-lake-golf-club-en/
18,"https://www.google.com/maps/place/Highway 10, PO Box 2606  The Pas,MB R9A 1M3",Public,Par —,"The Pas, MB",(204) 623-7541,—,,Halcrow Lake Golf and Country Club,https://www.golfcanada.ca/golf-facility/halcrow-lake-golf-and-country-club-en/
9,"https://www.google.com/maps/place/8547 Grassy Brook Rd., RR #1  Port Robinson,ON L0S 1K0",Semi-private,Par 72,"Port Robinson, ON",(866) 607-4653,7522,,Grand Niagara Golf Club,https://www.golfcanada.ca/golf-facility/grand-niagara-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 354  Duchess,AB T0J 0Z0",Public,Par 72,"Duchess, AB",(403) 378-4710,6350,,Duchess Golf Club,https://www.golfcanada.ca/golf-facility/duchess-golf-club-en/
36,"https://www.google.com/maps/place/2700 Audley Rd  Ajax,ON L1Z 1T7",Semi-private,,"Ajax, ON",—,,,Deer Creek Golf Club,https://www.golfcanada.ca/golf-facility/deer-creek-golf-club-en/
9,"https://www.google.com/maps/place/P.O. Box 1112  Big River,SK S0J 0E0",Public,Par —,"Big River, SK",(306) 479-7424,—,,Big River Golf Club,https://www.golfcanada.ca/golf-facility/big-river-golf-club-en/
18,"https://www.google.com/maps/place/436 Belle River Rd  South Woodslee,ON N0R 1V0",Semi-private,Par 72,"South Woodslee, ON",(519) 839-4372,6519,,Belleview Golf Club,https://www.golfcanada.ca/golf-facility/belleview-golf-club-en/
18,"https://www.google.com/maps/place/27 River Drive Box 423 Swan River,MB R0L 1Z0",Public,Par 72,"Swan River, MB",(204) 734-3935,6714,https://www.swanrivergolf.com,Swan River Golf & Country Club,https://www.golfcanada.ca/golf-facility/swan-river-golf-country-club-en/
18,"https://www.google.com/maps/place/803 Main Street  Grand Falls,NL A0H 1C0",Public,Par 71,"Grand Falls, NL",(709) 489-7631,6053,,Grand Falls Golf Club (NL),https://www.golfcanada.ca/golf-facility/grand-falls-golf-club-nl-en/
18,"https://www.google.com/maps/place/40 Clubhouse Lane  Hammonds Plains,NS B4A 1T4",Private,Par 72,"Hammonds Plains, NS",(902) 832-2973,6623,https://www.glenarbour.com,Glen Arbour Golf Club,https://www.golfcanada.ca/golf-facility/glen-arbour-golf-club-en/
18,"https://www.google.com/maps/place/1350 Mountain Road  Thunder Bay,ON P7J 1C2",Semi-private,Par 72,"Thunder Bay, ON",(807) 475-8925,6570,https://www.fwcc.ca,Fort William Country Club,https://www.golfcanada.ca/golf-facility/fort-william-country-club-en/
9,"https://www.google.com/maps/place/1590 Houston Ave  Innisfil,ON L9S 4M7",Semi-private,Par 70,"Innisfil, ON",(705) 456-2104,5422,https://www.bigcedargolf.com,Big Cedar Golf Club,https://www.golfcanada.ca/golf-facility/big-cedar-golf-club-en/
18,"https://www.google.com/maps/place/1110 Beach Dr. 1110 Beach Dr. Victoria,BC V8S 2M9",Private,Par 70,"Victoria, BC",(250) 598-4321,6156,https://www.victoriagolf.com,Victoria Golf Club,https://www.golfcanada.ca/golf-facility/victoria-golf-club-en/
36,"https://www.google.com/maps/place/3250 Joseph Howe Drive,  Halifax,NS B3L 4G1",Private,,"Halifax, NS",9024438260,,https://www.ashburngolfclub.com,Ashburn Golf Club,https://www.golfcanada.ca/golf-facility/ashburn-golf-club-en/
18,"https://www.google.com/maps/place/11660 Guelph Line  Campbellville,ON L0P 1B0",Public,Par 70,"Campbellville, ON",—,5864,https://turtlecreekgolf.ca,Turtle Creek Golf Club,https://www.golfcanada.ca/golf-facility/turtle-creek-golf-club-en/
18,"https://www.google.com/maps/place/75 DE LA CITADELLE AVE  Gatineau,QC J8Z 3L1",Private,Par 70,"Gatineau, QC",(819) 770-5557,5755,https://www.clublink.ca,Hautes Plaines Golf Club,https://www.golfcanada.ca/golf-facility/hautes-plaines-golf-club-en/
36,"https://www.google.com/maps/place/1717 Bear Hill Road, R.R. 2  Carp,ON K0A 1L0",Semi-private,,"Carp, ON",—,,,Greensmere Golf & Country Club,https://www.golfcanada.ca/golf-facility/greensmere-golf-country-club-en/
18,"https://www.google.com/maps/place/161 Rue du Golf Street  Landry Office,NB E8P 2G6",Semi-private,Par 72,"Landry Office, NB",(506) 727-3577,6156,https://www.golfpokemouche.com,Golf Pokemouche,https://www.golfcanada.ca/golf-facility/golf-pokemouche-en/
18,"https://www.google.com/maps/place/8630 Montée Ryan  Mont-Tremblant,QC J8E 1S5",Public,Par 72,"Mont-Tremblant, QC",(819) 681-2000,6717,https://www.tremblant.ca,Géant (Le) - Station Mont-Tremblant,https://www.golfcanada.ca/golf-facility/geant-le-station-mont-tremblant-en/
36,"https://www.google.com/maps/place/#651, Hwy 93/95, RR#3  Invermere,BC V0A 1K3",Public,,"Invermere, BC",(250) 341-3392,,https://www.copperpointgolf.com,Copper Point Golf Club,https://www.golfcanada.ca/golf-facility/copper-point-golf-club-en/
18,"https://www.google.com/maps/place/2121 Alaska Hwy  Dawson Creek,BC V1G 4E7",Public,Par 72,"Dawson Creek, BC",(250) 782-7882,6321,,Dawson Creek Golf Club,https://www.golfcanada.ca/golf-facility/dawson-creek-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 353 HIghway 16 Nampa,AB T0H 2R0",Public,Par —,"Nampa, AB",(403) 322-3977,—,,Heart River Golf Club,https://www.golfcanada.ca/golf-facility/heart-river-golf-club-en/
18,"https://www.google.com/maps/place/691 Brown Rd 691 Brown Rd Four Falls,NB E7H 5K3",Public,Par 72,"Four Falls, NB",(506) 273-9184,6304,https://www.avcc.ca,Aroostook Valley Country Club,https://www.golfcanada.ca/golf-facility/aroostook-valley-country-club-en/
18,"https://www.google.com/maps/place/Box 789  Riverton,MB R0C 2R0",Public,Par 72,"Riverton, MB",(204) 279-2072,6696,,Hecla Golf Course At Gull Harbour Resort,https://www.golfcanada.ca/golf-facility/hecla-golf-course-at-gull-harbour-resort-en/
45,"https://www.google.com/maps/place/P.O. Box 874  Orillia,ON L3V 6K8",Public,,"Orillia, ON",(705) 327-1610,,,Hawk Ridge Golf Club,https://www.golfcanada.ca/golf-facility/hawk-ridge-golf-club-en/
18,"https://www.google.com/maps/place/RR#5  P.O. Box 200  Winnipeg,MB R2C 2Z2",Public,Par 54,"Winnipeg, MB",(204) 222-2751,2308,https://www.winnipeg.ca,Harbour View Golf Course,https://www.golfcanada.ca/golf-facility/harbour-view-golf-course-en/
12,S7K 3J8,Public,,"Saskatoon, SK",—,,https://www.greenbryre.com,Greenbryre Golf & Country Club,https://www.golfcanada.ca/golf-facility/greenbryre-golf-country-club-en/
18,"https://www.google.com/maps/place/211 Chemin Girouardville  Bouctouche,NB E4S 3G6",Public,Par 72,"Bouctouche, NB",(506) 743-5251,6226,,Golf Bouctouche,https://www.golfcanada.ca/golf-facility/golf-bouctouche-en/
18,"https://www.google.com/maps/place/B985 Thorah Concession #3, RR1  Beaverton,ON L0K 1A0",Public,Par 35,"Beaverton, ON",(705) 426-4222,5356,,Beaverton Golf Course,https://www.golfcanada.ca/golf-facility/beaverton-golf-course-en/
18,R0J 0G0,Public,Par —,—,—,—,,Binscarth Golf Club,https://www.golfcanada.ca/golf-facility/binscarth-golf-club-en/
18,"https://www.google.com/maps/place/8562 Townsend Line  Arkona,ON N0N 1J0",Semi-private,Par 68,"Arkona, ON",1-888-833-8787,5308,https://www.arkonafairways.com,Arkona Fairways Golf Club,https://www.golfcanada.ca/golf-facility/arkona-fairways-golf-club-en/
18,"https://www.google.com/maps/place/1860 Greywolf Drive  Panorama,BC V0A 1T0",Public,Par 72,"Panorama, BC",(250) 341-4103,7140,https://www.greywolfgolf.com,Greywolf Golf Course,https://www.golfcanada.ca/golf-facility/greywolf-golf-course-en/
18,"https://www.google.com/maps/place/2699 Durham Road 30  Stouffville,ON L4A 7X4",Private,Par 72,"Stouffville, ON",(905) 642-4416,6800,https://www.granitegolfclub.ca,Granite Golf Club,https://www.golfcanada.ca/golf-facility/granite-golf-club-en/
9,"https://www.google.com/maps/place/6190 MARINE DR  West Vancouver,BC V7W 2S3",Public,Par 70,"West Vancouver, BC",(604) 921-7353,5336,,Gleneagles Golf Course,https://www.golfcanada.ca/golf-facility/gleneagles-golf-course-en/
18,"https://www.google.com/maps/place/570 Victoria Street  Edmundston,NB E3V 3K9",Public,Par 73,"Edmundston, NB",(506) 735-7266,6694,https://www.golfedmundston.com,Fraser Edmundston Golf Club,https://www.golfcanada.ca/golf-facility/fraser-edmundston-golf-club-en/
18,"https://www.google.com/maps/place/5500 BC-22A  Trail,BC V1R 4L5",Public,Par 72,"Trail, BC",(250) 693-2366,6584,https://www.birchbankgolf.com,Birchbank Golf Course,https://www.golfcanada.ca/golf-facility/birchbank-golf-course-en/
18,"https://www.google.com/maps/place/930 Ardmore Dr  North Saanich,BC V8L 5G1",Public,Par 70,"North Saanich, BC",(250) 656-4621,5448,https://www.ardmoregolfcourse.com,Ardmore Golf Club,https://www.golfcanada.ca/golf-facility/ardmore-golf-club-en/
27,"https://www.google.com/maps/place/R.R. #4 #969 Conc. 4  Simcoe,ON N3Y 4K3",Public,,"Simcoe, ON",(519) 426-3308,,https://www.greensatrenton.com,Greens At Renton,https://www.golfcanada.ca/golf-facility/greens-at-renton-en/
18,"https://www.google.com/maps/place/1, Chemin du Golf  Grand-Mère,QC G9T 5K8",Semi-private,Par 70,"Grand-Mère, QC",(819) 538-3560,6381,https://www.golfgrandmere.com,Grand-Mère (Club de golf),https://www.golfcanada.ca/golf-facility/grand-mere-club-de-golf-en/
36,"https://www.google.com/maps/place/9500 Montée Ste-Henriette  Mirabel,QC J7J 2A1",Semi-private,,"Mirabel, QC",(450) 475-6208,,https://www.golf-glendale.com,Glendale (Club de golf),https://www.golfcanada.ca/golf-facility/glendale-club-de-golf-en/
18,"https://www.google.com/maps/place/167 Kinlock Rd  Stratford,PE C1B 1J7",Public,Par 72,"Stratford, PE",(902) 569-4653,6836,https://www.foxmeadow.pe.ca,Fox Meadow Golf & Country Club,https://www.golfcanada.ca/golf-facility/fox-meadow-golf-country-club-en/
18,"https://www.google.com/maps/place/6201 Country Club Rd.  Edmonton,AB T6M 2J6",Public,Par 71,"Edmonton, AB",(780) 448-1333,6924,https://www.edmontoncountryclub.com,Edmonton Country Club,https://www.golfcanada.ca/golf-facility/edmonton-country-club-en/
18,"https://www.google.com/maps/place/22555 Telegraph Trail  Langley City,BC V1M 3S3",Public,Par 70,"Langley City, BC",(604) 888-2393,6416,https://www.wcgg.ca,Belmont Golf Course,https://www.golfcanada.ca/golf-facility/belmont-golf-course-en/
18,T0C 0P0,Public,Par —,—,—,—,,Big Tee Golf RV Park & Motel,https://www.golfcanada.ca/golf-facility/big-tee-golf-rv-park-motel-en/
18,"https://www.google.com/maps/place/443 Golf Club Rd. 443 Golf Club Rd. Hillsborough,NB E4H 2T9",Public,Par 72,"Hillsborough, NB",(506) 734-6000,6120,https://www.hillsboroughgolfclub.com,Hillsborough Golf Club,https://www.golfcanada.ca/golf-facility/hillsborough-golf-club-en/
18,"https://www.google.com/maps/place/Box 634  Hearst,ON P0L 1N0",Public,Par 72,"Hearst, ON",(705) 362-5529,6472,https://www.hearstgolfclub.ca,Hearst Golf Club,https://www.golfcanada.ca/golf-facility/hearst-golf-club-en/
18,"https://www.google.com/maps/place/445 Thunderbird Way  Greenwood,NS B0P 1N0",Semi-private,Par 69,"Greenwood, NS",902-765-5800,5665,,Greenwood Golf Club,https://www.golfcanada.ca/golf-facility/greenwood-golf-club-en/
18,"https://www.google.com/maps/place/1123 West Richards St, Box 141 1123 West Richards St, Box 141 Nelson,BC V1L 5P7",Semi-private,Par 71,"Nelson, BC",(250) 352-5913,5984,https://www.granitepointe.ca,Granite Pointe Golf Course,https://www.golfcanada.ca/golf-facility/granite-pointe-golf-course-en/
18,"https://www.google.com/maps/place/1231 Ste Catherine Quest  Montreal,QC H3G 1P5",Public,Par —,"Montreal, QC",—,—,,Golf Town Golf Club of Quebec,https://www.golfcanada.ca/golf-facility/golf-town-golf-club-of-quebec-en/
18,"https://www.google.com/maps/place/RR#4 11742 Tenth Line  Georgetown,ON L7G 2L7",Public,Par 71,"Georgetown, ON",(905) 877-6011,6253,https://eagleridge.clublink.ca,Georgetown Golf Club,https://www.golfcanada.ca/golf-facility/georgetown-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 87  Coleville,SK S0L 0K0",Public,Par —,"Coleville, SK",(306) 965-2703,—,,Coleville Golf Club,https://www.golfcanada.ca/golf-facility/coleville-golf-club-en/
9,"https://www.google.com/maps/place/Yellowhead Hwy  Churchbridge,SK S0A 0M0",Public,Par 68,"Churchbridge, SK",(306) 896-2806,5430,,Antler Acres Golf Club,https://www.golfcanada.ca/golf-facility/antler-acres-golf-club-en/
18,"https://www.google.com/maps/place/PO Box 554  Luseland,SK S0L 2A0",Public,Par —,"Luseland, SK",—,—,,Bel Acres Golf Club,https://www.golfcanada.ca/golf-facility/bel-acres-golf-club-en/
18,"https://www.google.com/maps/place/RR#2, 1910 Roseville Road  Cambridge,ON N1R 5S3",Public,Par 70,"Cambridge, ON",(519) 623-8811,5433,,Grand Valley Golf & Country Club,https://www.golfcanada.ca/golf-facility/grand-valley-golf-country-club-en/
27,"https://www.google.com/maps/place/2 Route 365  Pont-Rouge,QC G3H 3R4",Public,,"Pont-Rouge, QC",(418) 873-2000,,,Grand Portneuf (Club de golf),https://www.golfcanada.ca/golf-facility/grand-portneuf-club-de-golf-en/
9,"https://www.google.com/maps/place/Box 70  Glenboro,MB R0K 0X0",Public,Par 72,"Glenboro, MB",(204) 827-2856,6462,,Glenboro Golf & Country Club,https://www.golfcanada.ca/golf-facility/glenboro-golf-country-club-en/
18,"https://www.google.com/maps/place/PO Box 309  High Level,AB T0H 1Z0",Public,Par 72,"High Level, AB",(780) 926-3005,6618,https://www.foxhavengolf.ca,Fox Haven Golf Club at High Level,https://www.golfcanada.ca/golf-facility/fox-haven-golf-club-at-high-level-en/
18,"https://www.google.com/maps/place/19605 Bloomfield Road  Blenheim,ON N0P1A0",Public,,"Blenheim, ON",—,,https://www.deerrungolfcourse.com,Deer Run Golf Course,https://www.golfcanada.ca/golf-facility/deer-run-golf-course-en/
18,"https://www.google.com/maps/place/PO Box 231  Davidson,SK S0G 1A0",Public,Par 0,"Davidson, SK",(306) 567-4242,0,,Davidson Golf Club,https://www.golfcanada.ca/golf-facility/davidson-golf-club-en/
18,"https://www.google.com/maps/place/721 Route du Golf  Beauceville,QC G5X 2T8",Semi-private,Par 72,"Beauceville, QC",(418) 774-4141,6337,https://www.golfbeauceville.net,Beauceville (Club de golf),https://www.golfcanada.ca/golf-facility/beauceville-club-de-golf-en/
18,"https://www.google.com/maps/place/150 Youghall Drive  Bathurst,NB E2A 4X5",Public,Par 72,"Bathurst, NB",(506) 548-9469,6679,https://www.gowanbrae.ca,Gowan Brae Golf & Country Club,https://www.golfcanada.ca/golf-facility/gowan-brae-golf-country-club-en/
18,"https://www.google.com/maps/place/PO Box 1193  Cold Lake,AB T9M 1P3",Public,Par 72,"Cold Lake, AB",(780) 594-2121,6497,https://golf.coldlake.com,Grand Centre Golf & Country Club,https://www.golfcanada.ca/golf-facility/grand-centre-golf-country-club-en/
18,"https://www.google.com/maps/place/98 Glasgow Hills Drive  Hunter River,PE C0A 1N0",Public,Par 72,"Hunter River, PE",(902) 621-2200,6888,https://www.glasgowhills.com,Glasgow Hills Resort,https://www.golfcanada.ca/golf-facility/glasgow-hills-resort-en/
18,"https://www.google.com/maps/place/200 Deer Ridge Dr  Kitchener,ON N2P 2K5",Private,Par 72,"Kitchener, ON",(519) 650-2447,7215,https://www.deerridgegolfclub.com,Deer Ridge Golf Club,https://www.golfcanada.ca/golf-facility/deer-ridge-golf-club-en/
18,"https://www.google.com/maps/place/258 Lake Drive West  Ochre River,MB R0L 1K0",Public,Par 70,"Ochre River, MB",(204) 638-9400,6110,https://www.dauphinlakegolf.com,Dauphin Lake Golf Club,https://www.golfcanada.ca/golf-facility/dauphin-lake-golf-club-en/
9,"https://www.google.com/maps/place/1480 Old N. Thompson Hwy  Clearwater,BC V0E 1N2",Public,Par 72,"Clearwater, BC",778 372-9777,6012,https://www.wellsgraygolf.com,Civilia Golf,https://www.golfcanada.ca/golf-facility/civilia-golf-en/
18,S0G 0K0,Public,Par —,—,—,—,,Broadview Golf Club,https://www.golfcanada.ca/golf-facility/broadview-golf-club-en/
18,"https://www.google.com/maps/place/1150 Golf Club Road  Hawkesbury,ON K6A 2R2",Semi-private,Par 72,"Hawkesbury, ON",(613) 632-8506,6714,https://www.hawkesburygolfandcurling.com,Hawkesbury Golf & Curling Club,https://www.golfcanada.ca/golf-facility/hawkesbury-golf-curling-club-en/
18,"https://www.google.com/maps/place/11002-94th St.  Grande Prairie,AB T8V 1Y9",Public,Par —,"Grande Prairie, AB",(403) 539-9898,—,,Grovedale Golf Course,https://www.golfcanada.ca/golf-facility/grovedale-golf-course-en/
36,"https://www.google.com/maps/place/4999 BOUNDARY ROAD  Cumberland,ON K4B 1P5",Semi-private,,"Cumberland, ON",(613) 822-1454,,https://www.clublink.ca,Greyhawk Golf Club,https://www.golfcanada.ca/golf-facility/greyhawk-golf-club-en/
18,"https://www.google.com/maps/place/1005 Craigflower Rd.  Victoria,BC V9A 2X9",Private,Par 72,"Victoria, BC",(250) 383-6451,6820,https://www.gorgevalegolf.com,Gorge Vale Golf Club,https://www.golfcanada.ca/golf-facility/gorge-vale-golf-club-en/
54,"https://www.google.com/maps/place/500 Doon Valley Dr  Kitchener,ON N2P 1B4",Public,,"Kitchener, ON",(519) 741-2710,,,Doon Valley Golf Course,https://www.golfcanada.ca/golf-facility/doon-valley-golf-course-en/
18,"https://www.google.com/maps/place/7465 Dale Rd  Cobourg,ON K9A 4J7",Semi-private,Par 71,"Cobourg, ON",(905) 885-8144,6722,https://www.dalewood.ca,Dalewood Golf Club,https://www.golfcanada.ca/golf-facility/dalewood-golf-club-en/
18,"https://www.google.com/maps/place/40, Chemin de l'Équerre 40, Chemin de l'Équerre Baie-St-Paul,QC G3Z 2Y7",Public,Par 72,"Baie-St-Paul, QC",(418) 435-2117,6218,https://www.golfbsp.com,Baie Saint-Paul (Club de golf),https://www.golfcanada.ca/golf-facility/baie-saint-paul-club-de-golf-en/
18,"https://www.google.com/maps/place/2587 Lakeshore Road  Bright's Grove,ON N0N 1C0",Semi-private,Par 72,"Bright's Grove, ON",(519) 869-4231 ext.230,6518,https://www.huronoaks.com,Huron Oaks,https://www.golfcanada.ca/golf-facility/huron-oaks-en/
