addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,note,website,phone,material,check_date,opening_hours,addr:country,source,source:date,operator,wikidata,golf,landuse,ownership,sport,access,contact:website,surface,golf:course,area,fixme,name:en,description,wikipedia,golf:par,ele,gnis:feature_id,type,club,old_name,alt_name,start_date,contact:phone,area_m2,lat,lon,province,gcid
Charlotte,11120,28277,,Ballantyne Crossing Avenue,Ballantyne Country Club,,https://www.ballantyneclub.com/,704-544-1404,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,841388.0415734741,35.0484838831102,-80.84895177512081,North Carolina,NC00068
Shelby,210,28150,,Deer Brook Drive,Deer Brook Golf Club,,http://www.deerbrookgolf.net/,+1 704 482 4653,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,841095.9034449675,35.3416463146187,-81.49405634696583,North Carolina,NC00061
Wake Forest,1250,27587,,Heritage Club Avenue,The Heritage Club,,https://www.playheritagegolf.com/,+1 919 453 2020,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,841027.41898896,35.95234757869854,-78.49586999213696,North Carolina,NC00146
Southern Pines,48,28387,,Talamore Drive,Talamore Golf Club,,https://talamoregolfresort.com/,+1 800 552 6292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833208.8329005247,35.206219888817365,-79.40925356424854,North Carolina,NC00328
Tarboro,2681,27886,,US 258,The Links at Cotton Valley,,http://www.thelinksatcottonvalley.com/,+1 252 824 0818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830424.1420100896,35.87025428264783,-77.5454596764918,North Carolina,NC00382
,,,,,Elk River Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821303.129974486,36.15714210442567,-81.89553433599494,North Carolina,NC00448
Mocksville,2251,27028,,Highway 64 East,Lake Louise Golf Club,,http://www.lakelouisegolfclubnc.com/,336-998-8746,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,821227.5287684776,35.88988343998475,-80.48510721592335,North Carolina,NC00081
Gastonia,530,28054,NC,Niblick Drive,Catawba Creek Golf Course,,https://www.cityofgastonia.com/catawba-creek-golf-course.html,,,,,,,,City of Gastonia,,,,municipal,,,,,,,,,,,,,,,,,,,,820039.8870436184,35.23838151936088,-81.17849142455273,North Carolina,NC00436
Wilson,3201,27893,,Old Stantonsburg Road,Wedgewood Golf Course,,https://www.wilsonnc.org/parks-and-recreation/wedgewood-golf-course/,+1 252 237 4761,,,,,NCOnemap,,,,,,municipal,,,,,,,,,,,,,,,,,,,,814923.9140866352,35.6825185989301,-77.87618920561125,North Carolina,NC00240
,,,,,Landfall Country Club Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,811277.6124770865,34.24396286680866,-77.80617944710173,North Carolina,NC00191
Roaring Gap,1288,28668,NC,Country Club Road,High Meadows Golf & Country Club,,https://highmeadowscountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,809851.5977527907,36.4058390734991,-80.99984816937709,North Carolina,NC00202
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808177.4408795893,34.75488328660165,-79.41268460052882,North Carolina,NC00321
,,,,,The Pines Course,,,,,,,,,,Country Club of Whispering Pines,,,,,,,,,,,,,,,,,,multipolygon,,,,,,806146.0555281474,35.25293522661272,-79.37524905435357,North Carolina,NC00096
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,804063.5159644125,35.11866884174481,-83.13485810734122,North Carolina,NC00209
,,,,,Northgreen Country Club Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800593.839073859,35.988531453429296,-77.79739021972333,North Carolina,NC00266
,,,,,Pinehurst Course No.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799160.7432078911,35.179230284027376,-79.46036027033611,North Carolina,NC00275
Raleigh,9400,27617,,Club Hill Drive,Brier Creek Country Club,,https://www.briercreekcc.com/,+1 919 206 4600,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,798194.1667050365,35.90978503454378,-78.79899974464297,North Carolina,NC00139
Charlotte,5504,28227,NC,Lebanon Road,Pine Lake Country Club,,https://www.pinelakecountryclub.com/,+1-704-545-4513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795657.8167167741,35.163017443992096,-80.68390100477305,North Carolina,NC00355
Lincolnton,2052,28092,,Country Club Road,Lincoln Country Club,,http://www.lincolncountryclub.net/,+1 704 735 1382,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,794493.5180060194,35.465978464960415,-81.22212883323604,North Carolina,NC00176
,,,,,Tanglewood Championship Course,,,,,,,,,,Tanglewood Park,,,,,,,,,,,,,,,,,,,,,,,,793886.2212162131,35.99176206001432,-80.40944740131283,North Carolina,NC00458
,,,,,Country Club of Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,793070.2527879798,35.641470856511894,-82.5528745914595,North Carolina,NC00055
Mooresville,185,28117,,Mallard Way,Mallard Head Country Club,,http://www.mallardheadcc.com/,+1 704 664 7031,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,791029.3586819291,35.5644618792425,-80.89438342302992,North Carolina,NC00160
Spring Lake,125,28390,,Whispering Pines Drive,Anderson Creek Club,,http://www.andersoncreekgolf.com/,+1 910 814 2115,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,790888.6147881427,35.29032362992365,-78.97011042626322,North Carolina,NC00116
Sapphire,127,28774,,Cherokee Trail,The Country Club of Sapphire Valley,,https://sapphirevalley.com/Red_Bird_Golf.php,828-743-1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788802.3897561156,35.11664533816729,-83.05036681673543,North Carolina,NC00281
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786672.8873714224,35.25523104418909,-82.44439664073835,North Carolina,NC00479
Rutherfordton,1211,28139,,Meadowbrook Road,Meadowbrook Golf Club,,https://www.meadowbrookgolfclub.com/,+1 828 863 2690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785884.8591760171,35.232844809094416,-81.98326901118074,North Carolina,NC00361
,,,,,Pinehurst Course No. 9,,,,,,,,,,Pinehurst Resort,,,,,,,,,,,,,,,,,,multipolygon,,,,,,783657.9442704995,35.192781654179235,-79.43779813561567,North Carolina,NC00105
Chapel Hill,840,27517,,The Preserve Trail,The Preserve at Jordan Lake Golf Club,,http://www.thepreservegolf.com/,+1 919 542 5501,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,783170.818777241,35.78068779686155,-79.05630325873652,North Carolina,NC00128
Siler City,150,27344,,Country Club Drive,Siler City Country Club,,https://www.silercitycountryclub.com/,+1 919 742 3721,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,782810.6605913982,35.70189817628868,-79.46712621399637,North Carolina,NC00131
,,,,,Palmer,,,,,,,,,,Woodlake Resort and Country Club,,,,,,,,,,,,,,,,,,multipolygon,,,,,,780764.2767476648,35.22800606742991,-79.20877511054293,North Carolina,NC00115
Mocksville,224,27028,,Cornwallis Drive,Pudding Ridge Golf Club,,https://www.puddingridge.com/,+1 336 940 4653,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,779168.308582858,35.98305726144998,-80.55117992823777,North Carolina,NC00179
Clayton,918,27527,,Birkdale Drive,Neuse Golf Club,,https://www.clubcorp.com/Clubs/Neuse-Golf-Club/,+1 919 550 0550,,,,,,,,,tee,grass,,,,,,,,,,,,,,,multipolygon,,,,,,772664.3049419214,35.63808272470014,-78.39461452670956,North Carolina,NC00148
Mooresville,800,28115,,Golf Course Drive,Mooresville Golf Course,,http://mooresvillegolfcourse.com/,+1 704 663 2539,,,,,,,,,,,municipal,,,,,,,,,,,,,,multipolygon,,,Mooresville Municipal Golf Course,,,771821.7409416558,35.57429148539916,-80.83387424302379,North Carolina,NC00161
,,,,,Lochmere Golf Course,,,,,,,,,,,,,,,,,http://www.clubcorp.com/Clubs/Lochmere-Golf-Club/Amenities/Golf,,,,,,,,,,,,,,,,,770598.020743077,35.72306948862079,-78.76845204411653,North Carolina,NC00277
,,,,,Lake Course,,,,,,,,,,Carolina Trace Country Club,,,,,,,,,,,,,,,,,,,,,,,,770519.8647953158,35.410761268033745,-79.11080011999891,North Carolina,NC00335
,,,,,Lake Course,,,,,,,,,,Carolina Trace Country Club,,,,,,,,,,,,,,,,,,,,,,,,770519.8647953158,35.410761268033745,-79.11080011999891,North Carolina,NC00334
,,,,,Linville Golf Club,,,,,,,,,,The Eseeola Lodge,,,,,,,,,,,,,,,,,,,,,,,,766943.8691604857,36.0574037599765,-81.86971306174475,North Carolina,NC00395
,,,,,South Course,,,,,,,,,,Forest Creek Golf Club,,,,,,,,,,,,,,,,,,multipolygon,,,,,,766037.4957729813,35.225701973251375,-79.41932127709177,North Carolina,NC00094
Charlotte,2415,28209,,Roswell Avenue,Myers Park Country Club,,https://www.myersparkcc.com/,+1 704 376 0741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761103.4135461355,35.17485834921083,-80.82990650269439,North Carolina,NC00250
Taylorsville,300,28681,,Golf Course Lane,Bushy Mountain Golf Club,,https://www.brushymountaingolf.com/,+1 828 632 4804,,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,759627.8976386711,35.91172815762756,-81.20945546441129,North Carolina,NC00367
Stoney Creek,911,27377,,Golf House Road,Stoney Creek Golf Club,,https://stoneycreekgolf.com/,+1 336 449 5688,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,758752.128824637,36.070405983211636,-79.602240431872,North Carolina,NC00134
Stoney Creek,911,27377,,Golf House Road,Stoney Creek Golf Club,,https://stoneycreekgolf.com/,+1 336 449 5688,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,758752.128824637,36.070405983211636,-79.602240431872,North Carolina,NC00135
Greensboro,5121,27410,,Hedrick Drive,The Farm,,https://www.greensborocc.org/,+1 336 288 3415,,,,,,,Greensboro Country Club,,,,,,,,,,,,,,,,,,,,,,,,758468.3960640542,36.151864135338656,-79.88469579189211,North Carolina,NC00295
,,,,,Pinehurst No. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757702.3741512032,35.186825107850254,-79.45763826797418,North Carolina,NC00433
,,,,,Jacksonville Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755984.5368015373,34.77419915894382,-77.3769712464982,North Carolina,NC00484
,,,,,Champion Hills,,https://www.championhills.com/,+1 800 633 5122,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,755954.8568613288,35.29058321623558,-82.5190878033031,North Carolina,NC00168
Jefferson,184,28640,NC,West Landing Drive,Jefferson Landing,,https://www.visitjeffersonlanding.com/,,,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,754228.851227668,36.411767105061436,-81.41775516739655,North Carolina,NC00411
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753269.5180722083,35.85790620820599,-79.8973559689824,North Carolina,NC00243
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751979.7326764277,36.115634516545185,-75.81665513132154,North Carolina,NC00461
Bald Head Island,301,28461,NC,South Bald Head Wynd,Bald Head Island Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,yes,,,,,751957.0719756997,33.86382627104423,-77.9993296413699,North Carolina,NC00221
Statesville,635,28625,,Deauville Road,Statesville Country Club,,https://statesvillecc.com/,704-873-7240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747172.5080321536,35.79036970303049,-80.81832611988627,North Carolina,NC00303
,,,,,Old Town Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744609.3411993602,36.12700874387761,-80.269930040553,North Carolina,NC00236
,,,,,Unknown Golf Course,,https://bragg.armymwr.com/us/bragg/programs/stryker-golf-course,+1 910 396 3980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741940.1596010774,35.126464598630015,-78.9662795125218,North Carolina,NC00329
,,,,,Lake Winds Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741133.4387494781,36.213497080034976,-78.90765905034115,North Carolina,NC00438
Linville,700,28646,NC,Ridge Drive,Linville Ridge,,https://www.linvilleridge.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,739236.075036634,36.10966733737711,-81.86330964445713,North Carolina,NC00197
Asheboro,5105,27205,,Old Lexington Road,Asheboro Country Club,,https://www.asheborocc.com/,800-697-2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739175.2594007005,35.725542683390664,-79.91952141694989,North Carolina,NC00310
,,,,,Eagles Chase Golf Club,,,,,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,739086.1969704409,35.078056752155035,-80.39486878676827,North Carolina,NC00429
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738255.5151517416,34.65353235856099,-78.53926450092446,North Carolina,NC00268
Fletcher,101,28732,NC,French Broad Lane,Broadmoor Golf Links,,,,,,Mo-Su 07:00-18:30,US,,,,,,,,,,http://broadmoorlinks.com/,,,,,,,,,,,multipolygon,,,,,+1 800 238-5795,737598.8576161137,35.417357817026215,-82.53307609136296,North Carolina,NC00196
Thomasville,7047,27360,NC,Colonial Club Drive,Colonial Country Club,,https://www.ccc-nc.com/,+1-336-472-7501,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,735559.3667094252,35.87650768040805,-80.03551321562995,North Carolina,NC00181
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735080.0672863353,34.70638407889884,-77.5946209783682,North Carolina,NC00476
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734496.677485864,34.734751298261884,-77.09330417498131,North Carolina,NC00471
,,,,,Magnolia,,,,,,,,,,Pinewild Country Club,,,,,,,,,,,,,,,,,,multipolygon,,,,,,731634.0028138955,35.20277034556638,-79.51095371132214,North Carolina,NC00092
,,,,,Carolina Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730497.3617891241,35.217763589355584,-80.8988084982965,North Carolina,NC00358
,,,,,Chapel Hill Country Club,,,,,,,,,,,,,,,,,,,18_hole,,,,,,,,,multipolygon,,,,,,725801.6082558939,35.91948007711631,-79.0100713732954,North Carolina,NC00193
,,,,,Chatuga Shores Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725778.5253058564,34.9985010692201,-83.81360098297303,North Carolina,NC00284
Caswell Beach,928,28465,NC,Caswell Beach Road,Oak Island Golf Club,,https://oakislandgolf.com/,+1-910-278-5275,,,,,,,,Q49001908,,,,,,,,,,,,,,,,,,,,,,,722564.7501718953,33.90524339475902,-78.06624422482885,North Carolina,NC00278
Monroe,2722,28110,,West Roosevelt Boulevard,Rolling Hills Country Club,,https://www.rollinghillscountryclub.org/,+1 704 289 4561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722517.7626897139,35.02281270883427,-80.57063550754575,North Carolina,NC00352
Monroe,2722,28110,,West Roosevelt Boulevard,Rolling Hills Country Club,,https://www.rollinghillscountryclub.org/,+1 704 289 4561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722517.7626897139,35.02281270883427,-80.57063550754575,North Carolina,NC00353
Pinehurst,1600,28374,NC,Morganton Road,Country Club of North Carolina - Cardinal,,https://www.ccofnc.com/public/home-597.html,+1-910-692-6565,,,,,,,Country Club of North Carolina,,,,,,,,,,,,,,,,,,multipolygon,,,,,,713858.6345350755,35.168138663330026,-79.44843409953704,North Carolina,NC00106
,6900,28027,,Bruton Smith Boulevard,Rocky River Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713718.1928143515,35.365987785812834,-80.69077584763103,North Carolina,NC00246
Southern Pines,1010,28387,,Midland Road,Mid Pines,,http://www.pineneedles-midpines.com/mid-pines/,+1 910 692 2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713274.5122794037,35.19213433646736,-79.39629780019011,North Carolina,NC00313
Asheboro,247,27205,,Pinewood Road,Pinewood Country Club,,https://www.pinewoodclub.com/,+1 336 629 4266,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,713105.768120388,35.61923877076131,-79.81758100675702,North Carolina,NC00086
Laurinburg,8000,28352,,Tartan Drive,Scotch Meadows Country Club,,https://www.scotchmeadowscountryclub.com/,+1 910 276 0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713098.8924740638,34.692067562032655,-79.50884423097249,North Carolina,NC00320
Sanford,5634,27332,,Quail Ridge Drive,Quail Ridge Golf Club,,https://www.quailridgegolfcourse.com/,+1 919 776 6623,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,710430.8671928721,35.39160303258157,-79.23692291898615,North Carolina,NC00123
Greensboro,1,27410,NC,Sam Sneed Drive,Starmount Forest Country Club,,https://www.starmountforest.com/,,,,,,,,,Q15726293,,,,,,,,,,,,,,,,,,,,,,,710151.03848381,36.07639789824259,-79.85273586353436,North Carolina,NC00403
,,,,,Carolina Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708899.3940668463,35.821149914491464,-78.65810429346963,North Carolina,NC00247
,,,,,Carolina Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708899.3940668463,35.821149914491464,-78.65810429346963,North Carolina,NC00248
,,,,,Pinehurst Course No. 6,,https://www.pinehurst.com/golf/courses/no-6/,,,,,,,,Pinehurst Resort,,,,,,,,,,,,,,,,,,multipolygon,,,,,,707031.9397825822,35.2183988500766,-79.43916934817399,North Carolina,NC00090
Southern Pines,115,28387,,Fairway Avenue,Hyland Golf Club,,https://www.hylandgolfclub.com/,+1 910 692 6400,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,705470.7621809522,35.20891245683098,-79.345561073339,North Carolina,NC00098
,,,,,Sandy Ridge Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699303.168148434,35.2262351848241,-78.53372852441251,North Carolina,NC00474
Wilmington,1518,,NC,Country Club Road,Cape Fear Country Club Golf Course,,,,,,,,,,Cape Fear Country Club,,,,,,,,,,,,,,,,,,,,,,,,699057.0610815965,34.21664827280317,-77.91982777141308,North Carolina,NC00386
Boone,433,28607,NC,Fairway Drive,Boone Golf Club,,https://www.boonegolfclub.com/,+1-828-264-8760,,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,697584.3906270146,36.19662769288561,-81.64557451017957,North Carolina,NC00262
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696914.6797702665,35.0879708607064,-83.15228374043392,North Carolina,NC00441
,,,,,Maples,,,,,,,,,,Woodlake Resort and Country Club,,,,,,,,,,,,,,,,,,multipolygon,,,,,,696062.0896000653,35.24505586292455,-79.19408133687622,North Carolina,NC00114
Shelby,3005,28151,,Longwood Drive,Riverbend YMCA Golf Club,,https://www.riverbendymcagolf.com/,+1 704 482 4286,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,694910.936692971,35.246961159376774,-81.58523659747223,North Carolina,NC00053
,,,,,Unknown Golf Course,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,693311.5945647347,35.36151256655896,-77.99907399468884,North Carolina,NC00316
Graham,1179,27253,,Challenge Drive,The Challenge Golf Club,,https://www.challengegolf.net/,+1 336 578 5070,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,692016.6898682314,36.07706906842013,-79.3644953280477,North Carolina,NC00132
Wilson,4509,27896,,Country Club Drive,Wilson Country Club,,https://www.wilsoncc.org/,+1 252 291 3815,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,688262.4904225804,35.78513127192498,-77.93925433121154,North Carolina,NC00184
,,,,,Holly,,,,,,,,,,Pinewild Country Club,,,,,,,,,,,,,,,,,,multipolygon,,,,,,686292.0227551835,35.19651095561631,-79.51670727431116,North Carolina,NC00091
,,,,,"Minnesott Golf, Yatch, and Country Club",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686189.6609659902,34.97815492341499,-76.81574190040608,North Carolina,NC00472
Newton,1154,28658,,Country Club Road,Catawba Country Club,,https://www.catawbacc.org/,828-294-3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682600.6947604122,35.65584383110959,-81.30203699903718,North Carolina,NC00299
Matthews,9750,28104,,Tournament Drive,Emerald Lake Golf Club,,https://www.emeraldlakegolfclub.com/,+1 704 882 7888,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,682512.1303287267,35.14126927769279,-80.61078686994415,North Carolina,NC00154
,,,,,Pinehurst Course No.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681518.0067303553,35.189754273379585,-79.4484813006568,North Carolina,NC00276
Maiden,245,28650,,Golf Course Road,Glen Oaks Golf Club,,http://www.glenoaksgolf.com/,+1 828 428 2451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675834.143668053,35.55748768931697,-81.21356796539547,North Carolina,NC00368
Raleigh,400,27610,NC,Donald Ross Drive,Raleigh Country Club,,https://www.raleighcc.com/,+1-919-231-5501,,,,,,,McConnell Golf,,,,,,,,,,,,,,,,,,,,,,,,675040.838225299,35.776338200203824,-78.59747503184717,North Carolina,NC00254
,,,,,Grey Fox,,,,,,,,,,Foxfire Resort & Golf Club,,,,,,,,,,,,,,,,,,multipolygon,,,,,,674878.2339143661,35.17118679220735,-79.56667478212961,North Carolina,NC00109
,,,,,Bermuda Run West,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,674489.3080141756,35.99298562754502,-80.43225205731336,North Carolina,NC00084
Four Oaks,585,27524,,Reedy Creek Road,Reedy Creek Golf Course,,https://www.reedycreekgolf.com/,+1 919 934 7502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674107.3201447405,35.48955541870821,-78.51574399650936,North Carolina,NC00348
Marvin,1108,28173,,Firethorne Club Drive,Firethorne Country Club,,https://www.clubcorp.com/Clubs/Firethorne-Country-Club/,+1-704-243-2433,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,673318.3294348146,35.00266508421058,-80.83181074617751,North Carolina,NC00073
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672238.3558794332,35.90042079316488,-80.10308178541884,North Carolina,NC00417
Charlotte,4100,28226,NC,Pineville-Matthews Road,Cedarwood Country Club,,https://www.cedarwoodcc.com/,704-542-0250,,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,672105.5778466366,35.09697542046733,-80.79413579700356,North Carolina,NC00264
Roaring Gap,729,28668,NC,Olde Beau Boulevard,Olde Beau Resort & Golf Club,,https://www.oldebeauresort.com/,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,667989.7487352823,36.41418930783828,-80.98695943376777,North Carolina,NC00203
,,,,,Highland Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667889.4945440576,35.043632682506946,-78.9113069079803,North Carolina,NC00238
Henderson,600,27536,,Hedrick Drive,Kerr Lake Country Club,,https://www.kerrlakecountryclub.com/,+1 252 492 1895,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,666396.2049140849,36.404415479044516,-78.3764648214733,North Carolina,NC00142
Burlington,1005,27217,,Indian Valley Drive,The Valley Golf Course,,https://www.burlingtonnc.gov/1309/Golf-Course,+1 336 584 7871,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,665341.7067091563,36.14016577552068,-79.44630326609173,North Carolina,NC00137
High Point,3400,27265,,North Centennial Street,Oak Hollow Golf Course,,https://www.oakhollowgc.com/,336-883-3260,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,664592.784363584,36.01099173384663,-79.99698384024576,North Carolina,NC00060
Seven Lakes,174,27376,,Devonshire Drive,7 Lakes Golf Club,,https://golf7lakes.com/,+1 910 673 4653,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,664428.7337139139,35.26619355683008,-79.56819582841204,North Carolina,NC00111
Fayetteville,904,28312,,Four Wood Drive,Baywood Golf Club,,https://www.baywoodgc.com/,+1 910 483 4330,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,663885.9090607398,35.06059738150321,-78.75769069266279,North Carolina,NC00152
Fayetteville,347,28311,,Shawcroft Road,King's Grant Golf and Country Club,,http://www.kingsgrantlife.com/,+1 910 630 1111,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,662913.5063912297,35.14476092130075,-78.88666989464696,North Carolina,NC00153
,,,,,Pine Burr Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662462.7746266495,35.36425012752098,-78.8136793745096,North Carolina,NC00350
Morehead City,2900,28557,,Country Club Road,Morehead City Country Club,,https://www.moreheadcitycc.com/,+1 252 726 4917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662461.3721734793,34.74436393996143,-76.74802155386345,North Carolina,NC00375
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,661705.4853680406,35.65102428023535,-80.44551790249739,North Carolina,NC00079
Mills River,88,28759,,Country Club Road,High Vista Golf Club,,https://www.highvistagolf.com/,+1 828-891-1986,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,660906.318644914,35.43013521586692,-82.58269483218233,North Carolina,NC00170
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,658996.1445538822,36.01072498111403,-79.88376693273838,North Carolina,NC00210
Roxboro,260,27574,,Club House Road,Roxboro Country Club,,http://www.roxborocountryclub.com/,+1 336 599 2332,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,658628.7533919234,36.452731658087096,-78.99705119774553,North Carolina,NC00140
Traphill,155,28685,NC,View Point Drive,Stone Mountain Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657461.4161876258,36.347923021943195,-81.0800551483326,North Carolina,NC00413
Newland,1,28657,NC,Club House Drive,Mountain Glen Golf Club,,https://www.mountainglengolfclub.com/,+1-828-733-5804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656712.4939106689,36.12713585688184,-81.93860423960525,North Carolina,NC00396
Marion,210,28752,,Blue Ridge Drive North,Linville Falls Golf Club,,https://www.linvillefallsgolfclub.com/,828-756-4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653193.3291195971,35.88653599120295,-81.93966794437803,North Carolina,NC00305
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,647605.7679283886,35.466596093293916,-82.99464275889396,North Carolina,NC00229
,,,,,Ryder Golf Course,,https://bragg.armymwr.com/us/bragg/programs/ryder-golf-course,+1 910 907 4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646803.7272593644,35.14271594293087,-78.98731784999711,North Carolina,NC00330
Denver,7494,28037,,Golf Course Road South,Westport Golf Club,,https://www.westportgc.com/,704-489-8088,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,646599.9231306948,35.50499046570151,-80.98714493554229,North Carolina,NC00066
