addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,phone,website,source,sport,addr:floor,check_date,internet_access,level,opening_hours,wheelchair,designation,old_name,alt_name,landuse,fixme,addr:country,golf:course,golf:par,operator,access,email,operator:type,umn:landuse,disused,gnis:feature_id,abandoned,addr:postbox,holes,addr:unit,description,wikidata,building:levels,operator:wikidata,surface,golf,ref,note,type,area,fax,start_date,wikipedia,area_m2,lat,lon,province,gcid
,,,,,Blueberry Pines Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654781.8785518843,46.794374339421616,-95.11709940863756,Minnesota,MN00360
Farmington,2830,55024,MN,220th Street West,Fountain Valley Golf Course,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,654360.4293544489,44.626981012245984,-93.12154723341264,Minnesota,MN00244
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,653827.2288910047,46.853693308555066,-95.04923678556446,Minnesota,MN00409
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,653827.2288910047,46.853693308555066,-95.04923678556446,Minnesota,MN00408
,,,,,Midland Hills Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651534.5022012368,45.003504796544554,-93.19646307179369,Minnesota,MN00080
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649669.6151497725,44.729202891149825,-93.48061162769764,Minnesota,MN00394
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,647637.6898852994,46.48503577796887,-95.08284881078097,Minnesota,MN00051
,,,,,Willow Creek Country Club,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646992.5661739027,43.94927432505523,-92.48604218984252,Minnesota,MN00143
Golden Valley,7001,55427,MN,Golden Valley Road,Golden Valley Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646858.8326578042,44.98885329133614,-93.36992456634741,Minnesota,MN00087
Cloquet,400,55720,,Country Club Drive,Cloquet Country Club,+1 218 879 7997,https://cloquetcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646065.4897076987,46.72327907300588,-92.48168681048773,Minnesota,MN00269
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644867.3871879523,45.5469623039871,-95.8609568695531,Minnesota,MN00456
New Prague,26826,56071,MN,Langford Avenue,Creeksbend Golf Course,+1-952-758-7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643998.3596900969,44.56193833563139,-93.50845853499409,Minnesota,MN00318
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640757.5313583752,46.407792636391825,-94.78688526241379,Minnesota,MN00252
Rochester,3100,55902,MN,Country Club Road SW,Rochester Golf & Country Club,+1 507 282 2708,https://www.rgcc.org/,NAIP,,,,,,,,,,Rochester Country Club,,,,,,,,info@rgcc.org,,,,,,,,,,,,,,,,,,,,,,638123.7209055121,44.01784006650523,-92.51115701514284,Minnesota,MN00108
,,,,,Lake Pepin Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638087.515576663,44.407264703927346,-92.18470939612789,Minnesota,MN00338
,,,,,Castle Highlands Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637509.126712677,47.609055139150215,-94.75223282914736,Minnesota,MN00418
Saint Louis Park,2001,55426,MN,Flag Avenue South,Minneapolis Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,635999.0221698063,44.9614867059558,-93.3908423727248,Minnesota,MN00059
New Ulm,1,56073,MN,Golf Drive,New Ulm Country Club,+1-507-354-8896,https://www.golfnewulm.com/,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634943.0958638261,44.29019601355435,-94.45826729804322,Minnesota,MN00265
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633741.9532400381,44.93803111181816,-93.41273196598857,Minnesota,MN00079
,,,,,Olympic Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,633263.057656981,44.831682781693566,-93.41500518416005,Minnesota,MN00036
East Grand Forks,2407,56271,,River Road Northwest,Valley Golf Course,218-773-1207,https://www.valleygolfegf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632120.8420336626,47.95050179634136,-97.04422146524101,Minnesota,MN00217
,,,,,Mayflower Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631856.6547941009,44.48162300870705,-94.74023885008044,Minnesota,MN00448
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631372.2813832539,44.86452892792483,-93.75106992935243,Minnesota,MN00462
,,,,,Francis Gross Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630790.6026774689,45.012175691821874,-93.21085291303372,Minnesota,MN00081
,,,,,Les Bolstad Golf Course,,,,,,,,,,,,,,,,,,,University of Minnesota,,,,golf_course,,,,,,,,,,,,,,,,,,,,627809.4281785797,44.99512632162612,-93.19291347328218,Minnesota,MN00083
,,,,,The Preserve,,,,,,,,,,,,,,,,,,,Grand View Resort,,,,,,,,,,,,,,,,,,,,,,,,626205.3255793139,46.56841885795586,-94.28204142834302,Minnesota,MN00395
Hinckley,300,55037,MN,Lady Luck Drive,Grand National Golf Course,,http://www.grandnationalgolf.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623723.4295212761,46.00536013358742,-92.91754282728955,Minnesota,MN00153
Hastings,2015,55033,,Westview Drive,Hastings Country Club,+1-651-437-4612,http://www.hastingscountryclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,623435.9415302246,44.72582762151129,-92.87278501627819,Minnesota,MN00017
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623306.2013287214,45.36873553638724,-92.84992681010333,Minnesota,MN00384
Wayzata,200,55391,MN,Woodhill Road,Woodhill Country Club,+1-952-473-7333,https://www.woodhillcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620857.0232569792,44.9738568175099,-93.54410761837042,Minnesota,MN00242
,,,,,Deer Run Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,617354.2818342767,44.847031462320594,-93.66101178947511,Minnesota,MN00035
Stillwater,11177,55082,,McKusick Road North,Stillwater Oaks Golf Course,+1-651-439-0212,https://www.stillwateroaksgolf.com/,,,,,,,,,,,,,,,18_hole,70,,,,,,,,yes,,,,,,,,,,,,,,,,,616351.6424693394,45.07410231508533,-92.87909880839123,Minnesota,MN00224
Corcoran,10705,55374,MN,Fletcher Lane,Pheasant Acres Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615803.9612050208,45.14809969888003,-93.54919158094629,Minnesota,MN00344
,,,,,Purple Hawk Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614449.5734143535,45.626191390051495,-93.20363177622241,Minnesota,MN00247
,,,,,Forest Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612266.0440503914,46.83400626447116,-95.92854112603646,Minnesota,MN00471
,,,,,Forest Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612266.0440503914,46.83400626447116,-95.92854112603646,Minnesota,MN00470
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609053.7061057271,44.19219715293097,-93.97399266516877,Minnesota,MN00141
,,,,,Manitou Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608012.3979328979,45.03962991385819,-92.99990011913883,Minnesota,MN00090
Owatonna,1369,55060,MN,Cherry Street,Brook Tree Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606915.2862221962,44.091308754726214,-93.19843490256841,Minnesota,MN00290
Winona,22852,55987,,County Road 17,The Bridges,+1-507-452-3535,https://www.winonagolf.com/,,,,,,,,,,Winona Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606196.8834845135,44.010967020494654,-91.60665531657655,Minnesota,MN00237
Mendota Heights,2075,55120,MN,Mendakota Drive,Mendakota Country Club,+1-651-454-2822,https://www.mendakotacc.com/,metcouncil;image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604885.5982222781,44.880778624792576,-93.13408459202512,Minnesota,MN00099
,,,,,Legacy Golf Course,,https://www.legacygolf.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,604066.0548693123,44.308633090794935,-93.25392932255221,Minnesota,MN00018
,54384,55912,,244th Street,River Oaks Golf Club,+1-507-433-9098,"http://www.rivergolf1.com/riveroaks/Course%20layout,%20leagues,%20scorecard.htm",bing,,,,,,,,,Ramsey Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602995.2824190801,43.7128258091658,-92.96097572083883,Minnesota,MN00205
,,,,,Unknown Golf Course,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602265.0440891687,44.45302120999028,-93.57788767342326,Minnesota,MN00285
,,,,,Rose Lake Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600650.6188332624,43.63196170879923,-94.37718855781678,Minnesota,MN00328
,,,,,Northern Hills Golf Course,,,MOA,,,,,,,,City of Rochester Park 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597874.0840186657,44.072453419584086,-92.53075886093363,Minnesota,MN00102
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596748.0467214065,45.174033519934625,-93.21167753835921,Minnesota,MN00393
,,,,,Hawley Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596609.2323371362,46.87159566579249,-96.30887768521971,Minnesota,MN00200
,,,,,Minnesota Valley Country Club,,,Yahoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596554.9801672219,44.796521743444735,-93.36110321018211,Minnesota,MN00094
,,,,,Pebble Lake Golf Course,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596076.7656758131,46.245678117139036,-96.03959019326537,Minnesota,MN00208
Stillwater,1421,55082,,North 4th Street,Stillwater Country Club,+1-651-439-7979,https://www.sccgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595112.3251636655,45.07151248384986,-92.81868834596288,Minnesota,MN00146
Minneapolis,4553,55407,MN,Longfellow Avenue South,Hiawatha Golf Club,+1 612 230 6525,https://www.minneapolisparks.org/golf/courses/hiawatha_golf_club/,Bing,,,,,,,,,Hiawatha Golf Course,,,,,,,Minneapolis Park and Recreation Board,yes,hiawathagolf@minneapolisparks.org,public,,,,,,,,,,,,,,,,,,,,,593256.7085681692,44.92082252279425,-93.24113308444588,Minnesota,MN00074
,,,,,Balmoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589393.0918334988,46.37266835789098,-95.64729432011626,Minnesota,MN00401
,,,,,Eagle Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585768.9559895502,45.152792323069356,-95.03043634344074,Minnesota,MN00292
Annandale,8713,55302,MN,70th Street Northwest,Whispering Pines Golf Course,,https://www.whisperingpinesgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,#2465,,,,,,,,,,,,,,585643.9390807393,45.249953199754984,-94.07146216093584,Minnesota,MN00467
,,,,,Shadowbrooke Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582716.6323781821,44.909683480781446,-94.05927391350039,Minnesota,MN00088
,,,,,Black Bear Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580377.292361648,46.67351033875878,-92.4793210243765,Minnesota,MN00306
,,,,,Redwood Falls Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578181.9091663479,44.54983129048787,-95.11708015743,Minnesota,MN00307
Dayton,14730,55327,MN,Lawndale Lane North,Daytona Golf Course,+1-763-427-6110,https://www.daytonagolfclub.com,,,,,,,sunrise-sunset,,,,,,,,18_hole,72,Daytona Golf Club,,,,,,,,,,,,,,,,,,,,,,,,576788.061877561,45.21995079950072,-93.49797098630454,Minnesota,MN00340
,,,,,Somerset Country Club,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575278.5419035893,44.90147272407672,-93.11037513222045,Minnesota,MN00152
,,,,,St. Cloud Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575110.3110493283,45.51888241186677,-94.14882944219156,Minnesota,MN00274
Long Prairie,406,56347,MN,6th Street SE,Long Prairie Country Club,+1-320-732-3312,https://www.longprairiecountryclub.com/,Bing,,,,,,,,,,Long Prairie Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573149.2590411634,45.965225536357764,-94.85064057882438,Minnesota,MN00211
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569793.2834479827,44.93917668664364,-93.32506471304954,Minnesota,MN00086
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567391.4587070531,45.310397165662096,-93.81894970550643,Minnesota,MN00109
,,,,,Marshall Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565022.3838475351,44.43965218674311,-95.80462703657324,Minnesota,MN00178
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563182.7078965176,44.556811932618785,-93.32849662025961,Minnesota,MN00454
Roseau,,56751,,5th Street South,Unknown Golf Course,+1 218 463 3016,https://www.oakcrestgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,561043.8596089295,48.836221894025016,-95.75720845201224,Minnesota,MN00030
,,,,,Unknown Golf Course,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560820.0470488417,46.898017329880204,-96.76833974295351,Minnesota,MN00194
,,,,,Koronis Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556961.5055196224,45.36553715695465,-94.72558528616798,Minnesota,MN00303
,,,,,Bluff Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552048.0972312087,44.823633825052255,-93.54786461570124,Minnesota,MN00183
,,,,,Forest Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552038.8505983865,45.2550722386331,-92.95141102890163,Minnesota,MN00298
,,,,,Coffee Mill Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548575.4114316127,44.35498102759504,-92.04230289511172,Minnesota,MN00337
Duluth,700,55803,MN,W Redwing St,Ridgeview Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547901.5773411186,46.84798935772762,-92.10588842160837,Minnesota,MN00289
,,,,,The Oaks Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546823.6950644978,43.88196222126142,-92.90490615429842,Minnesota,MN00431
Stillwater,1599,55082,,McKusick Road North,Oak Glen Golf Course,+1-651-439-6981,https://www.oakglengolf.com/,,,,,,,,,,,,,,,18_hole,72,,,,,,,,,,,,,,,,,,,,,,,,,544813.5458691847,45.07039863875065,-92.83172710664269,Minnesota,MN00145
,,,,,Valley High Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543370.6081022281,43.75763307853871,-91.42793519040464,Minnesota,MN00288
Lake City,33587,55041,,Lakeview Drive,Lake City Golf,+1 651 345 3221,https://www.lakecitygolf.com/,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540270.9785039336,44.46518464663513,-92.29861672087202,Minnesota,MN00193
,,,,,Oakdale Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539563.858068675,44.8123574683299,-94.55550679737846,Minnesota,MN00441
,,,,,Thumper Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,539370.1301030646,46.43215176525684,-95.5725666317729,Minnesota,MN00044
,,,,,Sugarbrooke Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,538942.429459991,47.16764267141479,-93.6478890705512,Minnesota,MN00041
,,,,,Valley View Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,multipolygon,,,,,537769.832593696,44.60213279377131,-93.7564799969549,Minnesota,MN00039
,,,,,Albany 18 Hole Public Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537112.98214614,45.62488373141608,-94.56337063714595,Minnesota,MN00216
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533699.831368697,44.424532062910984,-93.88343351332863,Minnesota,MN00293
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533280.5559460497,45.13342948159267,-94.79605213544502,Minnesota,MN00291
,,,,,Highland National Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533229.0664507883,44.91598699666198,-93.16121575256939,Minnesota,MN00078
,,,,,Greenhaven Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533029.9027127938,45.20998975582705,-93.40001482514603,Minnesota,MN00199
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529677.3029322972,45.324557679653694,-95.61416449750992,Minnesota,MN00451
Hutchinson,915,55350,MN,Colorado Street,Crow River Country Club,,,,,,,,,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527247.7051660877,44.90589944168441,-94.39745131570581,Minnesota,MN00202
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527198.5930999103,44.28824394280479,-96.14498355506272,Minnesota,MN00310
North Mankato,41553,56001,MN,520th Street,North Links Golf Course,,http://northlinksgolf.com,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,523189.22735581704,44.19276147944212,-94.10410896458772,Minnesota,MN00264
,,,,,Northfield Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519292.1758369266,44.453691047454434,-93.14008603818935,Minnesota,MN00095
,,,,,Edina Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518920.7231235533,44.90816781836651,-93.34411345680566,Minnesota,MN00082
,,,,,Cedar River Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517285.5236536609,43.56496611069496,-92.7485517793735,Minnesota,MN00378
,,,,,Wapicada Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516221.2462991454,45.58837803005269,-94.06793049469391,Minnesota,MN00427
,,,,,Faribault Golf Club,,https://www.faribaultgolf.com/,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513023.1035034252,44.31187743922989,-93.2986729805726,Minnesota,MN00112
,,,,,Faribault Golf Club,,https://www.faribaultgolf.com/,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513023.1035034252,44.31187743922989,-93.2986729805726,Minnesota,MN00111
,,,,,Hadley Creek Golf Learning Center,,,NAIP,,,,,,,,City of Rochester Park 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512895.0260530044,44.07525609171407,-92.43474973655616,Minnesota,MN00127
Virginia,1308,55792,MN,18th Street North,Virginia Golf Course,+1-218-748-7530,https://www.virginiamn.us/department/golf_course/index.php,Bing,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512424.8415789909,47.5342456733772,-92.55474330101835,Minnesota,MN00097
,,,,,Stonebrooke Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510539.448666053,44.7535840698208,-93.51583724181108,Minnesota,MN00234
Brainerd,11266,56401,MN,Pine Beach Peninsula,Pine Beach East Golf Course,,,,,,,,,Mo-Su 08:00-21:00,,,,,,,,,,Madden's On Gull Lake,,,,,,,,,,,,,,,,,,,,,,,,509940.7022354907,46.39086902474401,-94.37611021086093,Minnesota,MN00155
Jordan,21775,55352,MN,Ridges Drive,Ridges at Sand Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,508821.66104835545,44.63462810767746,-93.6084226246207,Minnesota,MN00068
Zumbrota,80,55992,MN,Golf Links Avenue,Zumbrota Golf Club,+1 507 732 5817,https://www.zumbrotagolfclub.com/,MOA,,,,,,,,,,,,,,,,,,zumbrotatagcpro@gmail.com,,,,,,,,,,,,,,,,,,,,,,504045.0062307523,44.3125961425094,-92.67712235872453,Minnesota,MN00147
Alexandria,2300,56308,MN,N Nokomis NE,Alexandria Golf Club,+1-320-763-3605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,500293.2468953298,45.91693070040612,-95.37362776025338,Minnesota,MN00028
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500152.9633322861,46.48231442934885,-93.8889313631796,Minnesota,MN00164
,,,,,Worthington Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497698.6250617374,43.62774913423854,-95.62395800629956,Minnesota,MN00105
Litchfield,405,55355,,West Pleasure Drive,Litchfield Golf Club,+1 320 693 6059,https://www.litchfieldgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494414.92761660705,45.11746699187701,-94.53853444336916,Minnesota,MN00313
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486651.0735386585,45.39091728918723,-93.76724493506795,Minnesota,MN00189
Farmington,18950,55024,MN,Chippendale Avenue,Southern Hills Golf Course,,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,482155.65885879204,44.67678501520082,-93.13139607561517,Minnesota,MN00167
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481073.4346726282,43.709670631426675,-92.03443153748711,Minnesota,MN00169
Grand Rapids,3910,55744,,Golf Course Road,Pokegama Golf Course,+1 218 326 3444,https://www.pokegamagolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480218.0378796628,47.20487173017248,-93.57298362029283,Minnesota,MN00268
Stillwater,11840,55082,,60th Street North,Applewood Hills Golf Course,+1-651-439-7276,https://www.applewoodhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,2097939,,,,,,,,,,,,,,,,,,479898.08519547456,45.039197253031595,-92.86906551839711,Minnesota,MN00218
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,476925.80507827946,44.851465832592886,-92.7900080040388,Minnesota,MN00027
,18187,55927,,County Road 34,Dodge Country Club,+1-507-374-2374,https://www.dodgecountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476843.6976577875,44.037009129099694,-92.87753702725449,Minnesota,MN00170
Ely,901,55731,MN,South Central Avenue,Ely Golf Club,+1-218-365-5932,https://www.elymngolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474363.60083989723,47.89369030500452,-91.87330395108349,Minnesota,MN00396
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469853.2836366467,46.091442637005954,-95.03754945088848,Minnesota,MN00370
Red Wing,1311,55066,,West 6th Street,Red Wing Golf Club,+1-651-388-9524,http://www.redwinggolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463084.566985938,44.554579693857804,-92.54509276313529,Minnesota,MN00187
,,,,,Unknown Golf Course,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460029.3936843173,45.961447851822044,-94.37752128691154,Minnesota,MN00210
Saint Paul,300,55104,MN,North Mississippi River Boulevard,Town & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459145.9356854303,44.952082402667685,-93.1962102011392,Minnesota,MN00075
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458936.680381309,44.98766061610152,-93.06155440774043,Minnesota,MN00197
Albertville,5700,55301,MN,Jason Avenue Northeast,Cedar Creek Golf Course,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,457509.27476496156,45.234164966265226,-93.68146046761647,Minnesota,MN00029
,,,,,Glencoe Country Club,+1- 320-864-3023,https://glencoecountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452644.0953605984,44.76375901945476,-94.14045488748485,Minnesota,MN00236
Dayton,15240,55369,MN,113th Avenue North,Sundance Golf Banquet Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445827.50444598193,45.160790489820656,-93.4770601109648,Minnesota,MN00356
,,,,,Ma Cal Grove Country Club,,,http://www.macalgrove.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439845.9249540885,43.61660378260833,-91.50206350177778,Minnesota,MN00185
,,,,,Adrian Country Club,,http://www.adriancountryclub.com/,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437716.86422984395,43.626002605874135,-95.93912603648339,Minnesota,MN00195
,,,,,Savannah Oaks Golf Club,,https://savannahoaksgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,437485.39671232656,44.39913805664892,-95.87870139754324,Minnesota,MN00067
,,,,,Green Lea Golf Course,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433120.6566152056,43.66876235676121,-93.36672370680841,Minnesota,MN00198
