name,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,phone,opening_hours,operator,golf:course,description,email,start_date,website,facebook,source,wikidata,alt_name,golf,landuse,old_name,addr:full,contact:facebook,golf:par,sport,note,wikipedia,layer,surface,addr:country,contact:website,access,hole,tee,opening_hours:signed,owner,type,fixme,designation,ele,gnis:feature_id,area_m2,lat,lon,province,gcid
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,575717.1416825232,40.926802943865766,-73.93618212572242,New Jersey,NJ00255
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,575717.1416825232,40.926802943865766,-73.93618212572242,New Jersey,NJ00254
Rockaway River Country Club,Denville,39,07834,NJ,Pocono Road,+1 973 627 0063,,,,,,,https://www.rockawayrivercc.com/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,572805.3931705821,40.899130876313976,-74.46211318601229,New Jersey,NJ00154
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,571301.1531396372,40.29602806820714,-74.0392958727089,New Jersey,NJ00137
Rutgers University Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,570735.3372190184,40.51998947380698,-74.46948284466475,New Jersey,NJ00157
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570368.1699034551,40.67305245761586,-74.33841932397091,New Jersey,NJ00291
Haworth Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,569034.7850221938,40.96429862180075,-74.00419064483043,New Jersey,NJ00253
Little Mill Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,566840.9839717722,39.827567230806814,-74.8734828994723,New Jersey,NJ00066
Woodlake Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566597.3182262452,40.08961649154736,-74.1689604628909,New Jersey,NJ00099
Cream Ridge Golf Course,,,,,,,,State of New Jersey Department of Environmental Protection,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,565014.4297105826,40.14452972936468,-74.54251036598232,New Jersey,NJ00237
Morris County Golf Course,,,,,,,,,,,,,,,NJ2002LULC,Q6913656,,,,,,,,golf,,,,,,,,,,,,,,,,,564134.1750183468,40.78568857896633,-74.44318727934647,New Jersey,NJ00143
Ocean Acres Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,563537.0323788212,39.738332768281765,-74.2652720305553,New Jersey,NJ00011
Cobblestone Creek Country Club,Lawrenceville,2170,08648,,Lawrenceville Road,+1 609 896 0259,,,,,,,https://www.greenacres.club/,,,,,,,,,,,,,,,,,,,,,,,,,,,,562416.4812595367,40.281028191423985,-74.7258111489699,New Jersey,NJ00133
Mays Landing Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562081.8897919081,39.43653227706702,-74.6346287080814,New Jersey,NJ00088
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,560076.9099428693,40.96658864641057,-74.02467586474914,New Jersey,NJ00250
Riverton Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552821.1511275085,40.000424394916195,-75.00283725154429,New Jersey,NJ00109
Linwood Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546497.2929638645,39.35249426722717,-74.56101260265726,New Jersey,NJ00246
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,545477.6375028065,40.63047010840702,-74.47071906980905,New Jersey,NJ00168
Burlington Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544087.2831178111,40.033180708934495,-74.80371194823152,New Jersey,NJ00108
Canoe Brook Country Club South Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541004.5413150312,40.73339600636106,-74.36194583409477,New Jersey,NJ00134
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,539468.1751176817,40.261393709157964,-74.37510783386183,New Jersey,NJ00055
Rancocas Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537588.9331136561,40.015887716819,-74.89632219362556,New Jersey,NJ00104
Canoe Brook Country Club North Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537132.5947118085,40.738394918610595,-74.35515349857805,New Jersey,NJ00136
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,535352.9363174398,39.54665520871501,-75.31242045573752,New Jersey,NJ00307
Fairmount Country Club,Chatham,400,07928,NJ,Southern Boulevard,+1-973-377-8900,,,,,,,https://www.fairmountcc.com/Home,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,532925.7474042333,40.738705050975696,-74.4234982313025,New Jersey,NJ00016
Former Green Brook Country Club,,,,,,,,,,Closed in 2024 to become housing,,,,,NJ2002LULC;https://patch.com/new-jersey/caldwells/north-caldwell-golf-course-will-be-turned-housing-see-new-plan,,,,,,,,,,,,,,,,,,,,,,,,,,532323.0263910837,40.86718089698294,-74.27148609582359,New Jersey,NJ00164
Overpeck Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,532076.8455603613,40.8786421596028,-73.99462272342632,New Jersey,NJ00019
Lakewood Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531861.2996772897,40.10807550178335,-74.246683286806,New Jersey,NJ00101
Hanover Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,530074.4863071357,40.08449449264713,-74.56141100554619,New Jersey,NJ00236
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,528589.5061032621,40.617325402371776,-74.70681765146621,New Jersey,NJ00232
Springdale Golf Club,Princeton,1895,08540,,Clubhouse Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526975.7736025575,40.337909100648886,-74.66120610670704,New Jersey,NJ00080
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,525935.3248368052,40.90707345829532,-74.83630415654403,New Jersey,NJ00074
Basking Ridge Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,520893.6313794212,40.71614330695254,-74.5335942165456,New Jersey,NJ00217
Rock Spring Golf Club at West Orange,West Orange,90,07052,NJ,Rock Spring Road,,,Township of West Orange,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,519444.6808557764,40.76843365506667,-74.26766753937643,New Jersey,NJ00121
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,519101.9538411833,40.21994462037693,-74.07859710452702,New Jersey,NJ00149
Shark River Golf Course,Neptune,320,07753,NJ,Old Corlies Avenue,+1-732-922-4141,,,,,,,https://www.monmouthcountyparks.com/page.aspx?Id=2584,,,,,,,,,,,,,,,,,,,,,,,,,,,,517534.47786836687,40.20215806266733,-74.05744511460024,New Jersey,NJ00243
Hendricks Field Golf Course,Belleville,220,,NJ,Franklin Avenue,,,County of Essex,,,,,https://www.essexcountyparks.org/golf/hendricks-field-golf-course,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,County Golf Course,36,877045,517469.44173838885,40.79434639426891,-74.16787635457364,New Jersey,NJ00071
Trenton Country Club,,,,,,,,,,,,,https://www.trentoncc.com/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,515600.90323933196,40.24443280926841,-74.81340012790201,New Jersey,NJ00205
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,514381.0669428684,40.334194902958345,-74.47059421291087,New Jersey,NJ00130
Deerwood Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,514112.3150722871,40.01594349939248,-74.79369445838789,New Jersey,NJ00041
North Jersey Country Club,Wayne,594,07470,NJ,Paterson-Hamburg Turnpike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,514041.8613712267,40.96048239884142,-74.21542431790387,New Jersey,NJ00018
The Meadows at Middlesex Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513583.72382660676,40.33195077489454,-74.56391811252941,New Jersey,NJ00294
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,511953.06641425454,39.82390898866971,-75.16989890952533,New Jersey,NJ00209
Alpine Country Club,Demarest,80,07627,NJ,Anderson Avenue,,,,,,,,https://alpinecc.org/,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,509526.6595241494,40.94876522997807,-73.9430062332241,New Jersey,NJ00014
Deal Golf and Country Club,Deal,1,07723,NJ,Golf Lane,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,507425.4990904045,40.246602896221574,-74.01252977401684,New Jersey,NJ00141
Newton Country Club,Newton,25,,,Club Rd,+1-973-383-4817,,,,,,,http://www.newtoncountryclub.org/,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,507364.9899347742,41.04727489194304,-74.72403138700045,New Jersey,NJ00022
Bowling Green Golf Club,Oak Ridge,53,07438,,Schoolhouse Road,+1 973 697 8688,,,,,,,https://www.bowlinggreengolf.com/,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,506719.9536699201,41.027761489213056,-74.53156575073473,New Jersey,NJ00051
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,506222.1694534146,40.58793365821078,-74.80475593702779,New Jersey,NJ00204
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,505493.17644041206,39.512732920230555,-74.88553523527132,New Jersey,NJ00038
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,503714.58467841585,40.79382661094041,-74.35779720864083,New Jersey,NJ00184
Cedar Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,503702.43380501814,39.88647736002668,-74.20312904392581,New Jersey,NJ00100
Cranbury Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,502653.0222689067,40.28110180342821,-74.59403174617113,New Jersey,NJ00187
Seaview Golf Club Bay Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499334.08641899814,39.449511555968236,-74.46729146049591,New Jersey,NJ00326
Seaview Golf Club Bay Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499334.08641899814,39.449511555968236,-74.46729146049591,New Jersey,NJ00325
Sunset Valley Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,grass,,,,,,,,,,,,,497166.1594490631,40.9634208272815,-74.32725704307906,New Jersey,NJ00145
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,multipolygon,,,,,492203.47780729015,41.01582951575673,-74.82662770470901,New Jersey,NJ00057
Pebble Creek Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,490576.7497094071,40.282846924756896,-74.16640291913205,New Jersey,NJ00170
Valleybrook Golf Club,Blackwood,200,08012,NJ,Golfview Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,489404.7064277659,39.818200364670375,-75.05765310719055,New Jersey,NJ00068
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,489269.05370039045,41.02619322624714,-74.004013908585,New Jersey,NJ00119
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481188.42691292154,40.81606960367226,-74.2746959394318,New Jersey,NJ00287
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,475123.84290122334,40.47695315398894,-74.76983269961485,New Jersey,NJ00306
Coakley-Russo Memorial Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474237.1128900034,40.665323564750686,-74.55376531204307,New Jersey,NJ00290
Metuchen Golf and Country Club,,,,,,,,,,,,1915,https://www.metuchengolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,470799.4464989553,40.559455631055066,-74.36382422387032,New Jersey,NJ00129
Forest Hills Field Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,468935.44736161403,40.80174435327689,-74.17848734168744,New Jersey,NJ00185
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,465227.28696359176,39.58917829035117,-74.95240370943161,New Jersey,NJ00233
East Orange Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,462729.85212162085,40.75273713122347,-74.34464790902618,New Jersey,NJ00021
Pinchbrook Golf Course,Florham Park,234,07932,NJ,Ridgedale Avenue,+1-973-377-2039,,,,,,,https://www.pinchbrookgc.com/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,461059.46988483926,40.79594750683265,-74.38639879637512,New Jersey,NJ00216
Princeton Country Club,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,457579.29556653707,40.31216668386223,-74.67251176527967,New Jersey,NJ00075
Paramus Golf Course,Paramus,314,07652,NJ,Paramus Road,+1-201-447-6079,,,,,,,https://www.paramusgolfcourse.com/,,Yahoo,,,,,,,,,,,,,,,,,,,,,,,,,,455299.82296732266,40.945824543941974,-74.08849536058705,New Jersey,NJ00266
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,453003.10291909374,40.152409603595856,-74.1245609067488,New Jersey,NJ00058
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,444912.4796488883,40.90682741469829,-74.28096426816774,New Jersey,NJ00054
The Shore Club,,,,,,,,,,,,,https://myshoreclub.com/,,,,,,,Wildwood Golf Club,,,,,,,,,,,,,,,,multipolygon,,,,,444021.5143839605,39.05283782509672,-74.83577658043299,New Jersey,NJ00061
Colonia Country Club,Rahway,300,07067,,Colonia Boulevard,+1 732 381 9500,,,,,,,http://coloniacc.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,441167.5092565066,40.5874414331959,-74.30342259584084,New Jersey,NJ00126
Green Tree Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439709.3806749642,39.401182454524395,-74.71018517371455,New Jersey,NJ00089
Glen Ridge Country Club,Glen Ridge,555,07028,NJ,Ridgewood Avenue,,,,,,,,https://glenridgecc.com/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,439576.4757298555,40.82145355295698,-74.18944064321174,New Jersey,NJ00070
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,439384.9866015131,40.68740192199545,-74.2566769218063,New Jersey,NJ00135
Minebrook Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,437858.8112425023,40.8343373357657,-74.817235787856,New Jersey,NJ00249
Valley Brook Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,436737.5196932159,40.985949717664184,-74.00018029088633,New Jersey,NJ00048
Warrenbrook Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,435734.5718529993,40.613269812173236,-74.48410306654475,New Jersey,NJ00167
Golden Pheasant Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,433152.00513374124,39.9390019412698,-74.79791222720743,New Jersey,NJ00229
Burlington County Golf,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,427748.1427983716,40.041057602940086,-74.76480468823205,New Jersey,NJ00221
Peddie School Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,425130.96128046664,40.25402056689159,-74.52292752919527,New Jersey,NJ00192
Maplewood Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permissive,,,,,,,,,,423272.733586802,40.72557829846607,-74.28053920384643,New Jersey,NJ00128
Kresson Golf Course,,,,,,,,,,,,,,,,Q6436827,,,,,,,,,,,,,,,,,,,,,,,,,422824.0015012276,39.845791111297665,-74.93179181896927,New Jersey,NJ00097
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,419935.6296739254,39.846627324387356,-74.87569966325049,New Jersey,NJ00303
Beacon Hill Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,407394.4772052041,40.407601873083735,-74.05180687637,New Jersey,NJ00214
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,402968.2739920814,40.804784160023424,-75.02866889371269,New Jersey,NJ00242
Lake Mohawk Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402250.3354400448,41.01748790144408,-74.66742521087573,New Jersey,NJ00271
Renaissance Golf Course,,,,,,,,,,,,,https://www.renaissancegolfcourse.com,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,390333.00313122943,40.041711589809466,-74.26740040215225,New Jersey,NJ00012
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,383873.30266631144,40.03350439218905,-74.56804877268907,New Jersey,NJ00043
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,377980.5330728892,40.30374943187499,-74.23651445256559,New Jersey,NJ00171
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,375219.2335779502,41.30670012749846,-74.75504669541662,New Jersey,NJ00191
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372788.39934001473,41.01358465000206,-74.01597895085246,New Jersey,NJ00111
Deer Run Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372563.0865594283,40.91565869041933,-74.32405609015518,New Jersey,NJ00317
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366941.0698774545,39.39138746016641,-75.22390545408666,New Jersey,NJ00316
Frog Rock Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366045.9714525187,39.6264998819722,-74.7609453305206,New Jersey,NJ00218
Weequahic Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,363178.17954623175,40.69677814680634,-74.20685476707295,New Jersey,NJ00183
Hyatt Hills Golf Complex,Clark,1300,07066,NJ,Raritan Road,+1 732 669 9100,,,,,,,https://www.hyatthills.com,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,351879.72417003365,40.63437767328129,-74.30892072798889,New Jersey,NJ00150
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339304.63136777055,40.018696176634386,-74.62972723751825,New Jersey,NJ00310
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335172.7721364518,40.029407446660606,-74.58011501632129,New Jersey,NJ00309
Picatinny Arsenal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,330686.1307950924,40.936940601040966,-74.56871316811431,New Jersey,NJ00045
Bel-Aire Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,329710.7667297992,40.152749136822784,-74.0921707371008,New Jersey,NJ00301
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,328612.05637992104,40.30962139526183,-74.46647217457952,New Jersey,NJ00124
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,328612.05637992104,40.30962139526183,-74.46647217457952,New Jersey,NJ00125
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,327511.07861139684,40.32548156285103,-74.44495904311894,New Jersey,NJ00138
Salem Country Club,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,323803.31283171056,39.558975441730404,-75.51193928830065,New Jersey,NJ00331
Black Oak Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319623.7835227611,40.80249410584567,-74.73381429215391,New Jersey,NJ00289
Ocean County Golf Course at Forge Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311998.8322036159,40.070330405252264,-74.14493991515289,New Jersey,NJ00102
Ocean County Golf Course at Forge Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311998.8322036159,40.070330405252264,-74.14493991515289,New Jersey,NJ00103
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,307010.0803382529,41.03585583836905,-74.70839214948535,New Jersey,NJ00195
Pine Brook Golf Course,Manalapan Township,,07726,NJ,,,,Monmouth County Park System,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,305014.17656204046,40.32736535599233,-74.31199221672557,New Jersey,NJ00188
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,298506.18099716137,40.54199095337596,-74.46085477484178,New Jersey,NJ00178
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,298506.18099716137,40.54199095337596,-74.46085477484178,New Jersey,NJ00179
Toms River Country Club,Toms River,419,08753,NJ,Washington Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288267.9093739135,39.94968388177461,-74.1822786202373,New Jersey,NJ00320
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,287575.3700151256,40.02075973693085,-74.63393054858123,New Jersey,NJ00239
Medford Lakes Country Club,Medford Lakes,70,08055,NJ,Oak Drive,,,Medford Lakes Country Club,18_hole,,,,,,NJ2002LULC;https://mlcc1929.com/Golf/Course_Tour,,,,,,,,71,,,,,,,,,,,,,,,,,,285737.97799759574,39.85918659221127,-74.79242670673949,New Jersey,NJ00228
Lawrenceville School golf course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,285446.2501835107,40.2985937198012,-74.7247804714377,New Jersey,NJ00025
Orchard Hills Golf Course,Paramus,404,07652,NJ,Paramus Road,+1 201 447 3782,,,,,,,https://golfbergencounty.com/,,Yahoo,,,,,,,,,,,,,,US,,,,,,,,,,,,261106.14014595601,40.95304598637194,-74.0885715888685,New Jersey,NJ00265
Sakima Country Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,253001.59377888663,39.70034661547939,-75.47224250548847,New Jersey,NJ00234
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,251977.9938189285,40.18661190859027,-74.1539832747515,New Jersey,NJ00176
Abandoned Stonybrook Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,246046.20516955305,40.376529984563,-74.78749011788608,New Jersey,NJ00206
Fairway Valley Golf Club,Washington,76,07882,,Mine Hill Road,+1 908-689-1530,,,,,,,http://www.fairwayvalleygolfclub.com/,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,238189.2499041431,40.780813187726274,-74.99120143130948,New Jersey,NJ00196
Fairway Mews Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,235080.73162858732,40.15478707930244,-74.04248800438192,New Jersey,NJ00139
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231474.200926527,40.914868186155466,-74.24854356539822,New Jersey,NJ00285
Moorestown Field Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223074.93667951605,39.97763844303673,-74.94481491335809,New Jersey,NJ00105
Sky View Golf & Banquets,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,218931.57989062366,41.05558024259536,-74.64776583355257,New Jersey,NJ00244
Old Tappan Golf Club,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,218412.4122653626,41.02403589105637,-73.9817420798067,New Jersey,NJ00118
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,214115.12562359724,40.20771821827652,-74.16047955653117,New Jersey,NJ00155
Packanack Golf Club,Wayne,7,07470,NJ,Osborne Terrace,,,,,,,,,,,,Packanack Golf Course,,,,,,,,,,,,,,,,,,,,,,,,213873.72911397056,40.93076425257431,-74.26028245304184,New Jersey,NJ00283
Unknown Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,210873.89625990146,39.501616374886545,-74.92254507747856,New Jersey,NJ00213
Merchantville Country Club,,,,,,,,,,,,,,,NJ2002LULC,Q1568227,,,,,,,,,,en:Merchantville Country Club,,,,,,,,,,multipolygon,,,,,208635.1489897923,39.942826647741185,-75.0446894912137,New Jersey,NJ00063
Blair Golf Course,Blairstown,2,,,Park Street,,,Blair Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,192118.18256313325,40.98788667040629,-74.96957185088561,New Jersey,NJ00073
Mount Tabor Golf Course,,,,,,,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,187694.575047,40.872332726655976,-74.47334789114014,New Jersey,NJ00114
Hidden Acres golf Course,,,,,,+1-973-948-2000,,,9_hole,,,,https://hiddenacresgolfnj.com/,,NJ2002LULC,,,,recreation_ground,,"14 Ayers Rd, Hainesville, NJ, United States, New Jersey",https://www.facebook.com/people/Hidden-Acres-Golf-Course/100063669308976/,35,,,,,,,,,,,,,,,,,,185807.9954077952,41.26343121075537,-74.80800353199874,New Jersey,NJ00194
Pomona Golf Club,Pomona,400,08215,NJ,West Moss Mill Road,+1-609-965-3232,,,,,,,,,NJ2002LULC,,,,,,,,,,,,,,,,,,,,,,,,,,184349.0289670018,39.51918533782744,-74.54918651251971,New Jersey,NJ00245
