addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,name,phone,website,source,contact:website,email,operator,sport,description,opening_hours,alt_name,barrier,dist,old_name,par,pins,note,level,golf,type,fax,access,fixme,area_m2,lat,lon,province,gcid
Pender,,68047,NE,State Highway 9,Twin Creeks Golf Course,(402) 385-2376,http://www.twincreekspender.com/,,,,,,,,Twin Creeks Golf Club,,,,,,,,,,,,,275108.897649204,42.14729845052567,-96.7246063445809,Nebraska,NE00172
,,,,,Eagle Run Golf Course,,,,,,,,,,,,,,,,,,,,,,,275107.74545038014,41.28953956908776,-96.11449392030967,Nebraska,NE00065
Ponca,88052,68770,,Highland Road,Highland Oaks Golf Course,+1 402 755 4222,http://www.highlandoaksgolf.com/,,,,,,,,,,,,,,,,,,,,,272064.5439258228,42.59244251562368,-96.71758097348113,Nebraska,NE00169
Atkinson,47453,68713,,US 20,Atkinson-Stuart Country Club,+1 402 925 5330,http://atkinsonstuartcoun.wixsite.com/ascc,,,,,,,,,,,,,,,,,,,,,271203.51807024714,42.541558730415716,-99.00155067122535,Nebraska,NE00155
,,,,,Sedgwick County Golf Association,,,Bing,,,,,,,,,,,,,,,,,,,,270219.8084780502,41.01665605317995,-102.27539906998847,Nebraska,NE00059
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,269101.62488510984,40.18750806866217,-101.03025550337156,Nebraska,NE00243
Columbus,560,68521,NE,33rd Avenue,Vanberg Golf Course,,,,,,,,,,,,,,,,,,,,,,,267306.8976035795,41.420798099329446,-97.37594943013174,Nebraska,NE00178
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,264995.3671251556,41.10283233486061,-100.79558761762091,Nebraska,NE00105
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,,,263218.43716503296,40.866472481171684,-97.99038263001846,Nebraska,NE00009
Ashland,951,68003,NE,County Road 4,Country Drive Golf Course,,,,,,,,,,,,,,,,,,,,,,,260652.43829279288,41.142072654082924,-96.37059835307706,Nebraska,NE00244
,,,,,Unknown Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,259354.4533365465,42.373292095793275,-97.36317693479467,Nebraska,NE00044
,,,,,Unknown Golf Course,,,,,,,golf,,,,,,,,,,,,multipolygon,,,,256078.9794456663,40.917581005423976,-95.88763816584347,Nebraska,NE00011
,,,,,Crooked Creek Course,,,,,,,,,,,,,,,,,,,,,,,249534.9226129895,40.530735153170845,-98.05590563154408,Nebraska,NE00113
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,248693.20190663668,40.10030290197143,-98.96891727382739,Nebraska,NE00147
,,,,,Hiline Golf Course,,http://www.hilinegolf.com/,,,,,,,,,,,,,,,,,,,,,246830.1313111662,40.52047118881973,-99.6364575887114,Nebraska,NE00151
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,244256.0793775068,42.3626254863434,-97.86667978982265,Nebraska,NE00252
,,,,,Superior Country Club,,,,https://superiorcountryclub.com,,,,,,,,,,,,,,,,,,,243975.51768361498,40.06397583539635,-98.05902690589413,Nebraska,NE00186
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,240024.47123047273,41.690731075377585,-97.47566472149039,Nebraska,NE00120
,,,,,Loup City Public Golf Course,308-745-9982,https://www.loupcity.com/recreation/loup-city-public-golf/,,,,,,,,,,,,,,,,,,,,,237687.5538065269,41.28467043237764,-98.983530325524,Nebraska,NE00109
,,,,,Hebron Country Club,,,,,,,,,,,,,,,,,,,,,,,232019.31792711033,40.150582850000006,-97.59295985000004,Nebraska,NE00143
,,,,,Grandpa's Woods Golf Course,,https://grandpaswoods.com/,,,,,,,,,,,,,,,,,,,,,230498.96511467395,40.87689564335873,-96.27247491083541,Nebraska,NE00095
,,,,,Champions Run Country Club,,https://www.championsomaha.com/Public/Champions-Run-6.html,bing,,,,,,,,,,,,,,,,,,,,225013.97801719428,41.28562714822538,-96.12880697136562,Nebraska,NE00064
,,,,,Wildwood Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,223360.19612698987,40.67079267424838,-95.88053197150485,Nebraska,NE00088
Wilber,1225,68333,,East 4th Street,College Heights Country Club,+1 402 826 4653,https://collegeheightscc.com/,,,,,,,,,,,,,,,,,,,,,221198.32033795738,40.61530076716677,-96.94505783908149,Nebraska,NE00163
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,219235.6816984272,42.462901527530484,-97.89374825890472,Nebraska,NE00167
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,216644.03206472195,40.07566253664362,-101.48957768920656,Nebraska,NE00183
,,,,,Unknown Golf Course,,,bing,,,,golf,,,,,,,,,,,,,,,,216179.75540610382,41.43464318107796,-97.06725597055315,Nebraska,NE00047
,,,,,Overton Golf Club,,,,,,,,,,,,,,,,,,,,,,,214891.8056778962,40.7469145556994,-99.59335691571498,Nebraska,NE00194
,,,,,Minden Country Club,,,,,,,,,,,,,,,,,,,,,,,214660.77112288767,40.512115530893844,-98.9488720832676,Nebraska,NE00152
,,,,,Oak Hills Country Club,,,bing,,,,,,,,,,,,,,,,,,,,213544.3913611601,41.20011415951516,-96.1098002826646,Nebraska,NE00074
Burwell,82796,68823,,Whitetail Lane,Calamus Golf Course,+1 308 346 5559,https://www.calamusgolf.com/,,,,,,,,,,,,,,,,,,,,,211271.69818463066,41.822779445367615,-99.18790326823259,Nebraska,NE00154
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,210497.4392909682,42.62420333781789,-97.274450678432,Nebraska,NE00131
Waco,,68460,NE,,Sandy Meadows Golf Course,,,,,,,,,,,,,,,,,,,,,,,210169.86557532276,40.81973195607725,-97.45726610517792,Nebraska,NE00248
Fremont,2725,68025,NE,Reed Lane,Whitetail Run Golf Course,(402) 727-4403,,Bing,,,,golf,,,,,,,,,,,,,,,,206310.08490896388,41.41279554504041,-96.53420758776609,Nebraska,NE00179
,,,,,Sunset Valley Country Club,,https://www.sunsetvalleygolf.org/,bing,,,,,,,,,,,,,,,,,,,,204218.69234480782,41.238091367004515,-96.0572676874672,Nebraska,NE00073
Broken Bow,,68822,,,Broken Bow Country Club,308-872-6444,http://www.brokenbowcountryclub.com/,,,,,,,,,,,,,,,,,,,,,203027.95549282615,41.40738282324707,-99.67121612337934,Nebraska,NE00153
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,202137.5711801888,42.26271007429665,-96.8455228662913,Nebraska,NE00170
South Sioux City,618,68776,,West 29th Street,South Ridge Golf Course,+1 402 404 8887,http://www.covingtonsouthridgegolf.com/,,,,,,,,,,,,,,,,,,,,,200080.67936766738,42.45963366013529,-96.42177119629547,Nebraska,NE00171
,,,,,Ravenna Golf Club,,,,,,,,,,,,,,,,,,,,,,,198940.83902145879,41.0366288381376,-98.91519829330296,Nebraska,NE00156
,,,,,Cardinal Country Club,,http://www.oxfordnebraska.net/golf-course.html,,,,,,,,,,,,,,,,,,,,,190820.10389875085,40.2595088768518,-99.63259678390132,Nebraska,NE00149
,,,,,Galaway Creek Golf Course,+1 402 723 4828,https://www.cityofhenderson.org/golf.html,,,,,,,,,,,,,,,,,,,,,187583.31501097628,40.77309901738674,-97.80933895640725,Nebraska,NE00159
Wahoo,1740,68066,,County Road J,Hilltop Country Club,402-443-3338,http://www.wahoogolf.com/,,,,,,,,,,,,,,,,,multipolygon,,,,187565.37800435314,41.19297576436873,-96.62895777985982,Nebraska,NE00029
Potter,402,69156,,Prairie Pine Drive,Prairie Pines Golf Course,+1 308 879 4469,http://www.potterne.com/COMMUNITY/prairiepines.htm,,,,,,,,,,,,,,,,,,,,,184856.44399004808,41.21960849739356,-103.32585216327531,Nebraska,NE00138
,,,,,Arrowhead Meadows Golf Course,,http://curtis-ne.com/arrowheadgolfcourse.php,,,,,,,,,,,,,,,,,,,,,184428.50906647425,40.63109161430258,-100.50582884506973,Nebraska,NE00141
,,,,,Field Club of Omaha (north),,https://www.fcomaha.com/,bing,,,,,,,,,,,,,,,,,,,,182977.4202110802,41.24695998072813,-95.96901949215504,Nebraska,NE00083
,,,,,Fontenelle Golf Course,,,,,,,,,,,,,,,,,,,multipolygon,,private,,181636.47432000414,41.16637622567487,-95.90484934053762,Nebraska,NE00012
Gibbon,14155,68840,NE,Pawnee Road,Gibbon Valley View Golf Club,,,,,,,,,,,,,,,,,,,,,,,175547.1136261378,40.81322921227446,-98.83365105644846,Nebraska,NE00250
Lincoln,3761,68506,NE,Normal Boulevard,Jim Ager Memorial Golf Course,402-441-8963,https://lincolncitygolf.org/ager/,Bing,,,City of Lincoln,,,,Jim Ager Memorial Junior Golf Course,,,Jim Ager Golf Course,,,,,,multipolygon,,,,175419.69641807303,40.7942065577638,-96.66989272728655,Nebraska,NE00028
Hooper,410,68031,,North Main Street,Elkhorn Valley Golf Course,+1 402 654 3512,https://www.elkhornvalleygolfclub.com/,,,,,,,,,,,,,,,,,,,,,172213.32890191808,41.61545551774368,-96.54481544205144,Nebraska,NE00118
,,,,,Field Club of Omaha (south),,https://www.fcomaha.com/,bing,,,,,,,,,,,,,,,,,,,,171807.07878564886,41.2435160447729,-95.96873000820166,Nebraska,NE00084
,,,,,Imperial Country Club,,,,,,,,,,,,,,,,,,,,,,,166960.30010091528,40.5167282322932,-101.65444598038863,Nebraska,NE00115
David City,899,68632,,Park Drive,David City Golf Club,+1 402 367 4292,https://www.davidcitygolfclub.com/,,,,,,,,,,,,,,,,,,,,,161346.0015136087,41.24354616227495,-97.12346033555232,Nebraska,NE00174
,,,,,Milt's Golf Course (9-Hole),,,bing,,,,,,,,,,,,,,,,,,,,153816.65495316676,41.20679341514744,-96.01306392600051,Nebraska,NE00080
Omaha,4020,68107,NE,Hoctor Boulevard,Spring Lake Golf Course,402-444-4630,,bing,,,,,,,Spring Lake Park Golf Course,,1873,,35,9,,,,,,,,150964.56318997708,41.22151067869401,-95.93747371089373,Nebraska,NE00086
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,148192.86808010482,41.839678754145005,-97.4589783807196,Nebraska,NE00173
,,,,,Ord Golf Course,,,,,,,,,,,,,,,,,,,,,,,148084.17177062595,41.60903546070839,-98.94183653493283,Nebraska,NE00110
Omaha,6315,68111,NE,North 30th Street,Steve Hogan Golf Course,402-444-5396,https://parks.cityofomaha.org/images/stories/GolfCourses/Steve%20Hogan%20Course%20Map.pdf,bing,,,,,,,Miller Park 9-Hole Golf Course,,1337,Miller Park Golf Course,27,9,,,,,,,,147332.27521002712,41.316043764340876,-95.95061081293815,Nebraska,NE00085
,,,,,Golf at Indian Creek,,https://www.golfatindiancreek.com/wp-content/themes/golf/splash.php,bing,,,,,,,,,,,,,,,,,,,,144166.1861190372,41.296881420027496,-96.23007060700496,Nebraska,NE00062
,,,,,Country Shadows Golf Course,,,,,,,,,,,,,,,,,,,,,,,119934.3750955709,41.48069091552159,-97.38520168738296,Nebraska,NE00037
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,117313.94094728054,41.75155026314875,-97.7803625737044,Nebraska,NE00035
Lincoln,6801,68516,NE,South 84th Street,Pine Lake Golf Course,,,,,,Pine Lake Association,,,,,,,,,,,,,multipolygon,,,,114596.02492167181,40.74497298115354,-96.6086695876161,Nebraska,NE00023
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,99207.3424322093,42.82805402983406,-99.74192755604727,Nebraska,NE00202
,,,,,Warren Swigart 9-Hole Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,98179.42211792512,41.29432219704281,-96.06258096799726,Nebraska,NE00058
Omaha,12929,68144,NE,West Center Road,Westwood Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,96501.51870410203,41.23185972918932,-96.11225208752434,Nebraska,NE00071
Kearney,2635,68847,,East 103rd Street,Elks Country Golf,,,,,,,,,,,,,,,,,,,,,,,92663.1089877914,40.77315071329643,-99.04723322884996,Nebraska,NE00094
Omaha,20033,68022,NE,Elkhorn Ridge Drive,Elkhorn Ridge Golf Course,,,Bing,,,,golf,,,,,,,,,,,,,,,,81354.37362277329,41.26907739651665,-96.22725832671826,Nebraska,NE00180
Lincoln,7600,68506,NE,Old Post Road,Wellington Greens Golf Course,402-326-8184,,bing,,,Wellington Greens Home Association,golf,,,,,,,,,,,,multipolygon,,,,75102.29273862416,40.79014636923349,-96.62173131729506,Nebraska,NE00024
Papillion,501,68133,NE,Eagle Hills Dr.,Eagle Hills Academy Golf Course,,,,,,,,,,,,,,,,,,,,,,,67232.01992314652,41.15926917054885,-95.9905324872526,Nebraska,NE00251
,,,,,Driving Range,,,bing,,,,,,,,,,,,,,,,,,,,62437.98935564142,41.30822770490665,-96.02128104813296,Nebraska,NE00081
,,,,,Eagle Run Golf Course,,,bing,,,,,,,,,,,,,,,,,,,,61997.82714732781,41.285524835467534,-96.11295189389254,Nebraska,NE00066
,,,,,Miracle Hill Driving Range,,,bing,,,,,,,,,,,,,,,,,,,,53268.223937138544,41.27085754938011,-96.09741963156057,Nebraska,NE00185
,,,,,Tranquility Golf Driving Range,,,bing,,,,,,,,,,,,,,,,,,,,39192.405674501875,41.300583596169055,-96.10178734877188,Nebraska,NE00057
,,,,,Driving & Practice Range,,,Bing,,,,,,,,,,,,,,,,,,,,38379.62686959218,42.252497324993186,-97.01229144602792,Nebraska,NE00121
,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,cartpath,,,,,10893.970896668481,41.86645180099553,-101.27168529905805,Nebraska,NE00203
