check_date,name,wikidata,golf:course,addr:city,addr:postcode,addr:state,fixme,addr:housenumber,addr:street,contact:facebook,email,phone,website,addr:country,golf:par,operator,access,wikipedia,note,description,sport,wheelchair,fee,source,opening_hours,contact:website,operator:type,operator:wikidata,golf,alt_name,fax,building,building:levels,type,opening_hours:covid19,contact:youtube,area_m2,lat,lon,province,gcid
,The Dalles Country Club,,,,,,,,,,,,https://thedallescountryclub.net/,,,,,,,,,,,,,,,,,,,,,,,,238567.49652594363,45.65355155905402,-121.21534855860375,Oregon,OR00100
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234743.6829853492,45.062821349661306,-122.82263903055225,Oregon,OR00171
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234080.93169117573,43.19624799137636,-124.38354437432548,Oregon,OR00129
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232143.4748058596,44.08841984492263,-122.72113628193881,Oregon,OR00160
,McKay Creek Golf Course,,,,,,,,,,,,,,,John Reding,private,,,,,,,,,,,,,,,,,,,,226765.945692916,45.52573345380423,-123.0069357733965,Oregon,OR00066
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224216.28079626692,45.218955144840734,-122.57198019039355,Oregon,OR00203
,John Day Golf Club,,,,,,,,,,,,http://johndaygolfclub.com/,,,John Day Golf Club,,,,,,,,,,,,,,,,,,,,,217459.35877439007,44.416081866534746,-118.9985684552346,Oregon,OR00132
,Colwood Golf Center,,,Portland,97218,,,7313,Northeast Columbia Boulevard,,,,https://colwoodgolf.com/,,,City of Portland,,,,,,,,,,https://www.portland.gov/parks/colwood-golf-center,public,Q6106,,,,,,,,,214382.5035450065,45.56832818644116,-122.58659559145576,Oregon,OR00176
,Killarney West Golf Course,,,Hillsboro,97124,OR,,1275,Northwest 334th Avenue,,,,,,,Joseph and Vera O'Meara,private,,,,,,,,,,,,,,,,,,,,210309.25817828008,45.52954280754252,-123.02036786509589,Oregon,OR00067
,Alpine Meadows Golf Course,,,Enterprise,97828,OR,,66098,Golf Course Road,,,,http://www.alpinemeadowsgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,203987.62702294873,45.433384477884346,-117.29530276520829,Oregon,OR00112
,Summerfield Golf Course,,,,,,,,,,,,,,,Summerfield Civic Association,private,,,,,,,,,,,,,,,,,multipolygon,,,203645.4469258511,45.406755236971776,-122.78024451073715,Oregon,OR00028
,China Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203031.28133017774,45.70691438732426,-120.18998009594384,Oregon,OR00170
,Prineville Golf and Country Clup,,,Prineville,97754,OR,,7120,Northeast Ochoco Highway,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,200821.84385336548,44.3002224677569,-120.75709667065657,Oregon,OR00140
,Agate Beach Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199201.81033954048,44.666992531834325,-124.05333375278455,Oregon,OR00168
,Vernonia Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194674.78239332492,45.84723746913468,-123.24007252918273,Oregon,OR00099
,Mark Clark Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191517.25144409703,42.19036619693925,-120.41783812532994,Oregon,OR00166
,King City Golf Course,,,,,,,,,,,,,,,King City Civic Association,private,,,,,,,,,,,,,,,,,multipolygon,,,182939.7225899809,45.404748707427686,-122.80185552424399,Oregon,OR00027
,Neskowin Beach Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179324.2195164972,45.10866308582928,-123.97907294466327,Oregon,OR00078
,Crestview Golf Club,,,Waldport,97394,OR,,1680,South Crestline Drive,https://www.facebook.com/crestviewgolfclub/,info@crestviewgolfclub.com,+1-541-563-3020,https://www.crestviewgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,,,177805.5755230264,44.41183058397486,-124.06761606625734,Oregon,OR00147
,Hidden Valley Golf Course,,9_hole,Cottage Grove,97424,OR,borders approximate,765,North River Road,,,+1 541 942 3046,,,,,,,,,,,,bing,,,,,,,,,,,,,177621.418099844,43.80585496480342,-123.06351993381558,Oregon,OR00088
,Salemtowne Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,175324.22606301124,44.97839940310878,-123.06979999686622,Oregon,OR00039
,Langdon Farms Golf Course,,,,,,,,,,,,,,,Langdon Farms Golf Club,private,,,,,,,,,,,,,,,,,,,,172560.10371427177,45.27435707463897,-122.77145684459899,Oregon,OR00040
,Fiddler's Green Golf Center,,,Eugene,97402,OR,,91292,State Hwy 99N,,,,,,,,,,,,,,,,Mo-Su 09:00-19:00,,,,,,,,,,,,170471.10060651926,44.14108575872905,-123.20483379020554,Oregon,OR00146
,The Pub Courses at Edgefield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168752.93546355618,45.53418668527907,-122.40847516210934,Oregon,OR00141
,Bay Breeze Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166958.6979345997,45.48000907129633,-123.84180213508535,Oregon,OR00097
,Echo City Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,164732.66658451495,45.74564781194595,-119.18661694853023,Oregon,OR00016
,Milton-Freewater Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164072.93220390964,45.934755545442556,-118.39907307492456,Oregon,OR00082
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162320.37672014267,44.92000062217112,-123.27364996269402,Oregon,OR00191
,Lake Oswego Golf Course,,,Lake Oswego,,,,17525,Stafford Road,,,,,,,City of Lake Oswego,,,,,,,,,,,,,,Lake Oswego Golf Course and Driving Range,,,,,,,161331.75391946008,45.39968218703868,-122.68810470733573,Oregon,OR00044
,Manzanita Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,159675.82969379262,45.714082780128905,-123.93310765719868,Oregon,OR00015
,Meadowlawn Golf Course,,,Salem,97317,,,3898,Meadowlawn Loop Southeast,,,503-363-7391,https://www.meadowlawngolf.net/,,,,,,,,,,,,,,,,,,,,,multipolygon,,,159590.9527066762,44.918865358848784,-122.9858688582375,Oregon,OR00005
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158464.30599339487,42.440538477098336,-122.843495846473,Oregon,OR00144
,Lewis & Clark Golf Course,,9_hole,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,157354.66294781992,46.14929889403553,-123.83621418745368,Oregon,OR00180
,Greenlea Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149257.13281801745,45.41529157932054,-122.38877987915197,Oregon,OR00080
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130246.89175481278,45.15840773116347,-122.90215519046598,Oregon,OR00139
,Eagle Landing Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116638.44972612038,45.44033306958112,-122.55799343602132,Oregon,OR00174
,Round Lake Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113083.71747818816,42.1876026268527,-121.9180317104798,Oregon,OR00134
,Willow Creek Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111602.29490888302,45.369264582001534,-119.57368728113275,Oregon,OR00149
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,106358.0080633817,43.09277331296892,-124.42523573211623,Oregon,OR00074
,The Greens at Redmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99767.45786572385,44.23876385087828,-121.20187603765656,Oregon,OR00114
,Red Mountain Golf Course,,,Grants Pass,,OR,,324,Mountain Greens Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,94790.79120007428,42.55187452566606,-123.3688592524324,Oregon,OR00113
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,93474.85155307682,44.979194161092686,-123.07162829506889,Oregon,OR00038
,Highway 58 Golf,,,Eugene,97405,OR,,34455,Highway 58,Highway58Golf,58golf.news@gmail.com,+1 541 741 1119,,,,,,,,,,,,,,,,,,,,,,,,,91630.78181832029,43.993001535847135,-122.99029137385375,Oregon,OR00197
,Trails End Golf Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85274.69027302494,45.36643986204809,-122.58907298357485,Oregon,OR00165
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84618.10297235235,44.077602518526774,-121.3102271059586,Oregon,OR00188
,Rivergreens Golf Club,,,,,,,,,,,,,,,Youth Resources Incorporated,private,,,,,,,,,,,,,,,,,,,,80723.9392249129,45.374809675001494,-122.60673938893966,Oregon,OR00083
,Bear Creek Golf Course,,,Medford,97501,,,2355,South Pacific Highway,,,541-773-1822,https://www.golfbearcreek.com/,,,,,,,,,,,,,,,,,,,,,,,,80258.11554710292,42.30595224453136,-122.84730843362296,Oregon,OR00106
,Caldera Links Golf Course,,9_hole,,,,,,,,,,https://www.sunriverresort.com/central-oregon-bend-golf/caldera-links-golf-course,,,Sunriver Resort,,,,,golf,,,,,,,,,,,,,,,,75613.40917811848,43.855617143175486,-121.43777576994462,Oregon,OR00092
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,73625.30767107259,43.860510491790464,-121.43996863556359,Oregon,OR00093
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70386.07653868353,44.293574612966346,-121.15130189313905,Oregon,OR00119
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,65068.039974139305,43.859999812934454,-121.4371494722126,Oregon,OR00091
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,driving_range,,,,,,,,64767.44603393503,44.15424667003407,-121.04985433471698,Oregon,OR00201
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50729.50814943045,44.08054127678834,-121.31479486904614,Oregon,OR00189
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49204.97654310604,45.91542760621115,-119.29597647388762,Oregon,OR00202
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35695.59224651279,44.25568473795817,-121.25494128778713,Oregon,OR00157
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30114.722890491597,44.58977385047378,-123.22850738655141,Oregon,OR00192
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21634.53614309754,44.256435768203005,-121.25753201776136,Oregon,OR00158
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20850.026387062033,44.25336038158023,-121.25278850101525,Oregon,OR00155
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20470.40086851982,44.26123903831378,-121.27982854768503,Oregon,OR00159
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19954.09003108104,45.74642184182223,-119.18675008811265,Oregon,OR00152
,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18974.595110728995,44.08306029708872,-121.31699269580268,Oregon,OR00190
,Claremont Greens,,,,,,,,,,,,,,,Claremont Greens Civic Association,private,,,,,,,,,,,,,,,,,,,,18269.286323652155,45.54731466674409,-122.83373328402473,Oregon,OR00071
,The Greens at Redmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16999.910495535478,44.24113786824331,-121.19869813561562,Oregon,OR00115
,The Greens at Redmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043.717116115873,44.2425072864681,-121.19863185687723,Oregon,OR00116
