addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,name,phone,website,note,wikidata,alt_name,access,natural,golf:course,golf:par,operator,golf,sport,source,designation,opening_hours,fixme,contact:phone,contact:website,email,old_name,building,landuse,type,area_m2,lat,lon,province,gcid
Ogden,1690 W,84404,UT,400 North,9 hole Par 33,Toad’s National Golf Course,+1 801-392-4653,http://toadsnational.com/,,,,,,,,,,,Yahoo,,,,,,abone@toadsfz.com,Mulligan's,,,,220024.6062553227,41.27001582186277,-112.02023119152895,Utah,UT00068
Beaver,371,84713,UT,N Hwy 153,9 hole Par 34,Canyon Breeze Golf Course,+1 435 438 2601; +1 435 668 3150,http://www.beaverutah.net/golf/,,,,,,,,,,,,,,,,,,,,,,206800.72124546676,38.27886010473449,-112.60633644592754,Utah,UT00097
Hideout,10725,84036,UT,North Hideout Trail,,Outlaw Golf Club,+1 435-901-4227,,,,,,,,,,,,,,,,,,,,,,multipolygon,202335.92439764176,40.63467479532882,-111.39942443358922,Utah,UT00033
,,,,,9 hole Par 33 & 9 hole Pitch & Putt,Mulligans Golf Course,+1 801-254-3377,http://www.mulligans-south.com/,,,,,,,,,,,,,,,,,,,,,,189382.68663865924,40.5623521028284,-111.91201302484066,Utah,UT00089
,,,,,,Skyline Mountain Resort,,,,,,,,,,,,,,,,,,,,,,,,184893.1487404882,39.60234821694889,-111.41373123125207,Utah,UT00117
,,,,,,Ogden Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,179578.14201796244,41.186420782656555,-111.9697535801301,Utah,UT00135
Green River,450,84525,UT,South Green River Boulevard,18 hole Par 72,Green River State Park Golf Course,+1 435-567-8882,https://stateparks.utah.gov/activities/golf/green-river,,,,,,,,,,,,,,,,,,,,,multipolygon,179296.1215626538,38.991218691337494,-110.15221557884263,Utah,UT00028
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,129785.9137893828,37.70116172910613,-113.05556542770093,Utah,UT00118
,,,,,9 hole Par 31,Thunderbird Golf Course,+1 435 648 2188,https://www.zionnational-park.com/golf.htm,,,,,,9_hole,31,,,,,,,,,,,,,,,124727.39319954428,37.22343753118744,-112.68402340138354,Utah,UT00113
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,120568.6096551006,37.09568644462642,-113.32573360998906,Utah,UT00149
Salt Lake City,1200,84116,UT,North Redwood Road,9 hole Par 27,Roots Disc Golf Course,+1 801 533 4527,,,,,,,,,Salt Lake City,,,,,,,,,,,,,,87949.84457187759,40.79431374926876,-111.93757188252198,Utah,UT00049
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,86573.4371885193,37.10160526392226,-113.32485649253303,Utah,UT00140
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,71762.76968433715,37.10225086020974,-113.32050309779368,Utah,UT00137
,,,,,,Cottonwood Country Club,,,,,,,,,,,,,,,,,,,,,,,,43092.08927295721,40.650527487086876,-111.84087932018696,Utah,UT00119
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,33170.93835552716,37.11315482346044,-113.32182010961456,Utah,UT00138
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,30998.71355379774,37.10607546287661,-113.32173180937869,Utah,UT00136
,,,,,,Copper Rock Golf Course - Hole 1,,,,,,,,,,,,,,,,,,,,,,,,27069.882664123616,37.10963789558874,-113.3188337753066,Utah,UT00133
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,25467.862254203566,37.105854242934846,-113.31506352780153,Utah,UT00141
,,,,,,Copper Rock Golf Course,,,,,,,,,,,,,,,,,,,,,,,,24715.39850736987,37.111783530728914,-113.31440448787619,Utah,UT00130
,,,,,,Topgolf,,,,,,,,,,,,,,,,,,,,,,,,22705.16741914905,40.30609754618873,-111.7356267330998,Utah,UT00153
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,22471.77888818204,37.11356766114161,-113.31942158655127,Utah,UT00139
,,,,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,15324.00046266528,37.10413486965143,-113.31737730723536,Utah,UT00151
,,,,,,Copper Rock Golf Course - Hole 6,,,,,,,,,,,,,,,,,,,,,,,,14895.565016852244,37.1006966923059,-113.32485113268122,Utah,UT00131
