name,website,addr:city,addr:state,addr:housenumber,addr:postcode,addr:street,operator,opening_hours,access,phone,source,wikidata,sport,area,addr:country,contact:phone,wikipedia,description,start_date,landuse,ref,golf:course,golf:par,fixme,distance,par,golf,note,type,ele,gnis:feature_id,facebook,area_m2,lat,lon,province,gcid
Shiloh Golf Course,,Adamsville,TN,2913,38310,Caney Branch Road,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,https://www.facebook.com/ShilohGC/,559568.8066726618,35.20604568691506,-88.36269163248603,Tennessee,TN00054
Smyrna Golf Course,https://www.smyrnagolfcourse.com/,Smyrna,TN,101,37167,Sam Ridley Pkwy East,,,,+1-615-459-2666,,,,,,,,,,,,,,,,,,,multipolygon,,,,559456.077854261,35.99845190653358,-86.51577687568142,Tennessee,TN00052
White Plains Golf Course,https://www.whiteplainsgolfcourse.com/,Cookeville,,4000,38506,Plantation Drive,,,,+1 931 537 6397,,,,,,,,,,,,,,,,,,,multipolygon,,,,557198.8755725282,36.18114029304489,-85.43004446816066,Tennessee,TN00025
Shelby Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556783.2625692622,36.1757693187422,-86.73073647469252,Tennessee,TN00095
Green Meadow Country Club,http://greenmeadowcc.com/,Alcoa,,1700,37701,Louisville Road,,,,+1 865 982 8783,,,,,,,,,,,,,,,,,,,,,,,553703.3440435987,35.785339298237794,-84.00087429233788,Tennessee,TN00162
Smoky Mountain Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,553641.601353212,35.93102513558319,-83.18863818676174,Tennessee,TN00055
Fulton Country Club,http://www.fultoncountryclub.com/,South Fulton,,9307,38257,State Line Road,,,,+1 731 479 3016,,,,,,,,,,,,,,,,,,,,,,,552992.1766464289,36.498706535635634,-88.85018487486099,Tennessee,TN00145
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552482.2393388617,35.44921473024538,-84.73038567017029,Tennessee,TN00091
Greymere Country Club,https://www.graymerecc.com/,Columbia,,2100,38401,Country Club Lane,,,,+1 931 388 4455,,,,,,,,,,,,,,,,,,,,,,,547458.5107741475,35.595638148533546,-87.07217530490688,Tennessee,TN00164
Memphis Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,clubhouse,,,,,,545849.8082889882,35.1196030865233,-89.95816854343241,Tennessee,TN00070
Beaver Creek Country Club,,,,,,,Beaver Creek Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,545318.0017339402,36.06643377186432,-83.94657725353846,Tennessee,TN00081
McDonald Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538809.460450481,36.38704716632934,-82.98049796471794,Tennessee,TN00209
Johnson City Country Club,,Johnson City,TN,1901,37601,East Unaka Avenue,,,,,,,golf,,,,,,,,,,,,,,,,,,,,533916.1607455618,36.34346670799307,-82.34106919228444,Tennessee,TN00144
Wild Laurel Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528283.8993565284,35.6685800144227,-83.80606519548968,Tennessee,TN00178
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,526057.2729597982,35.06500218008321,-90.10757603030629,Tennessee,TN00011
Jackson National Golf Club,https://www.golfjacksontn.us/,Jackson,TN,307,38305,Henderson Road,,,,+1-731-424-3146,,,,,,,,,,,,18_hole,72,,,,,,,,,,520097.31535700534,35.685320886666005,-88.79660251101856,Tennessee,TN00085
Carroll Lake Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514392.7516993964,36.10961864342469,-88.47035026383985,Tennessee,TN00223
Chickasaw Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506535.11254958453,35.143592360873356,-89.94881030472342,Tennessee,TN00071
Swan Lake Golf Course,https://www.cityofclarksville.com/453/Golf-Courses,Clarksville,TN,1514,37043,Golf Club Ln,,,,+1-931-645-7479,,,,,,,,,,,,,,,,,,,multipolygon,,,,505725.4670262786,36.55133369567358,-87.29627654216067,Tennessee,TN00029
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501160.85070359416,36.351176754686655,-89.1517578809979,Tennessee,TN00196
The Links at Galloway,https://www.memphistn.gov/Government/ParksNeighborhoods/GolfCourses/LinksatGalloway.aspx,,,3815,,Walnut Grove Road,,,,901-685-7805,,,,,,,,,,,,,,,,,,,,,,,498737.6421506852,35.129362393402275,-89.93594675375128,Tennessee,TN00069
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493002.5595559918,36.51431352122205,-82.5706068104067,Tennessee,TN00139
Williams Creek Golf Course,http://www.williamscreekgolfcourse.com/,Knoxville,,2351,37915,Dandridge Avenue,,,,865-546-5828,,,,,,,,,,,,,,,,,,,,,,,491546.1354634017,35.97406135110585,-83.88197786610151,Tennessee,TN00109
Fairvue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490411.4538872963,36.34821982449144,-86.4916043125672,Tennessee,TN00243
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488999.0784701438,35.549954162520876,-84.97252812260773,Tennessee,TN00088
Dyersburg Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477728.0354636214,35.998456953390445,-89.41004243061732,Tennessee,TN00093
The Links at Whitehaven,https://www.memphistn.gov/Government/ParksNeighborhoods/GolfCourses/LinksatWhitehaven.aspx,,,750,,East Holmes Road,,,,901-396-1608,,,,,,,,,,,,,,,,,,,,,,,460011.43554675125,35.010587731303715,-90.0399291409215,Tennessee,TN00100
VA Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453036.14556192013,35.92270588203662,-86.38043195844152,Tennessee,TN00106
Poplar Meadows Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449497.5777591188,36.3780909957424,-88.98056174202932,Tennessee,TN00206
Cherokee Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449130.9683552811,35.93431452609155,-83.98976400650633,Tennessee,TN00199
Springbrook Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431081.0958087904,35.5155026716191,-84.55571791966084,Tennessee,TN00151
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416116.89961598255,35.749755986894975,-89.5087833367256,Tennessee,TN00195
Links at Riverside Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406084.8625770092,35.10325196993241,-90.07914159247736,Tennessee,TN00185
Whittle Springs Golf Course,https://www.golfwhittlesprings.com/,Knoxville,,3113,37917,Valley View Drive,,,,865-525-1022,,,,,,,,,,,,,,,,,,,,,,,387276.6212238584,36.01624811058996,-83.90787652438921,Tennessee,TN00082
Brown Acres Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382492.5548615968,35.007895699625884,-85.19536784639907,Tennessee,TN00079
Lebanon Golf & Country Club,https://www.lebanongolfandcountryclub.com/,Lebanon,TN,1300,37087,Coles Ferry Pike,,,,+1-615-444-8300,,,,,,,,,,,,,,,,,,,,,,,376956.53675279114,36.22204733347237,-86.30796417602531,Tennessee,TN00150
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375778.5776756546,35.9718151966972,-85.8203777283227,Tennessee,TN00237
Signal Mountain Golf and Country Club,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,370032.60854588065,35.130298781781796,-85.3426147401395,Tennessee,TN00191
Smyrna Municipal,https://www.smyrnagolfcourse.com/,Smyrna,TN,101,37167,Sam Ridley Pkwy East,,,,+1-615-459-2666,,,,,,,,,,,,,,,,,,,,,,,366808.4382132712,35.994676752292925,-86.50475448545845,Tennessee,TN00097
Cattails Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366723.98768767156,36.50674289430283,-82.56388374741081,Tennessee,TN00059
Stonebridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362010.39700354834,35.2116998119307,-89.75512086369628,Tennessee,TN00128
Franklin County Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347830.07841313456,35.170849626204294,-86.09355662591268,Tennessee,TN00155
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344534.9812418134,35.94487032035394,-86.83903006317063,Tennessee,TN00067
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314936.8960240156,35.2811414105322,-89.00999354305107,Tennessee,TN00160
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314551.17373310484,35.17824921586508,-88.62019912026317,Tennessee,TN00236
Arnold Golf Course,https://www.arnoldafbservices.com/golf-course.html,,TN,,,,,,yes,+1-931-454-4653,Bing,,,,,,,,,,,,,,,,,,,,,,314008.5261233255,35.35352147344191,-86.1721511561619,Tennessee,TN00135
Paris Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306221.3495965698,36.344201618657564,-88.25026082211751,Tennessee,TN00134
Concord Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305930.8323247122,35.011597644514794,-85.18038581845782,Tennessee,TN00136
The Course at Sewanee,https://www.thecourseatsewanee.com/index.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,302561.1263430468,35.21251172797051,-85.91365727153494,Tennessee,TN00049
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299849.1812919496,35.91581481591528,-85.43463811960463,Tennessee,TN00194
Copper Basin Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299512.8264017085,35.02516688645401,-84.32515291160652,Tennessee,TN00239
Belle Acres Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289000.7879277114,36.16309222342311,-85.4833161904497,Tennessee,TN00173
Creekside Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287410.45156005525,35.88618400904838,-83.7246427352556,Tennessee,TN00226
LaFallotte Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,271150.40821774426,36.38428914179676,-84.09862462083157,Tennessee,TN00047
Oakview Links,http://www.westtngolf.com/,Newbern,,218,38059,Wheatley Drive Extension,,,,+1 731-627-0047,,,,,,,,,,,,,,,,,,,,,,,270570.4881984495,36.116640453177745,-89.27826045413757,Tennessee,TN00119
Lakeside Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262652.3748190662,35.84960061873139,-84.49551240571166,Tennessee,TN00231
Dandridge Golf & Country Club,,Dandridge,TN,1247,37725,Stonewall Jackson Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,260223.96484492306,36.04535853162453,-83.40055324924765,Tennessee,TN00182
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255740.8249163361,35.01052954853662,-85.19853201516908,Tennessee,TN00064
Fayetteville Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,243843.20985645824,35.17383862985354,-86.58435893627907,Tennessee,TN00012
The Links at Overton Park,https://www.memphistn.gov/Government/ParksNeighborhoods/GolfCourses/LinksatOvertonPark.aspx,,,2080,,Poplar Avenue,,,,901-725-9905,,,,,,,,,,,,,,,,,,,multipolygon,,,,241960.02688633202,35.143479343342584,-89.99116065576993,Tennessee,TN00030
Morristown Golf & Country Club,,Morristown,TN,1180,37813,Valley Home Road,,,,,,,,,,,,,,,,,,,,,,,,,,,236260.59401160752,36.1910635295845,-83.3187541782132,Tennessee,TN00179
Signal Mountain Golf Course,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,233325.08775206585,35.127905019586876,-85.35393490836556,Tennessee,TN00193
Percy Warner Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214549.00943933064,36.083910824177785,-86.870021363967,Tennessee,TN00089
Mason Rudolph Golf Course,https://www.cityofclarksville.com/453/Golf-Courses,Clarksville,TN,1514,37043,Golf Club Lane,,,,+1-931-645-7479,,,,,,,,,,,,,,,,,,,multipolygon,,,,212314.81220617908,36.51258615694593,-87.3264488131316,Tennessee,TN00020
Memphis Athletic Ministries Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202901.48033264428,35.08317737420795,-89.99147977709315,Tennessee,TN00176
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196311.14731820422,35.92170282375785,-84.56788119612013,Tennessee,TN00163
Fairvue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193312.11690765625,36.33857832554085,-86.48417295033802,Tennessee,TN00244
Lupton City Golf Club,http://www.luptoncitygolf.com/,,,,,,,,,+1-423-364-6947,,,,,,,,,,,,,,,,,,,,,,,174409.1512681746,35.10088506773037,-85.2637794033166,Tennessee,TN00061
Harpeth Valley Golf Center,https://www.harpethvalleygolf.com/,Nashville,TN,7629,37221,Old Harding Rd,,,,+1-615-646-8858,,,,,,,,,,,,,,,,,,,,,,,171796.7086181671,36.05622050070652,-86.94484919684182,Tennessee,TN00174
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149462.41724525334,35.17863852223944,-85.2325226549161,Tennessee,TN00073
The Patch at The Preserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,145640.88359895654,35.91041260004053,-84.41322618450417,Tennessee,TN00044
UT Day Golf Practice Facility,,,,,,,"University of Tennessee, Knoxville",,,,,,,,,,,,,,,,,,,,,,,,,,137229.2150679152,35.9348434093615,-83.95039079843448,Tennessee,TN00148
Stonebridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131807.4904544377,35.21143108780441,-89.74778430275963,Tennessee,TN00126
Stonebridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130980.63968000964,35.207980025682964,-89.74311893898758,Tennessee,TN00125
Vinny Links Golf Course,https://www.nashville.gov/departments/parks/golf-courses/vinnylinks-golf-course,Nashville,TN,2009,37206,Sevier Street,,,,+1-615-645-9863,,,,,,,,,,,,,,,,,,,,,,,128325.67073839015,36.1653853343852,-86.73711883931887,Tennessee,TN00096
Wynridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126201.20334997104,36.35370965681571,-89.1437966551938,Tennessee,TN00197
Beverly Park Junior Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107971.1461636149,36.06005144271261,-83.89047653146761,Tennessee,TN00154
Stonebridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105087.94979167945,35.20829083768233,-89.75610017767664,Tennessee,TN00127
Fairways and Greens Golf Center,http://fairwaysandgreens.org,Knoxville,,626,37932,Simmons Road,,,,,,,,,,,,,,,,,,,,,,,,,,,101573.54995022203,35.91346355244457,-84.13742040265679,Tennessee,TN00137
Stonebridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99661.36927046125,35.21678727906445,-89.74475548226957,Tennessee,TN00130
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97832.03204285732,35.12927822766133,-85.30478401783975,Tennessee,TN00080
Lightning Bug Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93546.09792378511,35.85583380467891,-86.63172022607958,Tennessee,TN00220
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91345.71057053184,35.17808929923446,-85.22948451343142,Tennessee,TN00072
Temple Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85405.08162173477,36.025043179228206,-86.95389726358336,Tennessee,TN00094
Fairvue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71123.65303061472,36.344805415797,-86.48588278620011,Tennessee,TN00245
Beverly Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68142.41086335089,36.058041177665665,-83.8932858490098,Tennessee,TN00153
Concord Park Golf Course,,Knoxville,TN,10909,37922,South Northshore Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,56525.26698934271,35.86430292066857,-84.12375018591537,Tennessee,TN00203
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55415.395090978906,35.132354723970394,-85.30516593727343,Tennessee,TN00062
ETSU Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52937.45077180091,36.29461258970651,-82.36969949106782,Tennessee,TN00141
Unknown Golf Course,,,,,,,University of Memphis,,,,,,,,,,,,,drving_range,,,,,,,,,,,,,52616.63282889903,35.10177023588663,-89.92896369037327,Tennessee,TN00177
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49238.817700857624,35.244285150933784,-84.98469599010154,Tennessee,TN00120
Big Hollow Par III,http://www.bighollowpar3.com/,Blountville,,1901,37617,Highway 394,,,,423-323-6615,,,,,,,,,,,,,,,,,,,,,,,39907.8113749969,36.52689995138578,-82.32343756240716,Tennessee,TN00113
Jerry Carpenter Practice Grounds,,,,,,,The University of Tennessee at Martin,,,,,,,,,,,,,,,,,,,,,,,,,,38936.58098501789,36.34812344235524,-88.86587671081223,Tennessee,TN00222
Stonebridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36923.092791059345,35.213155289524195,-89.74270872401864,Tennessee,TN00129
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30991.45115388436,35.13498077606088,-85.30644350129349,Tennessee,TN00063
Dandridge Golf & Country Club,,Dandridge,TN,1247,37725,Stonewall Jackson Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,26809.783823001555,36.04215027584378,-83.40005613075778,Tennessee,TN00183
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24944.820918925096,34.9955687592411,-85.2038603799405,Tennessee,TN00217
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13515.254524867414,35.17781793906017,-85.23320117638777,Tennessee,TN00074
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13508.76758340743,35.177495706718524,-85.18384039428385,Tennessee,TN00076
