name,operator,access,golf:course,website,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,contact:facebook,website2,addr:state,phone,gnis:feature_id,sport,fixme,source,email,tourism,golf,landuse,ref,resort,description,old_name,wikidata,wikipedia,wheelchair,addr:county,opening_hours,building,name:zh,name:zh-Hans,ref:fcpa,fax,addr:country,type,cr:blue,cr:red,cr:white,sr:blue,sr:red,sr:white,building:levels,leisure_1,alt_name,contact:email,area_m2,lat,lon,province,gcid
Cypress Creek Golfers' Club,,,18_hole,https://www.cypresscreekgolfersclub.com/,Smithfield,600,23430,Cypress Creek Parkway,,,CypressCreekGC,,VA,+1-757-365-4774,2520156,,,,cypresscreekonline@gmail.com,,,,,,,,,,,,Mo-Su 07:00-18:00,,,,,,,multipolygon,,,,,,,,,,,880968.0718385654,36.96165345718023,-76.62653632558226,Virginia,VA00086
Hidden Valley Country Club,,,,https://www.hiddenvalleycc.com/,Salem,2500,24153,Romar Road,,,,,,+1 540 389 8146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880344.9479375175,37.25900222422128,-80.04880185182641,Virginia,VA00247
Draper Valley Golf Club,,,,https://www.drapervalleygolf.com/,Draper,2800,24324,Big Valley Drive,,,,,,866-980-4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850921.5696998724,36.99553161117995,-80.81499896089188,Virginia,VA00177
The Dominion Club,,,,http://tdcva.com/,Glen Allen,6000,23059,Dominion Club Drive,,,,,VA,+1 804-360-1200,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,847624.6554714704,37.702770870328514,-77.608801429313,Virginia,VA00039
Fincastle Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844241.7872476227,37.228801446219826,-81.27640087315164,Virginia,VA00241
Stonehenge Country Club,,,,https://www.invitedclubs.com/clubs/stonehenge-golf-country-club,Richmond,1000,23236,Farnham Drive,,,,,VA,+1 804-378-7841,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,840735.9344023031,37.49590666447407,-77.62796501854308,Virginia,VA00047
Blue Ridge Shadows Golf Club,,,,https://www.blueridgeshadows.com/,Front Royal,456,22630,Shadows Drive,,,,,,540-631-9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840602.5649917081,38.98939318199151,-78.18735059017575,Virginia,VA00206
The Club at Ironwood,,,,https://www.theclubatironwood.com/,Verona,62,24482,Country Club Circle,,,,,VA,+1 540 248 7272,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838772.026407842,38.17326160307953,-79.00940294652467,Virginia,VA00252
Shenandoah Valley Golf Club,,,,https://www.shenandoahvalleygolfclub.com/,Front Royal,134,22630,Golf Club Circle,,,,,,540-636-4653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835030.1910921279,38.99226631235093,-78.12956009548128,Virginia,VA00209
Meadowbrook Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,"en:Meadowbrook Country Club (Chesterfield County, Virginia)",,,,,,,,,,,,,,,,,,,,,833704.8706240945,37.447495339593985,-77.4667603139736,Virginia,VA00126
Ingleside Golf Resort and Conference Center,Shenandoah Vistas Development,private,,http://www.inglesidegolf.net/,,,,,,,,,,+1 540 248 7888,,,,,,resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832583.2593438928,38.1874384951619,-79.03384273971119,Virginia,VA00251
Pleasant Valley Golfers' Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830234.9527992043,38.88754805851035,-77.47598700348136,Virginia,VA00151
Auburn Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821926.5540962822,37.07842361789927,-80.44216995902528,Virginia,VA00328
The Gauntlet Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816030.200082318,38.437161796606595,-77.5716909979165,Virginia,VA00256
Suffolk Golf Course,,,,https://www.suffolkgolfcourse.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810589.2170262744,36.726886412595576,-76.61338370384746,Virginia,VA00152
Sleepy Hole Golf Course,,,,https://www.sleepyholegolfcourse.com/,Suffolk,4700,23435,Sleepy Hole Road,,,,,,+1-757-538-4100,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,809088.1572718346,36.83912824842813,-76.5165453253174,Virginia,VA00073
King Carter Golf Club,,,,http://www.kingcartergolfclub.com/,Irvington,480,22480,Old Saint Johns Road,,,,,,+1 804 435 7842,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,802539.5011624842,37.6935565835405,-76.402551964535,Virginia,VA00067
Kiskiack Golf Course,,,,https://www.kiskiackgc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798020.5577823098,37.38737739870217,-76.7491241921619,Virginia,VA00221
Thorn Spring Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796510.4792429372,37.08312242403563,-80.73971478229562,Virginia,VA00311
Brandermill Country Club,,,,https://www.acumengolf.com/brandermill/,,,,,,,BrandermillCountryClub,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,789161.1080687442,37.43776560247163,-77.65119785391859,Virginia,VA00100
Algonkian Regional Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788721.7361322471,39.057585894665806,-77.37514028896487,Virginia,VA00122
Stonewall Golf Club,,,,https://www.stonewallgolfclub.com/,Gainesville,15601,20155,Turtle Point Drive,,,,,VA,+1 703-753-5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783525.6643160337,38.778551071919175,-77.64843910602178,Virginia,VA00145
Richmond Country Club Golf Course,,,,https://www.richmondcountryclubva.com/,Richmond,12950,23238,Patterson Avenue,,,,,VA,+1 804-784-5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781881.0601279184,37.60592553991192,-77.68278754212254,Virginia,VA00208
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,776584.674223138,36.69624656475777,-81.95793252245636,Virginia,VA00070
Honey Bee Golf Club,,,,https://www.honeybeegolf.com,Virginia Beach,2500,23456,Independence Boulevard,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,772763.7424481104,36.77779241334917,-76.12922127847524,Virginia,VA00087
Great Oaks Country Club,,,,,Floyd,1158,24091,Floyd Highway North,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771964.7412179629,36.929735493472926,-80.27155050959857,Virginia,VA00288
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,771476.906934569,36.702972152493466,-76.98893056283325,Virginia,VA00081
Stoneleigh Golf and Country Club,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768275.5223518397,39.121751597635225,-77.78571352636318,Virginia,VA00239
Stoneleigh Golf and Country Club,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768275.5223518397,39.121751597635225,-77.78571352636318,Virginia,VA00238
Meadowcreek Golf Course,,,,https://www.meadowcreekgolf.org/,Charlottesville,1400,22901,Pen Park Road,,,,,,434-977-0615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767708.8884367273,38.05070504965892,-78.45279828603844,Virginia,VA00155
Ford's Colony Country Club - Blackheath Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,761033.8046237397,37.29997419059483,-76.79128581250947,Virginia,VA00103
Loudoun Golf and Country Club,,,,https://loudoungolf.com/,Purcellville,36967,20132,West Main Street,,,,,VA,+1 540-338-7679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753175.4711701008,39.13336368840704,-77.72892229330228,Virginia,VA00322
Providence Golf Club,,,,https://www.providencegolfclub.com/,Richmond,1160,23236,South Providence Road,,,,,VA,+1 804-276-1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752928.2629593555,37.48181570769304,-77.56070267179007,Virginia,VA00186
Williamsburg Golf Club,,,,https://williamsburgclub.com/,Williamsburg,1801,23185,Merrimac Trail,,,,,,757-221-0573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752065.9934170627,37.24373357100941,-76.64241953174894,Virginia,VA00129
Ford's Colony Country Club - Blue Heron Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,747564.8498428079,37.29309282055354,-76.77479973765801,Virginia,VA00101
Forest Park Country Club,,,,https://forestparkcc.org,Martinsville,1821,24112,Mulberry Road,,,,,VA,+1 276-632-1711,,,,,info@forestparkcc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745996.0287337168,36.65112238724013,-79.83691035021475,Virginia,VA00229
Winchester Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742826.8743922275,39.17024628679415,-78.14717917758433,Virginia,VA00309
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739905.2665232217,36.5572439468933,-77.88741972028402,Virginia,VA00305
Kingsmill Resort: The Woods Course,Kingsmill Resort,private,18_hole,https://www.kingsmill.com/golf/the-woods-course/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734580.5255262671,37.22491479787075,-76.63179064985307,Virginia,VA00189
River Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,734162.2143487004,39.106257345535916,-77.49109807626562,Virginia,VA00060
Botetourt Golf & Swim Club,,,,https://www.botetourtgolfswimclub.com/,Troutville,2414,24175,Country Club Road,,,,,,+1 540 992 1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730964.7636486728,37.47682897926252,-79.92533066148319,Virginia,VA00219
Ford's Colony Country Club - Marsh Hawk Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,729957.4111594298,37.30595491696825,-76.78308855646459,Virginia,VA00102
Green Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,729529.8443494135,38.32460101946009,-78.40228485025081,Virginia,VA00089
Springfield Country Club,,,,https://www.sgccva.org/,Springfield,8301,22152,Old Keene Mill Road,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728173.8697442625,38.77590601827328,-77.22542214889826,Virginia,VA00121
River Bend Golf Course,,,,,,,,,,,,,,,,,golf course still need bunkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720996.6313578562,39.01834320078412,-77.28724814538884,Virginia,VA00162
River Bend Golf Course,,,,,,,,,,,,,,,,,golf course still need bunkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720996.6313578562,39.01834320078412,-77.28724814538884,Virginia,VA00163
Holston Hills Community Golf Course,,,,http://holstonhillsgolf.com/,Marion,1000,24354,Country Club Road,,,,,,+1 276 783 7484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720864.8627666697,36.827370744855855,-81.54035459269328,Virginia,VA00217
Reston National Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,718303.3658351495,38.9429640073026,-77.35028824160649,Virginia,VA00076
Cedar Point Country Club,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717534.1847199333,36.90206431988489,-76.48933269762048,Virginia,VA00317
Westwood Country Club,,,18_hole,,,,,,,,,,,,,,bunkers and trees/vegetation need to be mapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717477.6392084551,38.914617248529495,-77.25120184354526,Virginia,VA00150
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713102.7845205008,38.0146884959084,-78.36045410050589,Virginia,VA00267
Old Hickory Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713073.0456758373,38.69536441894286,-77.34447347919841,Virginia,VA00160
Golden Horseshoe Golf Club Gold Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710324.0176229544,37.261331780554215,-76.69649622852401,Virginia,VA00195
Tuscarora Country Club,,,,https://www.tuscaroracountryclub.net/,Danville,701,24540,Golf Club Road,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702734.9603764645,36.672249417883336,-79.43192588133418,Virginia,VA00344
Hidden Creek Country Club,,,,https://www.hiddencreekcc.com/,,,,Clubhouse Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,701003.1897188321,38.958465354468395,-77.3426351394306,Virginia,VA00022
Blacksburg Country Club,,,,https://blacksburgcc.com/,Blacksburg,1064,,Clubhouse Road,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,693177.9433386317,37.216511997277614,-80.3587014002837,Virginia,VA00071
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693095.0369882011,37.3356081465055,-78.87429100936812,Virginia,VA00292
Farmville Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692635.7136974037,37.35377602201891,-78.43495465631366,Virginia,VA00204
Farmville Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692635.7136974037,37.35377602201891,-78.43495465631366,Virginia,VA00203
Blue Hills Golf Club,,,,https://bluehillsgc.com/,Roanoke,2002,24012,Blue Hills Drive NE,,,,,VA,+1-540-344-7848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688846.2907336494,37.31111212298477,-79.90745764732621,Virginia,VA00119
Belle Haven Country Club,,,,https://www.bellehavencc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,688016.9439687078,38.78570295609924,-77.05755185884033,Virginia,VA00016
Old Course,Omni Homestead Resort,,,https://www.omnihotels.com/hotels/homestead-virginia/golf/old-course,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686071.425941103,38.00305896095771,-79.82333689657203,Virginia,VA00271
The Crossings Golf Club,,,,https://www.thecrossingsgc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681592.9077194463,37.661921364145655,-77.44042413380359,Virginia,VA00265
Country Club Of Fairfax,,,,https://www.ccfairfax.org/Club/Scripts/Home/home.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,671416.4491956598,38.822227772199334,-77.32413516471,Virginia,VA00020
Packsaddle Ridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670550.906012607,38.4661191598294,-78.7464663880782,Virginia,VA00234
Mountain Greens Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669280.9452138357,38.412724650304966,-78.74945936155622,Virginia,VA00258
Fauquier Springs Country Club,,,,https://www.fauquiersprings.com/,Warrenton,9236,20186,Tournament Drive,,,,,VA,+1 540-347-4205,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,668153.6054067629,38.65544219315926,-77.87113383400121,Virginia,VA00052
Colonial Hills Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665768.3399999,37.381472097298676,-79.27476501159657,Virginia,VA00236
Willow Oaks Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664959.2798146355,37.53932738090734,-77.50543356551461,Virginia,VA00187
Lexington Golf and Country Club,,,,https://www.lexingtongolfandcountryclub.com/,Lexington,141,24450,Country Club Road,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663741.3166710946,37.77169206700411,-79.46196233572341,Virginia,VA00227
Castle Rock Golf & Recreation,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662027.378740862,37.30585593870718,-80.63884538018692,Virginia,VA00323
James River Country Club,,private,18_hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657592.610597424,37.05896722743632,-76.50477720167089,Virginia,VA00197
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657024.5996036663,36.710973628042396,-80.85897058205009,Virginia,VA00286
Greendale Golf Course,Fairfax County Park Authority,,18_hole,https://www.fairfaxcounty.gov/parks/golf/greendale/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,multipolygon,,,,,,,,,,,655932.4236833145,38.7733707337942,-77.12134290258685,Virginia,VA00014
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,654438.2778673776,37.7000302505251,-76.33930342735904,Virginia,VA00094
Prince William Golf Course,Billy Casper Golf,,,,Nokesville,14631,20181,Vint Hill Road,,,,,VA,,1760915,,,esri_Virginia,,,,,,,,,,,,Prince William County,Mo-Su 07:00-19:30,,,,,,,,,,,,,,,,,,650102.7560086545,38.74744451137842,-77.63014326064034,Virginia,VA00125
Sycamore Creek Golf Course,,,,http://sycamorecreekgolfcourse.com/,Manakin-Sabot,1991,23103,Manakin Road,,,,,VA,+1 804-784-3544,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,646413.0375205707,37.676325813770525,-77.68758616214907,Virginia,VA00043
Bide-A-Wee Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644317.058888728,36.80221762093395,-76.33951198566143,Virginia,VA00213
Sewells Point Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639036.2881556681,36.92316968860075,-76.2883043989053,Virginia,VA00315
Hanover Golf Club,,,,https://www.hanovergolfva.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634367.5941535898,37.800937301,-77.54019545529432,Virginia,VA00298
Medal of Honour Golf Course,,,,https://quantico.usmc-mccs.org/recreation-fitness/recreation/outdoor-recreation/golf-course,Quantico,3313,22134,Fuller Heights Rd,,,,,VA,+1-703-784-2424,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,627398.6096259308,38.53021204143376,-77.30946149428124,Virginia,VA00110
Elizabeth Manor Golf & Country Club,,,,https://elizabethmanorgolf.com,Portsmouth,1,23701,Ace Parker Drive,,,EMGCC,,VA,+1-757-488-6605,,,,,,,,,,,,,,,,,Tu-Su 07:00-17:00,,,,,,,,,,,,,,,,,,626331.8805448175,36.815416660261796,-76.39393950341116,Virginia,VA00127
The Country Club of Virginia - Westhampton,,,,https://www.theccv.org/,Richmond,6031,23226,Saint Andrews Lane,,,,,VA,+1 804-288-2891,,,,,,,,,,,,,Q5177255,,,,,,,,,,,,,,,,,,,,,,626157.7603115203,37.571181094851745,-77.53071812452355,Virginia,VA00202
Spotswood Country Club,,,,,,,,,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,621229.4852113419,38.42868842360722,-78.83477288430241,Virginia,VA00156
Cypress Point Country Club,,,,https://www.cypresspointcc.com/,Virginia Beach,5340,23455,Club Head Road,,,,,VA,+1-757-490-6300,,,,,receptionist@cypresspointcc.com,,,,,,,,,,,,,,,,,,US,multipolygon,,,,,,,,,,,615254.2908260467,36.87942737035376,-76.162432942183,Virginia,VA00083
Wytheville Golf Club,,,,http://wythevillegolfclub.com/,,,,,,,,,,276-228-2143,1491246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615126.4270351217,36.938436918736315,-81.10764009522738,Virginia,VA00211
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614114.1519587532,36.88635718393167,-82.67966187353873,Virginia,VA00310
Eagle Haven Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612696.0989767842,36.920731239830005,-76.15212220545686,Virginia,VA00246
Green's Folly Golf Course,,,,https://www.greensfolly.com/,South Boston,1085,24592,Green's Folly Road,,,,,,+1 434 572 4998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601949.3399488705,36.73684418407687,-78.92709041800792,Virginia,VA00250
Heronwood,,private,,,,,,,,,,,,,,,,,,,,,,,"Private, Exclusive Golf Course",,,,,,,,,,,,,,,,,,,,,,,,601494.3297057004,38.98158735721592,-77.85901513576532,Virginia,VA00342
Chesapeake Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,599443.0864757671,36.708584548406755,-76.28637459476322,Virginia,VA00088
Brickshire Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,598160.5858990576,37.479725226447364,-76.99339455749862,Virginia,VA00348
Dogwood Trace Golf Course,,,,https://www.dogwoodtracegolf.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,597430.2103332886,37.18975063433924,-77.39728110411365,Virginia,VA00080
Penderbrook Golf Course,,,,https://penderbrookgolf.com/,,,,,,,,,,,1492018,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,596143.6974061992,38.8721739681638,-77.35869765857305,Virginia,VA00018
Windy Hill Sports Complex,,,,https://www.windyhillsports.com/,Midlothian,16500,23113,Midlothian Turnpike,,,,,VA,+1 804-794-0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584171.2169005573,37.511120961876514,-77.71707850931534,Virginia,VA00184
Westpark Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582999.9600596923,39.10154492412618,-77.5864781972282,Virginia,VA00166
Herndon Centennial Golf Course,,,,,,,,,,,,,,,1778792,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,582544.7424915469,38.97736065263896,-77.39593320050979,Virginia,VA00007
Danville Golf Club,,,,https://www.danvillegolfclub.com/,Danville,2725,24540,West Main Street,,,,,VA,1 434 792 7225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579263.6362279142,36.555686750910176,-79.45434042256265,Virginia,VA00339
Mount Vernon Country Club,,,,https://www.mountvernoncc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,571490.3766718593,38.71445403147955,-77.1193233868285,Virginia,VA00017
Quinton Oaks,,,,https://quintonoaks.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571373.4063892391,37.94277841731173,-76.57143585863189,Virginia,VA00349
Country Club of Culpeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,570450.8052741894,38.46443365630435,-78.01594371320911,Virginia,VA00025
Four Winds Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570308.584093421,38.239565999902595,-77.26487738100211,Virginia,VA00124
Bryce Resort,Bryce Resort,,,https://bryceresort.com/golf/,Basye,1982,22810,Fairway Drive,,,,,VA,+1 800 821 1444,,,,,,,,,,,,,,,,,08:00-20:00,,,,,,,multipolygon,,,,,,,,,,,569654.3403870666,38.817818480381426,-78.7685048637623,Virginia,VA00079
Waynesboro Country Club,,,,http://waynesborogolfandcountryclub.com/,Waynesboro,1117,22980,Meadowbrook Road,,,,,VA,+1 540 943 1131,,,,esri_Virginia,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,569050.9584482622,38.06036383839579,-78.91675829437759,Virginia,VA00068
The Cascades,Omni Homestead Resort,,,https://www.omnihotels.com/hotels/homestead-virginia/golf/cascades-course,Hot Springs,,24445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565119.8173815206,37.95235980001865,-79.87002128376619,Virginia,VA00270
The Golf Club at the Highlands,,,,https://www.highlands-golf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,558913.8755497207,37.3308895573236,-77.52943402382297,Virginia,VA00115
The Golf Club at the Highlands,,,,https://www.highlands-golf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,558913.8755497207,37.3308895573236,-77.52943402382297,Virginia,VA00116
Jefferson Lakeside Country Club,,,,http://www.jeffersonlakeside.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545612.3039476941,37.62585186735982,-77.46989765570906,Virginia,VA00153
Washington Golf and Country Club,,,,https://www.washingtongolfcc.org/,Arlington,3017,22207,North Glebe Road,,,,,VA,+1-703-524-4600,1492116,,,,comments@washingtongolfcc.org,,,,,,,,,,yes,,Mo-Fr 05:30-22:00; Sa-Su 07:00-20:00,,,,,+1-703-528-1409,,,,,,,,,,,,,538514.9962890097,38.91029343871544,-77.12330133938762,Virginia,VA00169
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538217.145464979,37.10525216921093,-81.6302859568076,Virginia,VA00307
Fredericksburg Country Club,,,,,Fredericksburg,11031,22408,Tidewater Trail,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533887.6087606596,38.26353438593905,-77.42943014042612,Virginia,VA00176
Cedar Hill Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518147.9400237898,36.6546142859212,-83.18532775636979,Virginia,VA00287
Kempsville Greens Golf Course,,,,,Virginia Beach,4840,23462,Princess Anne Road,,,kempsvillegreens,,VA,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,507993.5940630471,36.82275476849351,-76.1435191364718,Virginia,VA00082
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502687.9896839387,37.165093711288094,-81.2233979340624,Virginia,VA00218
Broad Bay Country Club,,,,https://www.broadbaycc.com,Virginia Beach,2120,23454,Lords Landing,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500742.2509718956,36.8923872613728,-76.04718317213266,Virginia,VA00130
Belmont Golf Course & Recreation Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498354.44242210867,37.61645822184247,-77.46358111775712,Virginia,VA00297
The Woodlands Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497354.16764646844,37.02783774003125,-76.32851730750215,Virginia,VA00134
