name,addr:city,addr:housenumber,addr:postcode,addr:street,gnis:feature_id,phone,website,addr:state,operator,contact:website,holes,wikidata,opening_hours,start_date,description,alt_name,old_name,sport,golf,lit,email,check_date,contact:facebook,golf:course,short_name,wikipedia,area,building,dog,fee,source,type,contact:instagram,contact:twitter,fax,ele,name:etymology:wikidata,official_name,par,wheelchair,landuse,area_m2,lat,lon,province,gcid
Slab Creek Golf Course,,,,,1700633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571706.5617503596,34.170982178275494,-86.37715418865396,Alabama,AL00108
Lakewinds Golf Course,Alexander City,,,County Road 40,137475,+1 256-825-9860,https://www.acpr.me/golf-course.php,,,,,,,,,,Midway Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,566326.0064565432,32.880299917679565,-85.87460784475536,Alabama,AL00112
Tall Pines Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,564978.8531695192,33.15507813392644,-87.46371558381205,Alabama,AL00035
Tall Pines Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,564978.8531695192,33.15507813392644,-87.46371558381205,Alabama,AL00036
Heritage Golf,Oneonta,1364,35121,Heritage Road,1700626,+1 205-274-2390,https://heritagegolfalabama.com/,,,,,,Mo-Su 07:30-17:30; PH off,2001,"Heritage Golf Alabama is an 18-hole golf course in the Appalachian foothills, featuring a layout that integrates natural elements. It also offers a 12,000 sq ft clubhouse for events and amenities.",,,,,,,2025-03-25,https://facebook.com/heritagegolfcourse,18_hole,,,,,,,,multipolygon,,,,,,Heritage Golf Alabama,71,yes,,563528.224564476,33.98182015797842,-86.45455569905059,Alabama,AL00048
Cypress Creek Golf Course,,,,,,,,,Mobile County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558310.7754252345,30.612169742694757,-88.12624127907974,Alabama,AL00205
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557428.4308184253,33.0371933490304,-86.9990839085525,Alabama,AL00194
Montgomery Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,554921.6797408807,32.351968027704125,-86.27996487588968,Alabama,AL00067
Montgomery Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,554921.6797408807,32.351968027704125,-86.27996487588968,Alabama,AL00068
Selma Country Club,Selma,103,36701,West Dallas Avenue,,+1 334 874 6907,http://www.selmacountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545864.8367740826,32.40925021992594,-87.04012463285873,Alabama,AL00145
Old Overton Club,,,,,,,https://www.oldovertonclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537512.0765287786,33.492591229792325,-86.67739048834763,Alabama,AL00180
Roebuck Municipal Golf Course,Birmingham,8920,35206,Roebuck Boulevard,164407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535774.0568929985,33.581121703180884,-86.71518835168021,Alabama,AL00073
Troy Country Club,,,,,,+1 334 566 3463,http://troycountryclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533371.2147421967,31.77710473032733,-85.97034221165829,Alabama,AL00165
Isle Dauphine Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,508767.97294427507,30.24573734910868,-88.11073484616453,Alabama,AL00043
The Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507515.46510891384,34.91799798135834,-87.2628043257282,Alabama,AL00173
Montevallo Golf Course,Montevallo,1481,35115,County Road 204,,+1 205 665 8057,https://www.cityofmontevallo.com/169/Montevallo-Golf-Club,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503430.8641272159,33.10390881657726,-86.87960055542283,Alabama,AL00156
Fox Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499193.3245323445,34.876826170175285,-86.54060460906541,Alabama,AL00086
Indian Hills Golf Club,,,,,139810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491835.7136562592,34.49172430192662,-86.93257903066893,Alabama,AL00101
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477217.49862880836,34.27806787622318,-87.60591968955153,Alabama,AL00140
Highland Park Golf Course,Birmingham,3300,35205,Highland Avenue South,164293,+1 205-322-1902,https://www.highlandparkgolf.com/,,,,,Q5758976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468751.82020639785,33.510905883827554,-86.77467925384069,Alabama,AL00072
Briarmeade Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462579.2702204591,33.959330889273396,-85.94639754557362,Alabama,AL00127
Decatur Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437084.6592315291,34.565336405368825,-86.96870727420885,Alabama,AL00057
Anniston Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432700.6605299736,33.64913859692836,-85.8163701409116,Alabama,AL00064
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432137.7880057688,31.698342134477514,-86.27061211867316,Alabama,AL00185
Trussville Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,427394.908806306,33.60201871153175,-86.55465823316068,Alabama,AL00031
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425672.46836551727,32.088065373184605,-88.18791882004847,Alabama,AL00206
Gateway Golf & Learning Center,Montgomery,3800,36105,Davenport Parkway,,+1 334 284 7920,https://www.playmontgomerygolf.com/-about-gateway-golf-and-learning-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423692.2755491938,32.332078004419465,-86.32920032151169,Alabama,AL00134
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422479.369504413,32.60290790914461,-88.20315893133991,Alabama,AL00171
Evans Barnes Golf Course,Andalusia,1735,36420,Danelly Boulevard,2579718,+1 334-222-8400,http://www.cityofandalusia.com/leisure-services/evans-barnes-golf-course.html,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,415501.91943302925,31.3250652025169,-86.44973606293622,Alabama,AL00052
Whispering Pines Golf Course,,,,,1700635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392453.1532509322,33.930154297035365,-86.41036164920541,Alabama,AL00109
Evergreen Golf Club,Evergreen,18382,36401,Highway 31,133111,+1-251-578-5214,http://www.evergreenalgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390925.1879844235,31.434146413594657,-86.88590364394778,Alabama,AL00117
Dogwood Hills Golf Course,Brewton,2385,36426,Douglas Avenue,2579635,+1-251-809-1750,,AL,"City of Brewton, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388225.3583380445,31.147506688056875,-87.07033443784047,Alabama,AL00116
Unknown Golf Course,,,,,2579721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372246.7549368754,30.357547779620283,-87.67885401950308,Alabama,AL00120
Burning Tree Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370360.1882550167,34.521981013161955,-86.9344080132788,Alabama,AL00147
Burning Tree Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370360.1882550167,34.521981013161955,-86.9344080132788,Alabama,AL00148
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361207.5719388949,33.27465570814803,-85.79648027071761,Alabama,AL00166
River Oaks Golf Course,,,,,2579717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344831.2370239911,31.02495863038185,-85.86444798678735,Alabama,AL00081
River Oaks Golf Course,,,,,2579717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344831.2370239911,31.02495863038185,-85.86444798678735,Alabama,AL00080
Jackson Links,,,,,2579723,+1 251-246-9993,http://www.cityofjacksonal.com/index_files/CommunityCenter.htm,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,335649.32640148135,31.504458076399818,-87.89003525908825,Alabama,AL00021
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333705.5983750251,34.48062976384678,-85.8049474176184,Alabama,AL00150
Holly Hills Country Club,Bay Minette,38600,36507,Country Club Drive,134602,+1 251-580-2553,http://www.cityofbayminette.org/Holly-Hills-Municipal-Golf-Course,,,,,,,,,Holly Hills Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,329911.7765917265,30.787442618442753,-87.77857233068393,Alabama,AL00118
Hillside Golf Course,,,,,164439,+1 256-883-0850,https://www.vhcc.com/,,Valley Hill Country Club,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,326996.1006968158,34.65324452364174,-86.53751254363823,Alabama,AL00018
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318594.07610731164,31.845236834226775,-86.63480565463608,Alabama,AL00090
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318390.29692204803,33.12455596320494,-85.39280202580389,Alabama,AL00196
Greystone G&CC Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313349.7521469346,33.45008916774639,-86.63563559604137,Alabama,AL00079
Pell City Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307955.2792585859,33.56161567183984,-86.25133192548132,Alabama,AL00122
Clanton Country Club,Clanton,1,35045,Country Club Road,136674,+1-205-755-0415,http://www.clantoncountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306785.16830940126,32.82499903146116,-86.6078345097314,Alabama,AL00091
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303032.0370319011,31.277780446322733,-86.28356224332482,Alabama,AL00163
Valleyside Golf Course,,,,,,+1 256-883-0850,https://www.vhcc.com/,,Valley Hill Country Club,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,300121.1249989423,34.656645136290315,-86.54878011632313,Alabama,AL00046
The Whip,Susan Moore,2920,35952,Lurleen Drive,,+1 205-559-2692,,AL,,,,,,1993,,,Whippoorwill Golf Course,,,,,2025-03-30,https://m.facebook.com/61560214053373,18_hole,,,,,,,,,,,,,,,,,,294553.06009779195,34.10734948885927,-86.42635878587063,Alabama,AL00208
Magnolia Meadows Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290587.370428875,33.169378825642916,-86.60173972715958,Alabama,AL00146
Desoto Country Club and Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290423.56747613364,34.46460821334646,-85.69682454079522,Alabama,AL00149
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287161.8267187622,32.50833523332507,-88.31012216527635,Alabama,AL00207
High Pointe Golf Course,Eight Mile,4603,36613,Golf Way Drive,2580056,+1 251-452-6531,https://www.thecityofprichard.org/high-pointe-golf-course.html,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,283563.73604777246,30.758552596347307,-88.16758697467651,Alabama,AL00042
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280874.0733723318,33.37707206822054,-87.98171285944235,Alabama,AL00184
Marion Military Institute Golf Course,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,280093.7511696662,32.616503722069176,-87.3250658433518,Alabama,AL00199
Scottsboro Country Club and Golf Course,,,,,164414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277752.01288316806,34.63779775865864,-86.04695240399704,Alabama,AL00103
Lakeside Golf Course,,,,,,+1 256-883-0850,https://www.vhcc.com/,,Valley Hill Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262068.62909855976,34.660055778730204,-86.54864074285044,Alabama,AL00170
Valley View Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,255319.38901496597,34.818161778131,-86.56692353853768,Alabama,AL00032
Greene County Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250692.53854433112,32.85450388819679,-87.93969138301102,Alabama,AL00203
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235330.1214244417,33.334187816234184,-86.82483091919973,Alabama,AL00075
Green Brian Golf Course,Morris,1130,35116,Morris Majestic Road,,,,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196714.66539528966,33.75881949632615,-86.79410970107381,Alabama,AL00182
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,163145.66012007828,33.48377434379556,-86.68098798458593,Alabama,AL00040
Unknown Golf Course,,4700,,Easy Street,2579724,+1 251-981-4653,https://www.obparksandrec.com/golfcenter.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159952.97152151022,30.293541634694783,-87.60658302126589,Alabama,AL00121
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,132833.0382410559,30.309831951946432,-87.67734082615063,Alabama,AL00010
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105356.68452426729,32.53402654266846,-85.51002159023979,Alabama,AL00191
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76280.59604606849,33.35006200531736,-86.81706625618078,Alabama,AL00077
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59101.25366328349,33.350822441151074,-86.82328891552828,Alabama,AL00076
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57022.30083430407,32.532322585116354,-85.51536245866194,Alabama,AL00190
Repar Golf DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53719.340545827254,34.55627217464442,-87.01653605623349,Alabama,AL00155
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32116.513613408046,32.53706226322613,-85.51339535775628,Alabama,AL00189
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,27072.823016068254,33.34156405047345,-86.82626874654301,Alabama,AL00176
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,22811.938803276702,33.34525243874008,-86.82482139055588,Alabama,AL00175
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22258.879968349567,33.52983901511613,-86.80690060988654,Alabama,AL00183
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,20398.926023076183,33.339070475487674,-86.82735684153597,Alabama,AL00177
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160.526750444053,33.35444285834804,-86.81331631569883,Alabama,AL00154
TopGolf,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,20093.71192462254,34.73887647193018,-86.66895746139107,Alabama,AL00169
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,19744.189610053894,33.33863529683681,-86.83018975469976,Alabama,AL00178
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,19083.452195509246,33.346525248326266,-86.82648835222618,Alabama,AL00174
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16767.723623768015,33.35249561673854,-86.81652776163163,Alabama,AL00153
Old Overton Club,,,,,,,https://www.oldovertonclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10451.935402255172,33.49657440425527,-86.67560747826076,Alabama,AL00200
