addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,golf:course,golf:links,golf:par,name,operator,phone,access,source,website,gnis:feature_id,old_name,alt_name,magic:DESC_,sport,wikidata,wikipedia,magic:CATEGORY,note,email,start_date,opening_hours,owner,ownership,bar,carts,cost,driving_range,food,holes,membership,smoking,abandoned,fax,type,golf:course:tee_names,golf:length:blue,golf:length:gold,golf:length:green,golf:length:white,golf:length_unit,golf:stroke_index,url,operator:type,operator:wikidata,operator:wikipedia,area_m2,lat,lon,province,gcid
New Haven,35,06513,CT,Eastern Street,,18_hole,,,Alling Memorial Golf Course,,203-946-8014,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.allingmemorialgolfclub.com/,1933232,,,,,,,,owned by New Haven,,,,,,,,,,,,,,,,,,,,,,,,,,,,575948.947436512,41.30844509941418,-72.8672537208154,Connecticut,CT00078
Farmington,806,06034,CT,Farmington Avenue,,,,,Country Club Of Farmington,,860-677-1681,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.farmingtoncountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,574937.7975533679,41.732446155258685,-72.82302229944656,Connecticut,CT00016
,,,,,"Private, Members Or Owners Only",,,,"Chippanee Golf Club,Inc.",,,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),,,,,,,,,General Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573456.4330946922,41.70449011644721,-72.98175479498447,Connecticut,CT00110
Thompson,205,06277,CT,East Thompson Road,,,,,Raceway Golf Club,,+1-860-923-9591,,,https://www.racewaygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,573077.5686645127,41.984518841576275,-71.83269773139237,Connecticut,CT00006
Newington,111,06111,CT,Golf Street,,,,,Indian Hill Country Club,,860-666-5447,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.ihccgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568858.9567205268,41.68826543909102,-72.73666555117205,Connecticut,CT00111
Goshen,250,06756,CT,Torrington Road,,,,,Torrington Country Club,,860-491-2440,,,https://torringtoncountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563297.4296137792,41.83183785449451,-73.20219534106337,Connecticut,CT00070
Danbury,119,06811,CT,Franklin Street,,,,,Ridgewood Country Club,,203-743-4491,,,https://www.ridgewoodcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561922.0562885486,41.405298070290975,-73.47279214623458,Connecticut,CT00064
Stamford,1349,06905,CT,Newfield Avenue,,,,,Sterling Farms Golf Club,,203-461-9090,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.sterlingfarmsgc.com/,1943007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556368.4035120315,41.10548511781773,-73.52607469397823,Connecticut,CT00044
Hamden,160,06517,CT,Hartford Turnpike,,18_hole,,,New Haven Country Club,,203-248-4488,,,https://www.newhavencc.com/,,,,,,Q29641691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555699.1486896488,41.349091928391836,-72.9070429877617,Connecticut,CT00135
Weston,67,06883,CT,Old Redding Road,,18,,71,Aspetuck Valley Country Club,,203-226-4701,,,https://www.aspetuckvalley.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,555093.9072076208,41.22593990637877,-73.33135240811512,Connecticut,CT00022
Portland,9,06480,CT,Rose Hill Road,,18,,72,Quarry Ridge Golf Course,,860-342-6113,,,https://quarryridge.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554817.6969578281,41.59235162526922,-72.59020821291749,Connecticut,CT00145
Stratford,385,06614,CT,Oronoque Lane,,18,,72,Blackhawk Country Club,,203-375-4293,,,https://www.blackhawkct.com/,,Oronoque Country Club,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,547211.2723425124,41.25043677848226,-73.11214148559952,Connecticut,CT00023
Hartford,280,06120,CT,Tower Avenue,,,,,Keney Golf Course,,+1 860 543 8618,,,https://www.keneyparkgolfcourse.com,,,,,,Q38250611,en:Keney Park Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531573.6695470391,41.807250782835254,-72.67110543410485,Connecticut,CT00036
North Windham,184,06256,CT,Club Road,,,,,The Golf Club at Windham,184 CLUB ROAD LLC,860-456-4211,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.windhamclub.com/,,Willimantic Country Club,,,,,,,,,,Tu-Su 07:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,527751.0669302895,41.726234565853446,-72.18493219370723,Connecticut,CT00108
Wallingford,37,06492,CT,Harrison Road,,18,,70,Wheeler Family Traditions Golf Club,,+1-347-682-5284,,,https://wheelertraditions.com/,,The Tradition Golf Club at Wallingford,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,525391.314122065,41.42534389199329,-72.81340934791065,Connecticut,CT00011
Westport,260,06880,CT,South Compo Road,,,,,Longshore Golf Course,,203-222-7535,,,https://www.longshoregolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521952.1567423804,41.111719515013704,-73.36242038916426,Connecticut,CT00151
Waterbury,171,06706,CT,East Mountain Road,,18_hole,,,East Mountain Golf Course,,203-753-1425,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),http://www.waterburyct.org/content/5063/5067/,1933659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516526.34848261817,41.523697592875045,-73.010922646176,Connecticut,CT00117
Redding,109,06896,CT,Lonetown Road,,,,,Redding Country Club,,203-938-2567,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.reddingcc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509984.04587009153,41.320715244388374,-73.39288373324922,Connecticut,CT00068
Terryville,56,06786,CT,School Street,,18,,69,Pequabuck Golf Course,,860-583-7307,,,https://www.pequabuckgolf.com/,1950575,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,509283.8907576783,41.67514530566085,-72.98633383032221,Connecticut,CT00010
Avon,43,06001,CT,Heritage Drive,,18,,72,Farmington Woods Golf Club,,860-673-0062,,,https://www.farmingtonwoods.com/Golf-Home.aspx,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,506877.35115729703,41.76906120514753,-72.8815886690084,Connecticut,CT00009
Clinton,128,06413,CT,Old Post Road,,,,,Clinton Country Club,,860-669-6587,,,https://www.clintoncc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502763.0769605894,41.2805288284639,-72.49245179852115,Connecticut,CT00092
Stonington,127,06378,CT,Wheeler Road,,,,,Pequot Golf Club,,860-535-1898,,,https://www.pequotgolf.com/,1931388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501418.38616264856,41.38126179274632,-71.91289060114542,Connecticut,CT00109
,,,,,,18,,70,Twin Hills Country Club,Courtyard 10 LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493678.81529738486,41.80095483249926,-72.39911200577014,Connecticut,CT00166
Portland,169,06480,CT,Bartlett Street,,,,,Portland Golf Course,,860-342-6107,,,https://www.portlandgolfcourse.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493642.0979589407,41.58965064425049,-72.59776092438707,Connecticut,CT00126
Waterford,28,06385,CT,Lamphere Road,,,,,Great Neck Country Club,,,private,,https://www.greatneckgolf.com/,,New London Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491481.7495403015,41.31886726851537,-72.13916041397756,Connecticut,CT00040
Simsbury,140,06070,CT,Nod Road,"Course has four 18-hole layouts, only longest is mapped.",18,,61,Tower Ridge Disc Golf,,860-651-9393,,,http://www.towerridgecc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490961.16036439623,41.827448832149116,-72.80768693290509,Connecticut,CT00125
Sharon,,,,,,9,,36,Sharon Country Club,,860-364-5856,private,,http://www.sharoncountryclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489642.4445896615,41.86623533622829,-73.4881204516571,Connecticut,CT00112
Orange,389,06477,CT,Racebrook Road,,18,,71,Orange Hills Country Club,,203-795-4161,,,https://orangehillscountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489133.8842314239,41.27696218469553,-73.00074719316962,Connecticut,CT00079
Orange,441,06477,CT,Clark Lane,,18,,70,Grassy Hill Country Club,,203-795-1422,,,https://www.grassyhillcountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476018.2970198958,41.26677280417537,-73.04586135050909,Connecticut,CT00045
,,,,,,18,,70,Skungamaug River Golf Club,J Motycka LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474683.00537236524,41.82477194538542,-72.34891951575915,Connecticut,CT00164
East Norwalk,14,06855,CT,Canfield Avenue,,,,,Shorehaven Golf Club,,203-866-5528,,,https://www.shorehavengc.org/,212985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474052.3161683234,41.09791275582048,-73.39257438620278,Connecticut,CT00058
Old Greenwich,120,06870,CT,Tomac Avenue,,18,,70,Innis Arden Golf Club,,203-637-6900,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.innisardengolfclub.com/,1942279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472544.8651560855,41.03220413338989,-73.55911354378001,Connecticut,CT00046
Southington,201,06489,CT,Pattonwood Drive,,18,,70,Hawk's Landing Golf Club,,860-793-6000,,,https://www.hawkslandingcc.com/,,Patton Brook Country Club,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,463188.67906323436,41.6417357352601,-72.85917059614542,Connecticut,CT00018
Norwalk,95,06850,CT,North Seir Hill Road,Barn Nine (which is non-sequential) and Grey Hollow Nine comprise the 18-hole course,18;9,"Barn Nine, Grey Hollow Nine; Pro Shop Nine",70;33,Silvermine Golf Club,,203-847-4020,private,,https://www.silverminegolf.com/,1942941,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,455241.5603951115,41.15411724266019,-73.43698489177268,Connecticut,CT00012
East Longmeadow,105,01028,CT,Somerville Road,,18_hole,,70,Elmcrest Country Club,,+1 413 525 8444,,MassGIS OpenSpace (http://www.mass.gov/mgis/osp.htm),http://golfelmcrestcc.com/,,,,,,,,,,,,,Elmcrest Country Club,private,,,,,,,,,,,,,,,,,,,,,,,455019.6081271163,42.03646965885867,-72.47486653846471,Connecticut,CT00035
Madison,8,06443,CT,West Wharf Road,,,,,Madison Country Club,,203-245-1407,,,https://www.madisoncountryclub.org/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,448592.4072516743,41.27505789132393,-72.6112734870087,Connecticut,CT00020
Woodstock,204,06281,CT,Roseland Park Road,,9,,34,Woodstock Golf Course,Trustees of Roseland Park,+1 860 315 7698,,,https://www.woodstockgolfcourse.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445560.4077738164,41.949911875050006,-71.96188852567643,Connecticut,CT00182
East Hartford,130,06108,CT,Long Hill Street,,18,,72,East Hartford Golf Club,Town of East Hartford,860-616-6649,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.easthartfordgc.com/,1950195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442112.6829259332,41.792557288479735,-72.58893472025137,Connecticut,CT00179
Stratford,4567,06614,CT,Main Street,,,,,Mill River Country Club,,203-375-5641,,,https://www.millrivercc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436986.27271236875,41.22408824656205,-73.1202120852541,Connecticut,CT00152
Farmington,14,06032,CT,Westwoods Drive,,18,,61,Westwoods Golf Course,,+1 860 675 2548,,,https://www.farmington-ct.org/departments/westwoods-golf-course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426104.0395532096,41.71032423234452,-72.88880725020259,Connecticut,CT00171
West Suffield,1070,06093,CT,South Grand Street,,18,,71,Airways Golf Course,,860-668-4973,,,http://www.airwaysgolf.com/,1949977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417479.16865209065,41.9597854659966,-72.70480302613963,Connecticut,CT00115
Huntington,15,06484,CT,Soundview Avenue,,,,,Brownson Country Club,,203-929-5644,,,https://www.brownsoncc.com/,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,399519.8893856033,41.29786623344335,-73.14065607904146,Connecticut,CT00019
Plantsville,150,06479,CT,Savage Street,,18,,71,Southington Country Club,,860-628-7032,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.southingtoncountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396936.3832502319,41.56729488991753,-72.86608514154864,Connecticut,CT00118
East Granby,20,06026,CT,Copper Hill Road,,9,,36,Copper Hill Golf Club,,860-653-6191,,,https://www.copperhillgolf.com/,1950159,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,380416.7109288053,41.97766617624628,-72.74975286873658,Connecticut,CT00031
,,,,,"Golf course was closed Jan 2020, but latest imagery shows most features intact. Driving range may be still be operative.",18,,60,Willow Brook Golf Course,MBS GRAHAM LLC,+1 860 805-3115,,,https://www.willowbrookgc.com/,,,,,,,,,,Jking@ethicalsolutions.net,,,,,,,,,,,,,yes,,,,,,,,,,,,,,370497.97544603137,41.856239317186336,-72.56471658085596,Connecticut,CT00185
Wolcott,141,06716,CT,East Street,Holes 8 and 9 can be played with different tees/pars,9,,34;36,Farmingbury Hills Golf Course,,203-879-8038,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),http://www.farmingburyhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364190.43902137625,41.57070734249477,-72.94469177508478,Connecticut,CT00113
Stamford,451,06902,CT,Stillwater Road,,,,,E. Gaynor Brennan Golf Course,,203-324-4185,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.brennangolf.com/,212941,Hubbard Heights Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347771.38817904063,41.06064906412585,-73.55679725783735,Connecticut,CT00051
Canaan,74,06018,CT,High Street,,9_hole,,35,Canaan Country Club,,860-824-7683,,,https://www.canaancountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345770.35378266044,42.0211505447901,-73.33685416866747,Connecticut,CT00094
,,,,,,,,,Pine Orchard Yacht & Country Club,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343487.98326834844,41.27025566032105,-72.77244530956186,Connecticut,CT00163
,,,,,,9,,36,Highfield Club,,203-758-9101,private,,https://www.highfieldclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337324.1525502077,41.55435477582579,-73.15145197753391,Connecticut,CT00147
Westport,25,06880,CT,Kings Highway South,,9,,36,Birchwood Country Club,,203-221-3280,private,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.birchwoodcc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334142.37241901626,41.12954640924339,-73.37330318018357,Connecticut,CT00050
Winsted,300,06098,CT,Torringford Street,,9,,71,Green Woods Country Club,,860-379-8302,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.greenwoodscc.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324283.644211497,41.88396049710404,-73.06739857560169,Connecticut,CT00096
Portland,105,06480,CT,Gospel Lane,,18,,60,Portland Golf West,,860-342-6111,,,http://www.portlandwestgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302157.5885648637,41.58491547249878,-72.60831626152218,Connecticut,CT00103
New Preston,22,06777,CT,Golf Links Road,,9,,35,Lake Waramaug Country Club,,860-868-2333,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.lakewaramaugcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289945.660586354,41.69468956369631,-73.38122190889216,Connecticut,CT00120
,,,,,,9,,35,Hotchkiss Golf Course,,,,,https://www.hotchkiss.org/athletics/hotchkiss-golf-course,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,285244.31357715296,41.944694726314474,-73.4408145994577,Connecticut,CT00024
Pomfret,34,06259,CT,Brayman Hollow Road,,9,,36,Vineyard Valley Golf Club,,+1 860 974 2100,,,https://www.vineyardvalleygolfclub.com/,,,,,,,,,,vvgcproshop@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,280860.25752232503,41.89336654147575,-71.98227830217029,Connecticut,CT00170
Greenwich,61,06830,CT,Woodside Drive,,9,,35,The Milbrook Club,,203-869-4540,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.milbrookclub.com/,212949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278761.74691109976,41.0320975860236,-73.60861066616673,Connecticut,CT00042
,,,,,,9,,36,Hop Brook Golf Course,,203-729-8013,,,http://www.naugatuck-ct.gov/content/77/441/3932.aspx,1933907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278274.1122673306,41.50702464955446,-73.05854522372852,Connecticut,CT00141
Suffield,341,06078,CT,North Main Street,,9,,34,"Suffield Country Club, Inc.",,860-668-7260,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://suffieldcc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273343.7902477631,41.99246044286262,-72.6533680130619,Connecticut,CT00090
Rocky Hill,600,06067,CT,Cold Spring Road,,,,,Rolling Greens Golf Course,,+1 860 257 9775,,,https://www.ctrollinggreens.com/,1950634,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,265297.2043550405,41.63673837581204,-72.69179929686878,Connecticut,CT00029
Bethany,275,06524,CT,Miller Road,,9,,36,Woodhaven Country Club,,203-393-3230,,,http://www.woodhavengolf.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261942.24770850147,41.41660730364663,-73.04038602465903,Connecticut,CT00085
Newtown,214,06470,CT,Sugar Street,,9,,35,Rock Ridge Country Club,,203-426-2106,,,https://www.rockridgecc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261589.5374875253,41.379278738932676,-73.34641116536177,Connecticut,CT00069
Washington,10,06793,CT,Golf Course Road,,9,,35,Washington Golf Course,,860-868-0166,private,,https://www.washingtonclub.net/,212999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260913.9021744175,41.64420276435303,-73.29712277492494,Connecticut,CT00105
Middlefield,132,06455,CT,Mack Road,,,,,Indian Springs Golf Club,,860-349-8109,,,https://www.indiansprings-golf.com/,1923900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259009.02892899574,41.51357554066642,-72.71951730330208,Connecticut,CT00062
Litchfield,263,06759,CT,Milton Road,,9,,35,Stonybrook Golf Course,,860-567-9977,,,https://www.stonybrookgc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253567.5693106051,41.756858816910636,-73.23438797112988,Connecticut,CT00101
Litchfield,263,06759,CT,Milton Road,,9,,35,Stonybrook Golf Course,,860-567-9977,,,https://www.stonybrookgc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253567.5693106051,41.756858816910636,-73.23438797112988,Connecticut,CT00100
Colchester,288,06415,CT,Old Hebron Road,,9,,35,Chanticlair Golf Course,,+1 860 537 3223,,,https://www.chanticlair.com/,1930710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247787.23777750018,41.587707929662116,-72.34487842984706,Connecticut,CT00138
Southbury,522,06488,CT,Heritage Road,,9,,35,Pomperaug Golf Club,,203-264-9484,,,http://www.pomperauggolfclub.com/,1932637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244342.4333152505,41.49432465096323,-73.22283227677829,Connecticut,CT00047
Rye Brook,,10573,,Anderson Hill Road,,,,,Doral Arrowwood Golf Course,,914-323-4478,,Bing,https://www.doralarrowwood.com/activities/golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241089.91793181887,41.04531606490409,-73.68821651572438,Connecticut,CT00130
Enfield,130,06082,CT,Town Farm Road,,9,,35,Grassmere Country Club,,860-749-7740,,,http://www.grassmerecountryclub.com/,1950946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235475.62266901572,41.95509540071156,-72.53148446037483,Connecticut,CT00127
Hamden,3931,06518,CT,Whitney Avenue,,,,,Sleeping Giant Golf Course,,203-281-9456,,,http://sleepinggiantgc.gotdns.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235118.14526733654,41.43475260475238,-72.90552334258409,Connecticut,CT00089
Woodstock,125,06281,CT,Harrisville Road,,9,,36,Harrisville Golf Course,,,,,https://www.harrisvillegolfcourse.com/,212930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230290.07778076915,41.92159427520198,-71.93944077476775,Connecticut,CT00104
Glastonbury,16,06033,CT,Fairway Crossing,,9,,35,Minnechaug Golf Course,Town of Glastonbury,860-643-9914,,,https://www.minnechauggolf.com/,1950497,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,229358.7745511763,41.733152650761504,-72.52461566928808,Connecticut,CT00026
,,,,,,9,,33,Tashua Glen Golf Course,Tashua Knolls,203-452-5186,,,http://www.tashuaglen.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229247.9607815768,41.28595710411677,-73.24590938752966,Connecticut,CT00153
,,,,,,9,,33,Tashua Glen Golf Course,Tashua Knolls,203-452-5186,,,http://www.tashuaglen.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229247.9607815768,41.28595710411677,-73.24590938752966,Connecticut,CT00154
West Hartford,37,06107,CT,Buena Vista Road,,9,,31,Buena Vista Golf Course,,860-521-7359,,,https://www.westhartford.org/living_here/town_departments/leisure_services/buena_vista_golf_course.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224586.3468383547,41.74553354332476,-72.76782126031435,Connecticut,CT00149
,,,,,,,,,Fenwick Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,221365.59854577808,41.27163474045934,-72.35558080683212,Connecticut,CT00021
Torrington,1301,06790,CT,Torringford West Street,,9,,36,Eastwood Country Club,,860-489-2630,,,http://www.eastwoodcountryclub.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215886.09214886598,41.83532818188266,-73.09078150031544,Connecticut,CT00072
East Lyme,34,06333,CT,Drabik Road,,18,,27,Cedar Ridge Golf Course,,860-691-4568,,,http://cedarridgegolf.com/,1930702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214584.04776631788,41.37943003105693,-72.2191372647948,Connecticut,CT00102
Norfolk,,06058,,Golf Drive,,9,,36,Norfolk Country Club,,860-542-5606,private,,https://norfolkcountryclub.com/,,,,,,Q29468989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204535.69972751418,41.98323782965718,-73.21917056362236,Connecticut,CT00093
Shelton,261,06484,CT,Wooster Street,,9,,34,Highland Golf Club,,203-924-8658,private,,http://www.highlandgolfclub.com/,1942220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188006.58914040335,41.31427944167349,-73.1027722785326,Connecticut,CT00082
Shelton,261,06484,CT,Wooster Street,,9,,34,Highland Golf Club,,203-924-8658,private,,http://www.highlandgolfclub.com/,1942220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188006.58914040335,41.31427944167349,-73.1027722785326,Connecticut,CT00081
,,,,,,9,,33,Homewood Acres Golf Course,,,,,http://www.homewoodacres.com/home.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187307.00541961988,41.31582484619909,-73.02599965409605,Connecticut,CT00178
Newtown,2,06470,CT,Country Club Road,,9,,33,Newtown Country Club,,203-426-9311,,University of Connecticut (http://magic.lib.uconn.edu/connecticut_data.html),https://www.newtowncountryclub.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163783.04369056266,41.39788594856443,-73.29832194608363,Connecticut,CT00067
,,,,,,,,,Candlewood Lake Golf and Country Club,,860-354-7160,,,http://www.candlewoodlakeclub.org/,1931859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162658.12479574681,41.496759593810346,-73.4361225312266,Connecticut,CT00137
Milford,137,06461,CT,Kozlowski Road,,9,,32,Orchards Golf Course,,+1-203-877-8200,,,https://orchardsgc.com/,,,,,,,,,,,,Mo-Su 09:00-14:30,,,,,,,,,,,,,,,,,,,,,,,,,149225.35744939264,41.249948750193084,-73.04996280807248,Connecticut,CT00183
,,,,,,9,,30,Miner Hills Golf Course & Driving Range,,,,,https://www.minerhillsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145343.47244685498,41.57828045344407,-72.7128508301772,Connecticut,CT00173
Stratford,1,06615,CT,Dorne Drive,,9,,27,Short Beach Golf Course,,203-381-2070,,,http://www.shortbeachgolf.com/,1942936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132576.97610009945,41.16010488613915,-73.1138681780837,Connecticut,CT00156
,,,,,,9,,34,Goose Run Golf Course,,+1 860 694 3763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126018.74785298253,41.40469282596692,-72.09152845811927,Connecticut,CT00128
,,,,,,9,,35,Sunset Hill Golf Club,,,,,,212916,Brookfield Golf Course,,,,Q107283937,en:Sunset Hill Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113459.69655013947,41.45337015687153,-73.38551766730691,Connecticut,CT00142
Southbury,255,06488,CT,Old Field Road,,,,,Gainfield Farms Gold Course,,203-262-1100,,,https://www.gainfieldfarmsgolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102775.64339424239,41.47683086712811,-73.22504901435872,Connecticut,CT00146
Prospect,122,06712,CT,Cook Road,,,,,Highland Greens Golf Course,,203-758-4022,,,https://www.highlandgreens.com/,1933882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94333.64336761943,41.484053323618156,-72.95846881934911,Connecticut,CT00140
Fairfield,70,06824,CT,Old Dam Road,,9,,27,Carl Dickman Par 3 Golf Course,,+1-203-254-5113,,,https://hsrgolf.com/carl-dickman-par-3/,1942685,Pine Creek Par 3 Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93887.17469613161,41.123398149288754,-73.26577433382299,Connecticut,CT00061
Guilford,200,06437,CT,North Madison Road,,9,,28,Guilford Lakes Golf Course,,203-453-8214,,,http://www.guilfordlakesgc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73458.58981228637,41.331103362428316,-72.68769656338492,Connecticut,CT00150
