addr:housenumber,addr:street,name,website,fee,addr:city,addr:postcode,addr:state,opening_hours,operator,phone,gnis:feature_id,fixme,golf:course,golf:par,sport,source,wikidata,alt_name,ele,email,contact:website,old_name,designation,building,facebook,barrier,mobile,abandoned:leisure,type,area_m2,lat,lon,province,gcid
,,Canewood Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,449948.19632306125,38.21525206756471,-84.58884210435589,Kentucky,KY00159
,,River Bend Golf Club,,,,,,,"Harold Tussey, Matt Tussey",,,,,,,,,,,,,,,,,,,,,445536.1643141795,38.49110590196103,-82.83597938919425,Kentucky,KY00233
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,441684.530856301,38.8897901437623,-84.26352672266113,Kentucky,KY00056
,,Persimmon Ridge Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,434804.21172072185,38.28606693394554,-85.44132227453309,Kentucky,KY00117
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,432388.6432705843,38.40667077108133,-82.72547350342148,Kentucky,KY00225
800,Louisville Road,Juniper Hill Golf Course,http://golf.frankfort.ky.gov/,,Frankfort,40601,,,,502-875-8559,,,,,,,,,,,,,,,,,,,,432095.0467051051,38.18706430573267,-84.89091450033669,Kentucky,KY00096
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,396334.9877953207,38.02611330054656,-83.63162737223892,Kentucky,KY00232
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,395587.7453891478,38.4415242630548,-83.74822363929702,Kentucky,KY00154
3000,Kentucky Route 1107,Paintsville Golf Course,http://www.paintsvillegolfcourse.com/,,Paintsville,41240,,,,606-789-4234,517264,,,,,,,,,,,,,,,,,,,393801.26312901167,37.806702472576525,-82.77456448470248,Kentucky,KY00100
,,Unknown Golf Course,,,,,,,,,,,,,,EsriWorldImageryClarity,,,,,,,,,,,,,,390890.6883133114,38.54516025751743,-85.00643424740588,Kentucky,KY00175
325,Golf Course Road,Sleepy Hollow Golf Course,https://harlancountytrails.com/sleepyhollow.php,,Cumberland,40823,KY,,,Sleepy Hollow Golf Course,,,,,,,,,,,,,,,,,,,,385791.01985550486,36.97090614728344,-82.9807232868041,Kentucky,KY00196
2501,Alexander Road,Cherokee Golf Course,https://www.metroparksgolf.net/cherokee/,,Louisville,40204,KY,sunrise-sunset,Louisville Parks and Recreation,+1-502-458-9450,,,9_hole,,,,,,,,,,,,,,,,multipolygon,381731.9408744429,38.241784161044855,-85.70354656161383,Kentucky,KY00027
,,Olde Stone Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,369882.0072090001,36.909591441781465,-86.39338412772648,Kentucky,KY00135
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,366629.7802593079,36.96827739674631,-86.4227699917233,Kentucky,KY00063
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,357822.7034650194,36.8265878644305,-84.18756958908797,Kentucky,KY00172
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,348803.88176445186,38.35006952869637,-84.04474049555957,Kentucky,KY00173
4301,East Pages Lane,Bobby Nichols Golf Course,https://louisvilleky.gov/content/bobby-nichols-golf-course,,Louisville,40272,KY,sunrise-sunset,Louisville Parks and Recreation,+1-502-937-9051,,,9_hole,36,golf;footballgolf,,,,,,,,,,,,,,,342323.28685745364,38.12631773090079,-85.83686242434177,Kentucky,KY00042
2779,State Route 125,Hickman Country Club,,,Hickman,42050,KY,,,,,,,,,,,,,,,,,,,,,,,341557.68274245725,36.54543266156575,-89.16029686574123,Kentucky,KY00182
3110,Brownsboro Road,Crescent Hill Golf Course,https://www.metroparksgolf.net/crescenthill/,,Louisville,40206,KY,,Metro Parks,+1-502-896-9193,,,,,,,,,,,,,,,,,,,,334100.9817652946,38.261209110921165,-85.67831558436205,Kentucky,KY00050
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,330368.87053815514,37.301728655079515,-87.14328977257274,Kentucky,KY00120
1153,Country Club Lane,Ohio County Community Golf Course,,,Hartford,42347,KY,,,,,,,,,,,,,,,,,,,,,,,325254.0130086086,37.45291902265333,-86.86218477424224,Kentucky,KY00235
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,324516.5453837392,38.388229585486414,-84.27499304476264,Kentucky,KY00108
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,322319.29841245466,36.61601614961201,-83.7316858206641,Kentucky,KY00148
,,Caveland Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,320083.0621770902,37.23532403571275,-85.88861149943183,Kentucky,KY00206
,,Kentucky Hills Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,313963.75031441794,36.921367975384484,-85.71318187057365,Kentucky,KY00205
,,Hillcrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,309911.26740648644,37.728792244085646,-87.07746234679581,Kentucky,KY00219
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,308628.3917032625,36.75810678470286,-86.56488044753308,Kentucky,KY00198
,,City of Florence Golf Course,,,,,,,,,2113135,,,,golf,,,,,,,,,,,,,,,308030.86094736436,39.00708512294963,-84.6467727586526,Kentucky,KY00060
,,City of Florence Golf Course,,,,,,,,,2113135,,,,golf,,,,,,,,,,,,,,,308030.86094736436,39.00708512294963,-84.6467727586526,Kentucky,KY00061
,,Doe Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,304879.52482866443,38.001087468870935,-86.1834862892626,Kentucky,KY00163
,,Wayne county country club,,,,,,,,,,,,,,,,,,,,,,,,,,,,303758.89314161666,36.845792227794995,-84.8563892067842,Kentucky,KY00204
,,Big Hickory Golf Course,http://www.welovemanchester.com/Big_Hickory.html,,,,,,,+1 606 598 8053,,,,,,,,,,,,,,,,,,,,303319.85151053185,37.17337986150746,-83.75097525595895,Kentucky,KY00143
651,South Blackburn Street,The Heritage At Marion Country Club,http://www.theheritageatmarion.com/,,Marion,42064,,,,+1 270 965 5415,,,,,,,,,,,,,,,,,,,,301335.29982945503,37.324831485613664,-88.09048085265296,Kentucky,KY00155
,,John James Audubon Golf Course,https://parks.ky.gov/golf/9_hole/john-james-audubon/,,,,,,,270-826-5546,,,,,,,,,,,,,,,,,,,,298709.53655557026,37.876022326802165,-87.55197532516124,Kentucky,KY00090
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,295159.1075374158,37.63842689675323,-85.82019541056502,Kentucky,KY00207
402,West Jefferson Street,Elk Fork Country Club,,,Elkton,42220,KY,,,+1-270-265-6025,,,,,,,,,,,,,,,,,,,,289186.4904850832,36.81456178425564,-87.15919757181048,Kentucky,KY00208
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,288521.3850489055,36.69010647779861,-89.00412056425913,Kentucky,KY00201
,,Estill County Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,287157.992072506,37.67956197080944,-83.95423891834058,Kentucky,KY00094
,,Ryland Lakes Golf Course,,,,,,,,,2113107,,,,,,,,,,,,,,,,,,,285802.5118429931,38.93917072080884,-84.46699149241711,Kentucky,KY00071
400,Golfcourse Road,Legacy Golf Course (Closed),,,Leitchfield,42754,KY,,,,,,,,,,,,,,,,,,,,,,,281204.63741037983,37.404810100482315,-86.25470273686166,Kentucky,KY00234
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,279913.58288672415,37.406967171489754,-87.73561967350363,Kentucky,KY00165
1040,Covington Street,Paul Walker Municipal Golf Course,,,Bowling Green,42103,KY,,,,,,,,,,,,,,,,,,,,,,,279220.498112159,36.9769386000535,-86.43393030539929,Kentucky,KY00132
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,271332.9444173298,38.67067415801924,-82.91507480946292,Kentucky,KY00218
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,266388.7202003674,37.64365670342858,-85.81687621286157,Kentucky,KY00029
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,257313.48774887182,36.75986769526147,-86.57192205365357,Kentucky,KY00197
,,Kenton Station Golf Course,,,,,,,,,2362901,,,,,,,,,,,,,,,,,,,250974.3741172977,38.63796883939228,-83.8207426968304,Kentucky,KY00097
,,Green Meadow Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,248688.33391140986,37.533598416173774,-82.60411695172733,Kentucky,KY00215
,,Pleasant Valley Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,244073.2413458391,37.91672447616198,-83.30032058827005,Kentucky,KY00147
,,Glasgow Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,242191.16861651334,37.03698453530632,-85.90616709543396,Kentucky,KY00161
,,Fort Mitchell Country Club Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,235338.5664850734,39.0568782238993,-84.5547932605969,Kentucky,KY00047
,,CrossWinds Municipal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,233009.45756469294,36.971662712058205,-86.42678558614075,Kentucky,KY00064
655,Country Club Drive,Lebanon Country Club,,,Lebanon,40033,KY,,,,,,,,,,,,,,,,,,,,,,,226375.3684497981,37.553989711796156,-85.25305019526976,Kentucky,KY00195
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,golf_course,,220638.09759392438,38.3704510511788,-83.11856632070605,Kentucky,KY00191
,,Unknown Golf Course,,,,,,,,,2088698,,,,,,,,,,,Sundowner Golf Course,,,,,,,,219908.70034881664,38.46621270365301,-82.71053485172214,Kentucky,KY00091
,,Tug Valley Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,213241.37808318262,37.630846920270905,-82.18673016938777,Kentucky,KY00105
38,East Main Street,Stoner Creek,http://www.stonercreekparis.com/,,Paris,40361,,,,+1 859 987 0041,,,,,,,,,,,,,,,,,,,,212641.28804405456,38.212374998396555,-84.24303652797705,Kentucky,KY00153
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,199985.00138673294,37.604243960033074,-82.728063865208,Kentucky,KY00119
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,195229.61097249124,37.57859624070738,-84.27638857042763,Kentucky,KY00079
1911,Golf Club Drive,Meadowood Golf Course,https://www.meadowoodky.com/,,Burlington,41005,KY,,,+1-859-586-0422,2113142,,,,,esri_USDOT_Kentucky,,,,,,,,,,,,,,194935.66246897317,39.027399574606555,-84.69668778813433,Kentucky,KY00062
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,177093.02036116607,37.55355943199684,-83.71985093760752,Kentucky,KY00179
,,Owl Creek Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,167255.77527395767,38.2728841162048,-85.5302079517513,Kentucky,KY00075
,,Owl Creek Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,167255.77527395767,38.2728841162048,-85.5302079517513,Kentucky,KY00076
112,Park Avenue,Lakeview Springs Golf,https://franklincounty.ky.gov/golf-complex/,,Frankfort,40601,KY,,,+1-502-695-5870,,,,,,,,,,,,,,,,,,,,162699.13639717735,38.211849089974756,-84.82327387218737,Kentucky,KY00131
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,159361.8965352219,36.74648457836957,-86.20437608067232,Kentucky,KY00157
717,Burks Branch Road,Clear Creek Golf Center,https://www.clearcreekgolfcenter.com/,,Shelbyville,40065,,,,502-633-0375,,,,,,,,,,,,,,,,,,,,156895.00209634745,38.22781567023015,-85.21977573219807,Kentucky,KY00110
717,Burks Branch Road,Clear Creek Golf Center,https://www.clearcreekgolfcenter.com/,,Shelbyville,40065,,,,502-633-0375,,,,,,,,,,,,,,,,,,,,156895.00209634745,38.22781567023015,-85.21977573219807,Kentucky,KY00109
,,Man O' War Golf Learning Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,134230.88888554397,38.033073484097756,-84.58532784933796,Kentucky,KY00236
1801,North Elm Street,Henderson Municipal Golf Course,https://www.cityofhendersonky.org/210/Golf,,Henderson,42420,KY,"""call for info""",,(270) 831-1263,,,,,,,,,,,,,,,,,,,,118439.59294147584,37.85794988808077,-87.58021012810548,Kentucky,KY00151
,,Meadowbrook Golf Course,,,,,,,LFUCG,,,,,,,,,,,,,,,,,fence,,,,117316.50925957585,37.97763952924541,-84.51443740535028,Kentucky,KY00126
2232,Schaffner Drive,Farmsley Golf Center,,,Shively,40216,KY,09:00-sunset,,,,,,,,,,,,,,,,,,,,,,117046.4540015556,38.19642468089389,-85.82000251472755,Kentucky,KY00127
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,86408.29459312698,38.289470871551316,-85.42942135360335,Kentucky,KY00114
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,85912.97013250386,38.283310258114376,-85.43291226676904,Kentucky,KY00116
,,The Golf Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,70794.7042125247,39.028969720563886,-84.68928384131672,Kentucky,KY00074
,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,59647.79739753132,38.599304380749466,-83.8059320704244,Kentucky,KY00138
