name,covered,designation,sport,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,golf,operator,phone,website,opening_hours,landuse,source,addr:country,fixme,golf:course,building,fax,pitch,abandoned:leisure,highway,surface,width,addr:housename,created_by,access,type,wikidata,area_m2,lat,lon,province,gcid
Hidden Creek Family Golf Course,,,,Midwest City,3210,73130,,Belaire Drive,,,405-732-9999,https://midwestcityok.org/Facilities/Facility/Details/Hidden-Creek-Family-Golf-Course-3,,,,,,,,,,,,,,,,,,,141931.17819026083,35.47408509523039,-97.39081542848935,Oklahoma,OK00071
Cherokee Springs Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113532.34218793923,35.88385526999106,-94.96541634089924,Oklahoma,OK00113
Panhandle Park,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,108235.38793251399,36.589384699801045,-101.63923525036799,Oklahoma,OK00078
Five-Hole Golf Course,,,,,,,,,,OSU OKC,,,,,,,,,,,,golf_course,,,,,,,,,89851.06550287495,35.468168707313666,-97.58098073310968,Oklahoma,OK00089
OBU Frisbee Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86623.85079484413,35.3664016114906,-96.93424371799357,Oklahoma,OK00128
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86177.68867728408,34.47470779258935,-97.94073545722158,Oklahoma,OK00136
Pebble Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64910.92088850289,35.39322358826104,-97.71838644383082,Oklahoma,OK00142
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,disc_golf,,,,,,,,,,64826.28723169085,35.63926909612657,-97.38737360645969,Oklahoma,OK00087
Baptist Village Golf Course,,,,Enid,5801,73703,OK,North Oakwood Road,,Baptist Village,,,,,,,,,,,,,,,,,,,,,40079.6814780021,36.450403683899225,-97.92485708749119,Oklahoma,OK00101
Baptist Village Golf Course,,,,Enid,5801,73703,OK,North Oakwood Road,,Baptist Village,,,,,,,,,,,,,,,,,,,,,10720.242835760182,36.452419082639466,-97.92571265379023,Oklahoma,OK00102
