# of Holes,Address,Club Type,Course Par,Location,Phone,Total Yards,Website,url
18,"https://www.google.com/maps/place/5-9 Muddy Brook Rd Port Blandford,NL A0C 2G0",Public,,"Port Blandford, NL",(709) 543-2626,,https://www.terrnovagolf.com,https://www.golfcanada.ca/golf-facility/terra-nova-golf-resort-golf-community-en/
18,"https://www.google.com/maps/place/6891 Tucelnuit Drive Oliver,BC V0H 1T3",Semi-private,Par 72,"Oliver, BC",1-(250) 498-2880,6835,https://www.nkmipcanyon.com,https://www.golfcanada.ca/golf-facility/nkmip-canyon-desert-golf-course-en/
9,"https://www.google.com/maps/place/615 Mount Paul Way Kamloops,BC V2H 1A9",Public,Par 64,"Kamloops, BC",(250) 374-4629,4144,https://www.mountpaulgolf.com,https://www.golfcanada.ca/golf-facility/mount-paul-golf-course-en/
18,"https://www.google.com/maps/place/450 Durham Road 21, RR #1 450 Durham Road 21, RR #1 Goodwood,ON L0C 1A0",Private,,"Goodwood, ON",(905) 649-8545,,,https://www.golfcanada.ca/golf-facility/wyndance-golf-club-en/
—,"https://www.google.com/maps/place/Box 99 Wardsville,ON N0L 2N0",Public,Par 72,"Wardsville, ON",(519)693-4921,5865,,https://www.golfcanada.ca/golf-facility/wardsville-golf-club-en-4/
21,"https://www.google.com/maps/place/180 Mill River Resort Rd. Route 136 Woodstock,PE C0B 1V0",Semi-private,Par 72,"Woodstock, PE",(902) 859-3920,6805,,https://www.golfcanada.ca/golf-facility/mill-river-golf-club-en/
18,"https://www.google.com/maps/place/17215 McKenzie Meadows Dr SE Calgary,AB T2Z 2T9",Public,Par 72,"Calgary, AB",(403) 257-2255,6605,https://www.mckenziemeadows.com,https://www.golfcanada.ca/golf-facility/mckenzie-meadows-golf-association-en/
9,"https://www.google.com/maps/place/1000 Rue Champetae Valcourt,QC J0E 2L0",Public,Par 72,"Valcourt, QC",(450) 532-3505,6328,,https://www.golfcanada.ca/golf-facility/valcourt-club-de-golf-en/
18,"https://www.google.com/maps/place/1855 Tower Ranch Blvd Kelowna,BC V1P 1R2",Public,Par 72,"Kelowna, BC",—,7212,https://www.golftowerranch.com,https://www.golfcanada.ca/golf-facility/tower-ranch-golf-country-club-en/
18,"https://www.google.com/maps/place/151 Rue des Trois-Manoirs Lévis,QC G6Z 7S1",Semi-private,,"Lévis, QC",(418) 832-811,,,https://www.golfcanada.ca/golf-facility/tempete-club-de-golf-la-en/
18,"https://www.google.com/maps/place/PO Box 363 Punnichy,SK S0A 3C0",Public,Par —,"Punnichy, SK",(306) 835-2430,—,,https://www.golfcanada.ca/golf-facility/punnichy-golf-club-en/
18,"https://www.google.com/maps/place/166 Pinebrook Way SW Calgary,AB T3Z 3K3",Private,Par 71,"Calgary, AB",(403) 246-3311,6856,https://www.pinebrookgolfclub.com,https://www.golfcanada.ca/golf-facility/pinebrook-golf-country-club-en/
18,"https://www.google.com/maps/place/Box 400 Grand Bend,ON N0M 1T0",Public,Par 70,"Grand Bend, ON",(519) 238-2324,5331,https://www.oakwoodinnresort.com,https://www.golfcanada.ca/golf-facility/oakwood-inn-country-club-en/
9,"https://www.google.com/maps/place/1915 Old Hwy 2 Belleville,ON K8N 4Z2",Semi-private,Par —,"Belleville, ON",613-962-1254,—,,https://www.golfcanada.ca/golf-facility/nine-golf-academy-en/
18,"https://www.google.com/maps/place/5377 Walkers Line Burlington,ON L7M 0P9",Semi-private,Par 71,"Burlington, ON",—,6141,,https://www.golfcanada.ca/golf-facility/mount-nemo-golf-club-en/
18,"https://www.google.com/maps/place/7188 MacDonald Street Vancouver,BC V6N 1G2",Public,Par 71,"Vancouver, BC",(604) 257-8191,6401,https://www.vancouver.ca/parks/golf/mccleery/index.htm,https://www.golfcanada.ca/golf-facility/mccleery-golf-club-en/
9,"https://www.google.com/maps/place/PO Box 430 984 Greenhill Road Parrsboro,NS B0M 1S0",Semi-private,Par 62,"Parrsboro, NS",(902) 254-2733,4725,https://www.nsga.ns.ca,https://www.golfcanada.ca/golf-facility/parrsboro-golf-club-en/
27,L6M 4E8,Public,Par 63,"Oakville, ON",—,4277,,https://www.golfcanada.ca/golf-facility/oakville-executive-golf-courses-mystic-ridge-golf-course-en/
18,"https://www.google.com/maps/place/6198 Trafalgar Road Hornby,ON L0P 1E0",Public,Par 71,"Hornby, ON",(905) 878-4848,6490,,https://www.golfcanada.ca/golf-facility/wyldewood-golf-country-club-en/
18,"https://www.google.com/maps/place/620 Niakwa Road Winnipeg,MB R2J 3X3",Private,Par 72,"Winnipeg, MB",204 256-2013,6662,https://www.niakwacountryclub.ca,https://www.golfcanada.ca/golf-facility/niakwa-country-club-en/
18,"https://www.google.com/maps/place/4730 25TH Sideroad, R.R.#3 Thornton,ON L0L 2N0",Semi-private,Par 72,"Thornton, ON",(705) 720-2150,7194,https://www.tanglecreekgolf.com,https://www.golfcanada.ca/golf-facility/tangle-creek-golf-country-club-en/
18,"https://www.google.com/maps/place/774 Route 855 Norton,NB E5T 2A9",Public,Par 69,"Norton, NB",506-485-8008,4684,https://midlandmeadowsgolfclub.com,https://www.golfcanada.ca/golf-facility/midland-meadows-golf-club-en/
18,"https://www.google.com/maps/place/523-9th Ave. W. Prince Rupert,BC V8J 2S9",Public,Par 70,"Prince Rupert, BC",2506242000,5890,https://www.princerupertgolf.ca,https://www.golfcanada.ca/golf-facility/prince-rupert-golf-club-en/
18,"https://www.google.com/maps/place/66059 Pine Ridge Road Sunnyside,MB R5R 0L9",Public,Par 72,"Sunnyside, MB",204-222-1573,6661,,https://www.golfcanada.ca/golf-facility/pine-ridge-golf-club-en/
18,"https://www.google.com/maps/place/5460 No. 7 Rd. Richmond,BC V6V 1R7",Semi-private,Par 71,"Richmond, BC",(604) 276-0585,6608,https://www.golfbc.com/courses/mayfair_lakes,https://www.golfcanada.ca/golf-facility/mayfair-lakes-golf-course-en/
18,"https://www.google.com/maps/place/1970 chemin du Golf/ RR221 Saint-Rémi,QC J0L 2L0",Semi-private,Par 72,"Saint-Rémi, QC",(450) 454-3976,6696,https://www.golftriangledor.com,https://www.golfcanada.ca/golf-facility/triangle-dor-club-de-golf-en/
9,"https://www.google.com/maps/place/PO Box 1134 Tisdale,SK S0E 1T0",Public,Par 70,"Tisdale, SK",(306) 873-4222,5752,https://www.golftisdale.com,https://www.golfcanada.ca/golf-facility/tisdale-riverside-golf-club-en/
18,"https://www.google.com/maps/place/Box 1490 Sundre,AB T0M 1X0",Semi-private,Par 72,"Sundre, AB",(403) 638-3520,6778,https://sundregolf.com,https://www.golfcanada.ca/golf-facility/sundre-golf-club-en/
18,"https://www.google.com/maps/place/10761 Oxbow Dr Komoka,ON N0L 1R0",Public,Par 72,"Komoka, ON",519-471-2048,6322,,https://www.golfcanada.ca/golf-facility/oxbow-glen-golf-course-en/
18,"https://www.google.com/maps/place/745314 Oxford Rd #17 Woodstock,ON N4S 7W2",Public,Par —,"Woodstock, ON",—,—,https://www.woodstockmeadows.com,https://www.golfcanada.ca/golf-facility/woodstock-meadows-golf-center-en/
27,"https://www.google.com/maps/place/51466 Range Rd. 232 51466 Range Rd. 232 Sherwood Park,AB T8B 1L1",Public,,"Sherwood Park, AB",780 467 4653,,https://www.csgc.ca,https://www.golfcanada.ca/golf-facility/country-side-golf-course-en/
27,"https://www.google.com/maps/place/669 Rue Coupland Granby,QC J2H 0P7",Public,Par —,"Granby, QC",450-372-0167,—,https://www.lescedresgolfetpleinair.ca,https://www.golfcanada.ca/golf-facility/cedres-club-de-golf-les-en/
18,"https://www.google.com/maps/place/3622 Simcoe St N Oshawa,ON L1H 0R5",Public,Par 70,"Oshawa, ON",(905) 655-6300,6211,https://valleymedecolumbusgolf.com,https://www.golfcanada.ca/golf-facility/valleymede-columbus-golf-club-en/
18,"https://www.google.com/maps/place/8165 10 Side Road Innisfil,ON L9S 4T3",Private,Par 72,"Innisfil, ON",7054317000,7016,https://nationalpines.ca,https://www.golfcanada.ca/golf-facility/national-pines-golf-club-en/
18,"https://www.google.com/maps/place/955 Opeongo Rd Renfrew,ON K7V 3Z5",Semi-private,Par 72,"Renfrew, ON",(613) 432-3838,6608,https://www.dragonflygolf.com,https://www.golfcanada.ca/golf-facility/dragonfly-golf-links-en/
9,"https://www.google.com/maps/place/132 St. Andrews St 132 St. Andrews St Woodstock,NB E7M 2S5",Semi-private,Par 66,"Woodstock, NB",(506) 328-2386,5126,,https://www.golfcanada.ca/golf-facility/woodstock-golf-curling-club-en/
18,"https://www.google.com/maps/place/PO Box 391, 5538-50th Street Daysland,AB T0B 1A0",Public,Par —,"Daysland, AB",(403) 374-3633,—,,https://www.golfcanada.ca/golf-facility/daysland-golf-club-en/
18,"https://www.google.com/maps/place/69 Hamptons Dr Calgary,AB T3A 5H7",Public,Par 72,"Calgary, AB",(403) 239-1455,6875,https://www.hamptonsgolfclub.com,https://www.golfcanada.ca/golf-facility/country-club-of-the-hamptons-en/
18,"https://www.google.com/maps/place/525 Woodside Drive Airdrie,AB T4B 2C6",Semi-private,Par 70,"Airdrie, AB",(403) 948-6717,6155,https://www.woodsidegc.com,https://www.golfcanada.ca/golf-facility/woodside-golf-course-en/
18,"https://www.google.com/maps/place/11901 Yonge Street Richmond Hill,ON L4E 3N9",Private,Par 71,"Richmond Hill, ON",(905) 884-8189,6957,,https://www.golfcanada.ca/golf-facility/summit-golf-country-club-en/
18,"https://www.google.com/maps/place/#1 Johnnie Lawrence Drive Wasagaming,MB R0J 1N0",Public,Par 72,"Wasagaming, MB",(204) 848-4653,6309,https://www.golfclearlake.com,https://www.golfcanada.ca/golf-facility/clear-lake-golf-course-en/
18,"https://www.google.com/maps/place/1600 Varsity Estates Dr. N.W Calgary,AB T3B 2W9",Private,Par 72,"Calgary, AB",(403) 286-1456,7049,,https://www.golfcanada.ca/golf-facility/silver-springs-golf-country-club-en/
18,"https://www.google.com/maps/place/R.R. #1 St. Mary's,ON N4X 1C4",Semi-private,Par 70,"St. Mary's, ON",(519) 284-3621,5771,,https://www.golfcanada.ca/golf-facility/science-hill-country-club-en/
18,"https://www.google.com/maps/place/100 Carr Street Garson,ON P3L 1M2",Public,Par 70,"Garson, ON",705-588-3027,6322,,https://www.golfcanada.ca/golf-facility/cedar-green-golf-course-en/
36,"https://www.google.com/maps/place/4335 Hawthorne Road Ottawa,ON K1G 3N4",Public,,"Ottawa, ON",—,,https://www.themeadowsgolf.ca,https://www.golfcanada.ca/golf-facility/the-meadows-golf-and-country-club-en/
18,"https://www.google.com/maps/place/15125 Putnam Rd Springfield,ON N0L 2J0",Semi-private,Par 70,"Springfield, ON",—,7038,https://tarandowah.ca,https://www.golfcanada.ca/golf-facility/tarandowah-golfers-club-en/
18,"https://www.google.com/maps/place/P.O, Box 22018, Strathcona Pos Thunder Bay,ON P7A 8A8",Public,Par 72,"Thunder Bay, ON",(807) 683-8251,6503,,https://www.golfcanada.ca/golf-facility/strathcona-golf-club-en/
27,"https://www.google.com/maps/place/3641 Highway 97B S.E. Salmon Arm,BC V1E 1W9",Semi-private,,"Salmon Arm, BC",1-888-833-8787,,https://www.salmonarmgolf.com,https://www.golfcanada.ca/golf-facility/salmon-arm-golf-club-en/
18,"https://www.google.com/maps/place/134 Clubhouse Road Woodbridge,ON L4L 2W2",Private,Par 71,"Woodbridge, ON",(416) 798-4900,7273,,https://www.golfcanada.ca/golf-facility/national-golf-club-of-canada-the-en/
18,"https://www.google.com/maps/place/ 370 Peter St N Orillia,ON L3V 5A7",Public,Par 68,"Orillia, ON",(705) 326-2861,5468,,https://www.golfcanada.ca/golf-facility/couchiching-golf-country-club-en/
18,"https://www.google.com/maps/place/201 Decewsville Rd Cayuga,ON N0A 1E0",Public,Par 65,"Cayuga, ON",(905) 772-7888,4417,,https://www.golfcanada.ca/golf-facility/cayuga-golf-club-en/
18,"https://www.google.com/maps/place/2907 Highway # 6, South Mount Hope,ON L0R 1W0",Semi-private,Par 72,"Mount Hope, ON",(905) 679-2703,6493,,https://www.golfcanada.ca/golf-facility/willow-valley-golf-club-en/
18,"https://www.google.com/maps/place/320 Balmoral Drive 320 Balmoral Drive Brantford,ON N3R 7S2",Public,Par 72,"Brantford, ON",(519) 756-6345,6512,https://www.northridgegolf.ca,https://www.golfcanada.ca/golf-facility/walter-gretzky-municipal-golf-course-en/
18,"https://www.google.com/maps/place/90 Rue de Stanstead Bromont,QC J2L 1K6",Public,Par 72,"Bromont, QC",4505341199,6686,https://www.chateaubromont.com,https://www.golfcanada.ca/golf-facility/domaine-chateau-bromont-club-de-golf-en/
18,"https://www.google.com/maps/place/4000 Columbia Valley Hwy Cultus Lake,BC V2R 5H6",Public,Par 63,"Cultus Lake, BC",(604) 858-9902,4005,https://www.golfcultus.com,https://www.golfcanada.ca/golf-facility/cultus-lake-golf-club-en/
18,"https://www.google.com/maps/place/40 Elgin Park Dr. Uxbridge,ON L9P 1N2",Public,Par 72,"Uxbridge, ON",(905) 852-4379,7025,,https://www.golfcanada.ca/golf-facility/wooden-sticks-golf-club-en/
9,"https://www.google.com/maps/place/PO Box 184 Radville,SK S0C 2G0",Public,Par 72,"Radville, SK",(306) 869-2400,6028,,https://www.golfcanada.ca/golf-facility/robertdale-golf-country-club-en/
18,"https://www.google.com/maps/place/2324 Concession Rd 4 Goodwood,ON L0C 1A0",Private,Par 72,"Goodwood, ON",(905) 508-9166,7576,,https://www.golfcanada.ca/golf-facility/coppinwood-golf-club-en/
18,"https://www.google.com/maps/place/400-15th Street Winkler,MB R6W 4B1",Public,Par 71,"Winkler, MB",2043257582,6431,https://www.winklergolfcourse.com,https://www.golfcanada.ca/golf-facility/winkler-centennial-golf-club-en/
18,"https://www.google.com/maps/place/Box 1019 Blenheim,ON N0P 1A0",Semi-private,Par 72,"Blenheim, ON",(519) 676-8772,6249,,https://www.golfcanada.ca/golf-facility/willow-ridge-golf-country-club-en/
18,"https://www.google.com/maps/place/30 rang Cyr Saint-Cyprien-de-Napierville,QC J0J 1L0",Semi-private,Par 72,"Saint-Cyprien-de-Napierville, QC",(450) 245-3356,6336,https://www.golfnapierville.ca,https://www.golfcanada.ca/golf-facility/napierville-club-de-golf-en/
9,P5E 1A3,Semi-private,Par 72,", ON",—,6292,,https://www.golfcanada.ca/golf-facility/espanola-golf-country-club-en/
18,"https://www.google.com/maps/place/PO Box 370 Carstairs,AB T0M 0N0",Semi-private,Par 72,"Carstairs, AB",(403) 337-2058,6510,https://www.carstairsgolf.com,https://www.golfcanada.ca/golf-facility/carstairs-golf-club-en/
18,"https://www.google.com/maps/place/6527 Ellis Road Cambridge,ON N3C 2V4",Semi-private,Par 70,"Cambridge, ON",(519) 489-6767,5294,,https://www.golfcanada.ca/golf-facility/puslinch-lake-golf-course-ltd-en/
18,"https://www.google.com/maps/place/PO Box 216 Napanee,ON K7R 3M3",Public,Par 70,"Napanee, ON",(613) 354-2313,5819,,https://www.golfcanada.ca/golf-facility/napanee-golf-country-club-en/
9,"https://www.google.com/maps/place/Golf Course Road Frenchman's Cove,NL A0E 1R0",Public,Par 72,"Frenchman's Cove, NL",(709) 826-2600,5921,https://www.grandemeadows.ca,https://www.golfcanada.ca/golf-facility/grande-meadows-golf-club-en/
18,"https://www.google.com/maps/place/12410 - 199th Street Edmonton,AB T5V 1T8",Private,Par 72,"Edmonton, AB",(204) 832-1306,7247,https://www.theglendale.com,https://www.golfcanada.ca/golf-facility/glendale-golf-country-club-en-2/
18,—,Public,Par 66,"London, ON",—,4462,,https://www.golfcanada.ca/golf-facility/crumlin-creek-golf-club-en/
18,"https://www.google.com/maps/place/7967 Fernbank Rd Ashton,ON K0A 1B0",Public,Par 72,"Ashton, ON",(613) 257-5181,6410,https://www.glenmar.ca,https://www.golfcanada.ca/golf-facility/stittsville-golf-course-en/
18,"https://www.google.com/maps/place/11191 ON-27 Kleinburg,ON L0J 1C0",Public,Par 72,"Kleinburg, ON",(905) 893-3370,6948,,https://www.golfcanada.ca/golf-facility/copper-creek-golf-club-en/
18,"https://www.google.com/maps/place/533 Dominion Ave Port Coquitlam,BC V3E 3G7",Public,Par 71,"Port Coquitlam, BC",(604) 941-4076,6299,https://carnoustiegolf.ca,https://www.golfcanada.ca/golf-facility/carnoustie-golf-club-en/
18,"https://www.google.com/maps/place/RR#1, 160 Inn Road - S-11, C-1 Parry Sound,ON P2A 2W7",Semi-private,Par 72,"Parry Sound, ON",(705) 389-9577,6815,,https://www.golfcanada.ca/golf-facility/ridge-at-manitou-golf-club-en/
18,"https://www.google.com/maps/place/1961 King George's Park Drive Rosslyn,ON P7K 0N8",Semi-private,Par 72,"Rosslyn, ON",(807) 623-4653,7293,https://www.whitewatergolf.com,https://www.golfcanada.ca/golf-facility/whitewater-golf-club-inc-en/
18,"https://www.google.com/maps/place/6044 Rideau Valley Dr N Manotick,ON K4M 1B3",Private,Par 72,"Manotick, ON",—,7042,https://www.rideauview.com,https://www.golfcanada.ca/golf-facility/rideau-view-golf-club-en/
18,"https://www.google.com/maps/place/400 Augier Avenue Winnipeg,MB R3K 1S4",Private,Par 72,"Winnipeg, MB",2048321306,6730,https://www.glendalegolf.ca,https://www.golfcanada.ca/golf-facility/glendale-golf-country-club-en/
—,"https://www.google.com/maps/place/Box 99 Wardsville,ON N0L 2N0",Public,Par 71,"Wardsville, ON",(519) 693-492,5713,,https://www.golfcanada.ca/golf-facility/wardsville-golf-club-en-3/
18,"https://www.google.com/maps/place/1145 Chemin du Petit-Bernier Saint-Jean-sur-Richelieu,QC J3B 6Y8",Public,Par 72,"Saint-Jean-sur-Richelieu, QC",(450) 346-6090,6641,https://www.golfvalleedesforts.com,https://www.golfcanada.ca/golf-facility/vallee-des-forts-club-de-golf-en/
18,"https://www.google.com/maps/place/70 Westchester Avenue 70 Westchester Avenue St. Catharines,ON L2R 3P4",Private,Par 72,"St. Catharines, ON",(905) 682-8206,6766,https://www.stgcc.com,https://www.golfcanada.ca/golf-facility/st-catharines-golf-country-club-en/
18,"https://www.google.com/maps/place/4612 Blackcomb Way Whistler,BC V8E 0Z5",Semi-private,Par 72,"Whistler, BC",(604) 938-2092,6635,,https://www.golfcanada.ca/golf-facility/chateau-whistler-golf-club-en/
18,"https://www.google.com/maps/place/4 Avenue SW Carman,MB R0G 0J0",Semi-private,Par 71,"Carman, MB",2047452366,5969,https://www.carmangolfandcurlingclub.com,https://www.golfcanada.ca/golf-facility/carman-golf-curling-club-en/
18,"https://www.google.com/maps/place/P.O. Box 8 Belle River,ON N0R 1A0",Semi-private,Par 71,"Belle River, ON",(519) 728-2361,5819,https://www.rochesterplace.com,https://www.golfcanada.ca/golf-facility/rochester-place-golf-course-en/
9,"https://www.google.com/maps/place/Box 337 Canwood,SK S0J 0K0",Public,Par 70,"Canwood, SK",(306) 468-2663,5726,,https://www.golfcanada.ca/golf-facility/canwood-pines-golf-club-en/
18,"https://www.google.com/maps/place/3290-9Th Street South St. Catharines,ON L2R 6P7",Semi-private,Par 72,"St. Catharines, ON",(905) 641-4536,6907,,https://www.golfcanada.ca/golf-facility/rockway-vineyards-golf-club-en/
9,"https://www.google.com/maps/place/PO Box 84 Manning,AB T0H 2M0",Public,Par 72,"Manning, AB",780-836-2176,6376,,https://www.golfcanada.ca/golf-facility/condy-meadows-golf-rv-park-en/
18,"https://www.google.com/maps/place/PO Box 1011 Wilkie,SK S0K 4W0",Public,Par —,"Wilkie, SK",(306) 843-2035,—,,https://www.golfcanada.ca/golf-facility/wilkie-golf-club-en/
9,S0A 1B0,Public,Par 0,—,(306) 534-4724,0,,https://www.golfcanada.ca/golf-facility/carlton-trail-reg-park-golf-club-en/
18,"https://www.google.com/maps/place/200 Summerhill Row Fredericton,NB E3G 0C4",Public,Par 72,"Fredericton, NB",—,6765,,https://www.golfcanada.ca/golf-facility/west-hills-golf-course-en/
27,"https://www.google.com/maps/place/3700 Beaverdale Rd Cambridge,ON N3H 4R7",Semi-private,,"Cambridge, ON",1-888-833-8787,,https://www.golfbrookfield.ca,https://www.golfcanada.ca/golf-facility/brookfield-golf-club-en/
18,"https://www.google.com/maps/place/2135 County Road 12 2135 County Road 12 Essex,ON N8M 2X6",Public,Par 72,"Essex, ON",(519) 726-6179,6901,https://www.suttoncreekgolf.com,https://www.golfcanada.ca/golf-facility/sutton-creek-golf-club-en/
18,"https://www.google.com/maps/place/2680 Boulevard du Saguenay Jonquière,QC G7S 4L1",Semi-private,Par 70,"Jonquière, QC",(418) 548-9353,6243,https://www.golfsaguenayarvida.com,https://www.golfcanada.ca/golf-facility/saguenay-arvida-club-de-golf-en/
18,"https://www.google.com/maps/place/6177 Ripple Way Sechelt,BC V7Z 0R2",Public,Par 72,"Sechelt, BC",(604) 885-2700,6553,,https://www.golfcanada.ca/golf-facility/blue-ocean-golf-club-en/
36,"https://www.google.com/maps/place/625 Rockway Drive Kitchener,ON N2G 3B5",Public,Par 70,"Kitchener, ON",(519) 741-2583,5512,,https://www.golfcanada.ca/golf-facility/rockway-golf-course-en/
18,"https://www.google.com/maps/place/1217 North Muldrew Lake Road 1217 North Muldrew Lake Road Gravenhurst,ON P1P 1T9",Semi-private,Par 72,"Gravenhurst, ON",(866) 361-7529,7367,,https://www.golfcanada.ca/golf-facility/muskoka-bay-resort-en/
18,"https://www.google.com/maps/place/320 Thompson Rd Thunder Bay,ON P7G 1L3",Public,Par 72,"Thunder Bay, ON",(807) 767-460,6632,https://centennialgolfcourse.ca,https://www.golfcanada.ca/golf-facility/centennial-pines-golf-course-en/
18,"https://www.google.com/maps/place/Box 492 Eastend,SK S0N 0T0",Public,Par —,"Eastend, SK",(306) 295-3292,—,,https://www.golfcanada.ca/golf-facility/streambank-golf-club-en/
18,"https://www.google.com/maps/place/P.O. Box 138 Ingonish Beach,NS B0C 1L0",Public,Par 72,"Ingonish Beach, NS",(902) 285-2600,6592,https://www.golfcapebretonhighlands.ca,https://www.golfcanada.ca/golf-facility/cape-breton-highlands-links-en/
18,"https://www.google.com/maps/place/4600 Rue Saint-Félix Quebec,QC G1Y 3B3",Semi-private,Par 72,"Quebec, QC",418-658-0711,6724,https://www.golfcap-rouge.qc.ca,https://www.golfcanada.ca/golf-facility/cap-rouge-club-de-golf-en/
18,"https://www.google.com/maps/place/P.O. Box 59 St. Andrew's,NL A0N 1W0",Public,Par 70,"St. Andrew's, NL",(709) 955-3322,5846,,https://www.golfcanada.ca/golf-facility/st-andrews-na-creige-golf-course-en/
18,"https://www.google.com/maps/place/706 Tenth Line Collingwood,ON L9Y 5H4",Semi-private,Par 72,"Collingwood, ON",(705)4453911,6359,,https://www.golfcanada.ca/golf-facility/blue-mountain-golf-country-club-en/
18,"https://www.google.com/maps/place/PO Box 206 North Sydney,NS B2A 3M3",Semi-private,Par 71,"North Sydney, NS",(902) 794-4111,6174,https://seaviewgcc.com,https://www.golfcanada.ca/golf-facility/seaview-golf-country-club-en/
27,"https://www.google.com/maps/place/Box 99 Wardsville,ON N0L 2N0",Public,,"Wardsville, ON",(519) 693-4921,,,https://www.golfcanada.ca/golf-facility/wardsville-golf-club-en-2/
18,"https://www.google.com/maps/place/15580 Cabot Trail Rd PO Box 414 Cheticamp,NS B0E 1H0",Public,Par 72,"Cheticamp, NS",(902) 224-3338,6787,https://www.leportagegolfclub.com,https://www.golfcanada.ca/golf-facility/le-portage-golf-club-en/
18,"https://www.google.com/maps/place/Box 9-43 Canora,SK S0A 0L0",Public,Par 72,"Canora, SK",(306) 792-4600,6142,https://www.goodspiritgolfresort.com,https://www.golfcanada.ca/golf-facility/good-spirit-golf-resort-en/
18,"https://www.google.com/maps/place/1012 Golf Avenue Windermere,ON P0B 1P0",Semi-private,Par 72,"Windermere, ON",—,6260,https://www.windermeregolf.ca,https://www.golfcanada.ca/golf-facility/windermere-golf-country-club-en/
18,"https://www.google.com/maps/place/3180 Grasswood Road West Saskatoon,SK S7T 1A1",Private,Par 72,"Saskatoon, SK",(306) 373-8687,7057,https://www.riversidecc.ca,https://www.golfcanada.ca/golf-facility/riverside-country-club-en/
18,"https://www.google.com/maps/place/639 Willow Park Dr. SE Calgary,AB T2J 0L6",Private,Par 71,"Calgary, AB",(403) 271-4231,6533,https://www.willowparkgolf.com,https://www.golfcanada.ca/golf-facility/willow-park-golf-country-club-en/
18,"https://www.google.com/maps/place/Highway 118 - Box 279 Port Carling,ON P0B 1J0",Private,Par 70,"Port Carling, ON",(705) 765-6600,6430,https://www.portcarlinggc.com,https://www.golfcanada.ca/golf-facility/port-carling-golf-country-club-en/
18,"https://www.google.com/maps/place/Box 118 Candle Lake,SK S0J 3E0",Public,Par 73,"Candle Lake, SK",(306) 929-2211,6432,https://candlelakegolfresort.com,https://www.golfcanada.ca/golf-facility/candle-lake-golf-club-en/
18,"https://www.google.com/maps/place/1137 Old Highway 117 Baysville,ON P0B 1A0",Private,Par 72,"Baysville, ON",(705) 635-2582,7166,,https://www.golfcanada.ca/golf-facility/bigwin-island-golf-club-en/
27,"https://www.google.com/maps/place/120 Indian Creek Road, West Chatham,ON N7M 2E2",Semi-private,,"Chatham, ON",(519)351-3672,,,https://www.golfcanada.ca/golf-facility/the-links-of-kent-golf-club-en/
18,"https://www.google.com/maps/place/855 Chemin Ste Catherine, QC J0P 1X0 Saint-Polycarpe,QC J0P 1X0",—,,"Saint-Polycarpe, QC",(450) 267-3666,,,https://www.golfcanada.ca/golf-facility/st-polycarpe-club-de-golf-en/
18,"https://www.google.com/maps/place/QC-207 Kahnawake,QC J0L 1B0",Semi-private,Par 70,"Kahnawake, QC",—,6206,https://www.caughnawagagolfclub.com,https://www.golfcanada.ca/golf-facility/caughnawaga-golf-club-en/
18,"https://www.google.com/maps/place/4331 Egremont Rd Camlachie,ON N0N 1E0",Semi-private,Par 68,"Camlachie, ON",(519) 899-4495,—,,https://www.golfcanada.ca/golf-facility/camlachie-golf-country-club-en/
18,"https://www.google.com/maps/place/Box 59 Thedford,ON N0M 2N0",Semi-private,Par 72,"Thedford, ON",(519) 296-4653,6302,,https://www.golfcanada.ca/golf-facility/widder-station-golf-grill-tap-house-en/
18,"https://www.google.com/maps/place/511 Chemin Antoine-Boucher Gatineau,QC J9J 3M5",Public,Par 72,"Gatineau, QC",819-684-4465,6035,,https://www.golfcanada.ca/golf-facility/vieux-moulins-club-de-golf-les-en/
36,"https://www.google.com/maps/place/3200 Via Centrale Kelowna,BC V1V 2A4",Public,,"Kelowna, BC",2507655955,,https://www.golfbc.com,https://www.golfcanada.ca/golf-facility/the-okanagan-golf-club-en/
9,"https://www.google.com/maps/place/72039 Rd 43E Beausejour,MB R0E0C0",Public,Par 68,"Beausejour, MB",—,5060,,https://www.golfcanada.ca/golf-facility/rivers-edge-golf-course-en/
9,"https://www.google.com/maps/place/PO Box 84, highway 24 Chitek Lake,SK S0J 0L0",Public,Par 70,"Chitek Lake, SK",(306) 984-4514,5892,,https://www.golfcanada.ca/golf-facility/chitek-lake-golf-club-en/
18,"https://www.google.com/maps/place/1275 Hamilton Rd London,ON N5X 1B1",Semi-private,Par 62,"London, ON",—,—,,https://www.golfcanada.ca/golf-facility/east-park-golf-gardens-en/
18,T0J 0G0,Public,Par —,—,—,—,,https://www.golfcanada.ca/golf-facility/big-valley-golf-course-en/
18,"https://www.google.com/maps/place/400 Beacon Hall Dr Aurora,ON L4G 0L3",Private,Par 72,"Aurora, ON",(905) 841-9122,7148,,https://www.golfcanada.ca/golf-facility/beacon-hall-golf-club-en/
18,"https://www.google.com/maps/place/4001 Whistler Way Whistler,BC V0N 1B4",Public,Par 71,"Whistler, BC",(604) 932-3280,6678,,https://www.golfcanada.ca/golf-facility/whistler-golf-club-en/
18,T0M 0R0,Public,Par —,—,—,—,,https://www.golfcanada.ca/golf-facility/tooth-of-the-dogpound-creek-golf-course-en/
