addr:housenumber,addr:postcode,addr:street,name,building,addr:city,opening_hours,phone,website,addr:province,payment:cash,payment:debit_cards,payment:mastercard,payment:visa,sport,indoor,source,operator,note,fax,landuse,addr:full,golf,golf:course,golf:par,surface,layer,start_date,description,old_name,email,mapillary,wheelchair,winter_service,operator:type,operator:wikidata,addr:hamlet,tourism,facebook,image,barrier,addr:country,designation,demolished,source:name,type,contact:city,contact:housenumber,contact:street,fixme,area,area_m2,lat,lon,province,gcid
,,,Country Side Golf Course,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598850.6524577275,53.43576220851544,-113.30156964426445,Alberta,AA00079
,,,Cottonwood Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598601.0344712714,50.85113303089336,-113.86004295051312,Alberta,AA00131
,,,Lynx Ridge Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591414.9885056549,51.116489535780794,-114.26303426097112,Alberta,AA00080
260,T5T 4B7,Suder Greens Drive NW,Lewis Estates Golf Course,,Edmonton,,,,AB,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,589332.1581446005,53.52232145354095,-113.67619975556693,Alberta,AA00034
1211,,1 Avenue East,Brooks Golf Club,,Brooks,Su-Fr 09:00-20:00; Sa 10:00-20:00,+1-403-362-2998,https://www.brooksgolfclub.ca/,AB,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,586451.6656159321,50.5576560142603,-111.87454629467814,Alberta,AA00135
,,,Glendale Golf & Country Club,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586094.4960133035,53.581254256609924,-113.67025405316714,Alberta,AA00090
,,,Wintergreen Golf and Country Club,,,,+1-403-949-3333,https://wintergreengolf.com/,,,,,,,,,,,,,,,,,,,,,,information@wintergreengolf.com,,,,,,,,,,,,,,,,,,,,,583123.0951268036,50.98319835497112,-114.5666587367057,Alberta,AA00262
,,,Waterton Lakes Golf Course,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581233.2777141203,49.079242804528704,-113.88886080342827,Alberta,AA00143
,,,Royal Mayfair Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581075.3518108311,53.53329164009891,-113.54686974613197,Alberta,AA00291
,,,Redcliff Golf Course,,,,,,,,,,,,,local_knowledge,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,581002.9308236623,50.058532019283014,-110.77913857582439,Alberta,AA00139
,,,Alberta Beach Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580627.2107391396,53.68668101381057,-114.33831296838503,Alberta,AA00246
,,,The Links Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579213.6954385411,53.56522814104299,-113.89982206932717,Alberta,AA00164
1194,T1B 1W2,27 Street Southeast,Connaught Golf Club,,Medicine Hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golf Course,,,,,,,,,575921.6409635678,50.013280045663585,-110.67308754162758,Alberta,AA00113
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570689.5298599121,57.05363500611006,-117.56422089452813,Alberta,AA00304
,,,Edson Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568414.6017656863,53.58076813550985,-116.40294052712294,Alberta,AA00184
18,,Fairway Drive,Stony Plain Golf Course,,Stony Plain,,,https://golfstonyplain.com/,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,562120.8531721308,53.530499539666906,-113.97613066895411,Alberta,AA00043
,,,Leduc Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559842.6815260978,53.2541695166124,-113.56819471391694,Alberta,AA00078
,,,Camrose Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559816.7877143396,53.02525250104321,-112.84862901586794,Alberta,AA00149
,,,Derrick Golf and Winter Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555236.7093023035,53.46829466718323,-113.54425085417604,Alberta,AA00063
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554471.1811411325,50.70725927699837,-113.91248581732096,Alberta,AA00140
6540,T3E 5L2,20 Street SW,Earl Grey Golf Club,,,,+1-403-249-5548,https://www.earlgreygolfclub.com/,,,,,,,,,,,+1-403-246-2458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552902.4997202508,50.992903332382305,-114.1110841615366,Alberta,AA00052
,,,Victoria Golf Course,,,Mo-Su 06:00-10:00,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,550563.4404965776,53.53647968808332,-113.52625763698252,Alberta,AA00062
,,,Eagle Rock Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548597.125291779,53.362913751194306,-113.31215460720809,Alberta,AA00239
,,,Sundre Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545159.6359894734,51.79914039190163,-114.60830611290733,Alberta,AA00219
,,,Carstairs Community Golf Course,,,,,,,,,,,,,,Town Of Carstairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543366.1941465643,51.5740844697736,-114.08933042564126,Alberta,AA00152
,,,Willow Park Golf Course,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,542627.8977532538,50.95564536109295,-114.05221971907802,Alberta,AA00027
4909,,44 Street,Taber Golf Club,,,,,https://www.tabergolf.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536560.9755185687,49.78199988478706,-112.16327718228823,Alberta,AA00174
947,T1C 1R2,Pigeon St NE,Medicine Hat Golf and Country Club,,Medicine Hat,,,,AB,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528036.0262151492,50.04916749225551,-110.65826925047253,Alberta,AA00114
251,T5Y 6K8,153 Avenue NE,Raven Crest Golf & Country Club,,Edmonton,Mo-Su 06:30-21:30,+1-780-408-8687,https://countryclubtour.com,AB,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515682.80489473307,53.610878076937105,-113.33786429341718,Alberta,AA00228
,,,Drumheller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513812.07828604523,51.48418694853792,-112.79942688907254,Alberta,AA00268
,,,JR Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513395.67636622716,53.60824716600648,-113.78333301894033,Alberta,AA00089
,,,Calgary Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488949.9061503197,51.00425694229925,-114.08854790900045,Alberta,AA00054
,,,Vegreville Kinsmen Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488849.5825529392,53.51807772506171,-112.03843779541448,Alberta,AA00315
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484284.01173407387,53.885009135123575,-110.92709600098573,Alberta,AA00145
,,,Lacombe,,,,,,,,,,,golf,,NRCan-CanVec-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481913.1330511568,52.467055680581225,-113.75466837814125,Alberta,AA00108
,,,Henderson Lake Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474870.93008923525,49.68526583213329,-112.79513530160862,Alberta,AA00060
,,,Twin Willows Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473111.0512531381,53.6023499674979,-113.59661763486912,Alberta,AA00189
125,T3Z,Hackamore Trail,Springbank Links Golf Club,,Calgary,,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464185.9847060313,51.11394252054372,-114.30873876759482,Alberta,AA00141
,,,Shaganappi Point Golf Course - 18 Holes,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,463989.86461059493,51.045089350936976,-114.12649445781,Alberta,AA00025
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452903.3673203048,53.05095570915347,-113.99260053328894,Alberta,AA00097
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450515.82839983836,53.43959722101655,-113.3129313676473,Alberta,AA00234
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450515.82839983836,53.43959722101655,-113.3129313676473,Alberta,AA00235
,,,Elk Island Golf Course,,,,+1-780-998-3161,https://www.elkislandgolf.com/,,,,,,,,,Parks Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447748.43409766577,53.668823334034336,-112.8291413681926,Alberta,AA00232
,,,Fox Hollow Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443786.7120056896,51.07465644168433,-114.03181806937108,Alberta,AA00056
234024,T1X 0J8,Range Road 285,Heather Glen Golf Course,,,,+1-403-236-4653,https://www.heatherglengolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439413.4544874937,50.98352100857931,-113.88473074941409,Alberta,AA00209
,,,Riverside Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423207.5298167406,53.55245558348373,-113.46005012123304,Alberta,AA00064
53213,,Highway 31,Pineridge Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412638.0480363403,53.574436763686315,-114.73031500766736,Alberta,AA00254
,,,Dreamcatcher Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406298.3407246482,53.54593565120935,-116.7833870440901,Alberta,AA00215
,,,Oyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401955.2805355942,51.346118890227764,-110.46918730024629,Alberta,AA00272
,,,Fairview Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396839.2345014774,56.07753046398473,-118.38496740730619,Alberta,AA00176
,,,Silver Springs Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394749.66064634756,51.09645682774124,-114.17378049478144,Alberta,AA00061
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393450.57842452265,58.54646030938694,-117.10893996207058,Alberta,AA00303
,,,Unknown Golf Course,,,,,,,,,,,,,survey & Esri World Imagery 13-08-20,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391559.5887654549,50.74258253217262,-111.90275756852319,Alberta,AA00265
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388378.5254488616,53.033136774117125,-110.28030959664692,Alberta,AA00168
,,,Rundle Park Golf Course,,,,,,,,,,,,,,City of Edmonton,,,,,,,,,,,,,,,,,public,Q2096,,,,,,,,,,,,,,,,387897.01352957165,53.56937028063655,-113.38245238315159,Alberta,AA00162
,,,Devon Golf & Conference Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385777.6057685454,53.366989586998685,-113.7098978617323,Alberta,AA00136
,,,Daysland Golf Course,,,,,,,,,,,,,,Town of Daysland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385102.46237594355,52.87058516413615,-112.26342595509564,Alberta,AA00236
,,,St. Paul Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383044.5418133357,53.98685971203256,-111.31148070429359,Alberta,AA00212
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374816.47215175943,53.368303788672236,-111.15205237825334,Alberta,AA00260
,,,Moose Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374107.3490238523,53.238502753556304,-114.04330735073648,Alberta,AA00269
3204,,Collingwood Drive NW,Confederation Park Golf Course,,Calgary,,,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Confederation-Park.aspx,,,,,,,,,City of Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359738.62186139764,51.078485953111326,-114.09981167100416,Alberta,AA00051
5414,T0B 4K0,55 Street,Two Hills Lions Golf & Country Club,,Two Hills,,,https://twohillsgolf.com,Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359051.1434395939,53.713202717717124,-111.75919105202065,Alberta,AA00181
9,T1S 1A4,Crystal Green Lane,Crystal Ridge Golf Club,,Okotoks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,358901.00283556397,50.73606822277531,-113.94559157203977,Alberta,AA00030
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352011.5570174465,52.33039766599702,-114.05841419088428,Alberta,AA00110
60017,T7P 2P6,Range Road 272,Westlock Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350856.75467118854,54.15610458831741,-113.94770492920931,Alberta,AA00091
,,,Chinook Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350796.72526681924,55.59727072871932,-118.84697428774291,Alberta,AA00207
,,,Ardmore Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337353.52632632595,54.33853203052105,-110.47475964696865,Alberta,AA00277
3245,T1B 4B3,10 Avenue Southwest,Cottonwood Coulee Golf Course,,Medicine Hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331677.52775228454,50.007336303715235,-110.70467905274712,Alberta,AA00223
,,,Silver Springs Golf & Country Club,,,,,,,,,,,,,,,boundary aligned 2017-04 using Calgary open data Land Use Poly's; may not match fence lines well in some places (eg near roads),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330743.2813215727,51.10195570000226,-114.17288553941096,Alberta,AA00050
,,,Akokiniskway Greens Golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,yes,330453.53311414307,51.301705152668994,-112.9447106392263,Alberta,AA00031
,,,Pincher Creek Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323529.9995703762,49.48007237401122,-113.94214684857138,Alberta,AA00156
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316403.028958574,56.19869441461254,-118.58233732756402,Alberta,AA00305
,,,Vulcan Golf & Country Club (back nine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313501.0207161116,50.392805548809854,-113.27345844462634,Alberta,AA00302
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306243.5831759259,52.61235695464761,-114.24792975610303,Alberta,AA00105
,,,Viking Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304228.93134757975,53.092685460622775,-111.76377935139908,Alberta,AA00198
,,,Raymond Golf Course,,,,,,,,,,,,,,Town of Raymond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304085.8064611315,49.460236233331685,-112.64269893828163,Alberta,AA00213
,,,Vermilion Golf and Country Club,,,,+1 780 8534444,https://vermiliongolf.ca,,,,,,,,,,,,,,,,,,,,,,vgcc@telus.net,,,,,,,,,,,,,,,,,,,,,294188.0676199232,53.333804294329646,-110.8510506406849,Alberta,AA00278
,,,Vulcan Golf & Country Club (front nine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289793.7400421347,50.40086164999003,-113.2744952200584,Alberta,AA00161
,,,Bow Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279935.09336351225,49.86148403283979,-111.37459533600307,Alberta,AA00294
,,,Fawn Meadows Golf and Country Club,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278353.4921979752,52.19769727299752,-113.22249470661806,Alberta,AA00220
4944,,53 Street,Redwater Community Golf Club,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277874.8866176486,53.95275516292601,-113.12130162525762,Alberta,AA00095
,,,Drumheller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273017.721782376,51.479668010143094,-112.8034995129746,Alberta,AA00132
,,,Stettler Golf and Country Club Grounds,,,,,,,,,,,,,,Stettler Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272923.2995625145,52.32075488975338,-112.7237457086497,Alberta,AA00170
,,,Deer Meadows Golf Course & RV Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271679.1269260284,53.58823986982287,-113.80531991349841,Alberta,AA00243
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264861.7563173518,53.364250511820494,-112.67706025081743,Alberta,AA00293
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260917.36199630186,50.05364620014471,-112.14114000148132,Alberta,AA00266
57309,,Highway 22,Mayerthorpe Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258980.7790929776,53.93502699095632,-115.1355149517965,Alberta,AA00196
,,,Rainbow Lake Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258905.84319602756,58.505280460577424,-119.40562377834252,Alberta,AA00247
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257929.11114325887,53.910829686522014,-114.37913705526987,Alberta,AA00249
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257114.11051043618,54.04493074906543,-111.31413470379145,Alberta,AA00133
,,,Unknown Golf Course,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256524.7994433875,55.73731382710689,-118.78091972543317,Alberta,AA00311
,,,Fort Sask Golf and Curling Club,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255132.0754432655,53.70571348981624,-113.20262242809241,Alberta,AA00096
,,,Bassano Golf Club,,,+1 403 641 4016,,http://www.bassanogolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254215.87031110865,50.79135289262666,-112.47953490038574,Alberta,AA00273
,,,Woodside Golf Course,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249587.4440872332,51.29639730009759,-114.04145840199955,Alberta,AA00104
,,,Trochu Golf and Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247198.2531959577,51.81875298392228,-113.23711491519495,Alberta,AA00197
,,,Breton,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245748.15226301894,53.11624613628489,-114.47183288405621,Alberta,AA00098
12240,T5V1T8,199 Street NW,Dragon's Head Par 3 Golf Club,,Edmonton,Mo-Su 08:00-21:00,+1-780-944-4653,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232017.80578346367,53.57650277272008,-113.67048842513462,Alberta,AA00313
5400,,50 Street,Sedgewick Golf Club,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217715.301606466,52.782568886613035,-111.6939459206593,Alberta,AA00218
,,,Woodside Golf Course,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213144.7939492425,51.29636755705619,-114.0305930060624,Alberta,AA00103
,,,Kitscoty,,,,,,,,,,,golf,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211756.85333602692,53.33656880089326,-110.32647845877243,Alberta,AA00169
,,,Indian Hill Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209295.6179453875,49.64650316387643,-112.46922269536428,Alberta,AA00275
90,T1B 4W1,Gehring Road SW,Paradise Valley Golf Course,,Medicine Hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204975.98835288134,50.010443894129956,-110.6959233778985,Alberta,AA00222
,,,Bondiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204610.68885878252,54.60674257293931,-112.70560859941504,Alberta,AA00241
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202628.14243998495,51.144913987794375,-114.45895400803165,Alberta,AA00310
5201,T0C 1C0,Mary Street,Coronation Golf Club,,Coronation,,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199139.5840612849,52.09810652865598,-111.45168130522028,Alberta,AA00292
,,,Bowden Hi-Way Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198484.2586136024,51.92797507542439,-114.02913451354601,Alberta,AA00165
,,,Acme Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196891.51981496712,51.49932138048868,-113.49978219850131,Alberta,AA00180
,,,Fort Macleod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193534.72862619735,49.72114026485667,-113.42775993320193,Alberta,AA00179
,,,Foremost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192923.76804503397,49.4744691964695,-111.45015932257586,Alberta,AA00226
,,,Heritage Pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192161.04041320042,50.846726267670554,-113.98370392373498,Alberta,AA00121
,,,Elkwater Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190877.2977171479,49.61232224880588,-110.28761701056372,Alberta,AA00301
,,,Highland Golf & Country Club (Closed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182928.7661536866,51.09293474240235,-114.06798166333705,Alberta,AA00057
,,,Riverside Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177336.3645758703,49.14673013136836,-112.07996133291965,Alberta,AA00283
,,,Didsbury Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175439.5168047054,51.66094394684883,-114.15151606106656,Alberta,AA00153
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170512.37765056035,54.98360878921312,-117.1947932861072,Alberta,AA00256
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170020.01964917203,58.38934070629352,-116.0088812987988,Alberta,AA00208
,T0E 0T0,,Pembina Valley Golf Club,,Evansburg,,,,,,,,,,,,PVGC Board of Directors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169728.44957203302,53.61306120132274,-115.01526528740575,Alberta,AA00210
,,,Spring Creek Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168483.50770213167,53.801018809617645,-113.42526921784146,Alberta,AA00306
,,,Ross Haven,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166448.3352131097,53.735092134874485,-114.40751901458344,Alberta,AA00094
7100,,15 Street SE,Golfuture YYC,,,,+1-403-640-3555,https://golfutureyyc.com/,,,,,,,,,,,,,,,,,,,,"public golf course, driving range & putting course",Golf Canada Calgary Centre,,,,,,,,,,,,,,,,,,,,,,165479.76158950082,50.99230855697049,-114.02637252587475,Alberta,AA00221
,,,Provost & District Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163880.89564615773,52.34849684764145,-110.25728295333425,Alberta,AA00296
,,,Heritage Pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151132.92930648907,50.838934202199056,-113.98385493301238,Alberta,AA00124
,,,Heritage Pointe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150418.3762794177,50.83875950216602,-113.97838611646516,Alberta,AA00125
,,,Cochrane Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143947.0891761212,51.1758431614081,-114.4730888717124,Alberta,AA00047
,,,Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143712.0732975501,50.228655227578905,-111.77191384843579,Alberta,AA00151
,,,Barrhead,,,,,,,,,,,golf,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139047.15618842005,54.11438767558529,-114.40568863252707,Alberta,AA00093
,,,Bridge Valley Golf Course,,,,,https://bridgevalleygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133289.82284882182,49.70364957278107,-112.87308959146196,Alberta,AA00258
,,,Shaganappi Point Golf Course - Valley 9,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,131981.74655482726,51.04427037807621,-114.12753912462563,Alberta,AA00129
