gcid,name,province,lat,lon,area_m2,addr:city,addr:country,addr:full,addr:hamlet,addr:housenumber,addr:postcode,addr:province,addr:street,area,barrier,building,contact:city,contact:housenumber,contact:street,demolished,description,designation,email,facebook,fax,fixme,golf,golf:course,golf:par,image,indoor,landuse,layer,mapillary,note,old_name,opening_hours,operator,operator:type,operator:wikidata,payment:cash,payment:debit_cards,payment:mastercard,payment:visa,phone,source,source:name,sport,start_date,surface,tourism,type,website,wheelchair,winter_service,access,addr:unit,alt_name,attribution,branch,brand,canvec:code,contact:country,contact:email,contact:facebook,contact:phone,contact:postcode,contact:province,contact:website,created_by,fee,instagram,source:addr,source:url,wikidata,wikipedia,club,contact:instagram,url,wikipedia:en,mobile,name:en,name:fr,addr:district,addr:housename,addr:suburb,amenity,disused,fence_type,operational_status,canvec:uuid,check_date,entrance,historic,holes,natural,opendata:type,owner,payment:club_account,payment:maestro,payment:visa_debit,ref,tents,wheelchair:description,abandoned,addr:borough,addr:source,internet_access,opening_hours:signed,phone:mnemonic,short_name
AA00180,Acme Golf Club,Alberta,51.49932138048868,-113.49978219850131,196891.51981496712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00179,Fort Macleod,Alberta,49.72114026485667,-113.42775993320193,193534.72862619735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00226,Foremost,Alberta,49.4744691964695,-111.45015932257586,192923.76804503397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00121,Heritage Pointe,Alberta,50.846726267670554,-113.98370392373498,192161.04041320042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00301,Elkwater Golf Course,Alberta,49.61232224880588,-110.28761701056372,190877.2977171479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00057,Highland Golf & Country Club (Closed),Alberta,51.09293474240235,-114.06798166333705,182928.7661536866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00283,Riverside Golf Course,Alberta,49.14673013136836,-112.07996133291965,177336.3645758703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00153,Didsbury Golf Club,Alberta,51.66094394684883,-114.15151606106656,175439.5168047054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00256,Unknown Golf Course,Alberta,54.98360878921312,-117.1947932861072,170512.37765056035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00208,Unknown Golf Course,Alberta,58.38934070629352,-116.0088812987988,170020.01964917203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00210,Pembina Valley Golf Club,Alberta,53.61306120132274,-115.01526528740575,169728.44957203302,Evansburg,,,,,T0E 0T0,,,,,,,,,,,,,,,,,,,,,,,,,,,PVGC Board of Directors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00306,Spring Creek Golf Course,Alberta,53.801018809617645,-113.42526921784146,168483.50770213167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00094,Ross Haven,Alberta,53.735092134874485,-114.40751901458344,166448.3352131097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRCan-CanVec-7.0,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00221,Golfuture YYC,Alberta,50.99230855697049,-114.02637252587475,165479.76158950082,,,,,7100,,,15 Street SE,,,,,,,,"public golf course, driving range & putting course",,,,,,,,,,,,,,,Golf Canada Calgary Centre,,,,,,,,,+1-403-640-3555,,,,,,,,https://golfutureyyc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00296,Provost & District Golf Club,Alberta,52.34849684764145,-110.25728295333425,163880.89564615773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00124,Heritage Pointe,Alberta,50.838934202199056,-113.98385493301238,151132.92930648907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00125,Heritage Pointe,Alberta,50.83875950216602,-113.97838611646516,150418.3762794177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00047,Cochrane Golf Club,Alberta,51.1758431614081,-114.4730888717124,143947.0891761212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00151,Unknown Golf Course,Alberta,50.228655227578905,-111.77191384843579,143712.0732975501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00093,Barrhead,Alberta,54.11438767558529,-114.40568863252707,139047.15618842005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRCan-CanVec-7.0,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00258,Bridge Valley Golf Course,Alberta,49.70364957278107,-112.87308959146196,133289.82284882182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bridgevalleygolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00129,Shaganappi Point Golf Course - Valley 9,Alberta,51.04427037807621,-114.12753912462563,131981.74655482726,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00288,Stavely,Alberta,50.155724376343784,-113.63866122407738,115004.26181592786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00118,Heritage Pointe,Alberta,50.839523420665195,-113.98873544264306,114649.4845102872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00201,Gull Lake Golf Course,Alberta,52.5976859909195,-114.06919367086678,112361.10555765576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00053,Lakeview Golf Course,Alberta,51.00047307093338,-114.10669464130936,112254.87279871665,Calgary,,,,5840,,,19 Street SW,,,,,,,,,,,,,,,,,,,,,,,,,The City of Calgary,,,,,,,+1-403-300-1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00058,Cochrane Golf Club,Alberta,51.17921520529433,-114.47137878935452,107499.95365230954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00199,Evergreen Golf Centre,Alberta,49.671016099276756,-112.76299998342903,106315.68740539304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00190,Calgary,Alberta,50.94621763150435,-114.00286538983985,99722.15122336234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00191,Calgary,Alberta,50.944363107459075,-113.9959952727251,93464.31400397421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00314,Granum,Alberta,49.87041317362799,-113.52041093660428,89133.39104293245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00309,Unknown Golf Course,Alberta,51.177847019463144,-114.2529119379484,87456.64530207173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00084,Country Hills Golf Club,Alberta,51.15158193815578,-114.08008372969051,79165.4272112452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00146,Unknown Golf Course,Alberta,53.65218848646306,-110.34798037514436,78633.24670906372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRCan-CanVec-10.0,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00229,Bogey Busters,Alberta,53.42692491212832,-113.55492171345125,73084.5012519221,,,,,,,,,,,,,,,,,,,,,,driving_range,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00224,Ross Creek Executive Par 3,Alberta,49.990710953052464,-110.62524451452451,70787.52014588642,,,,,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00119,Heritage Pointe,Alberta,50.84705951758471,-113.99978169542018,70590.44779093275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00264,Baker Park Disc Golf Course,Alberta,51.10077037512085,-114.22343379439825,68947.78443960845,Calgary,,,,9333,T2L 4C4,Alberta,Scenic Bow Road NW,,,,,,,,Disc Golf Course (18 Holes),,,,,,,,,,,,,,,,,Calgary Disc Golf Association,,,,,,,,https://www.dgcoursereview.com/course.php?id=4969&mode=lf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00083,Country Hills Golf Club,Alberta,51.15132016812442,-114.07377960631132,64261.26848578548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00049,Silver Springs Golf & Country Club,Alberta,51.10532418120858,-114.17992558767534,61862.27867389042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00144,Unknown Golf Course,Alberta,53.87438478863753,-110.76332428593877,61460.52457129719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRCan-CanVec-10.0,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00192,100-180 Douglas Woods Grove SE,Alberta,50.94259355210312,-113.98654885760901,56560.53847479694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00193,49-73 Douglasview Rise SE,Alberta,50.93771201596786,-113.98802985563768,52747.44781678411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00123,Heritage Pointe,Alberta,50.83497170542939,-113.98263307007531,45824.59952653412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00282,Thorncliffe Disc Golf Course,Alberta,51.09801388324272,-114.05964772278524,45138.31126777691,Calgary,,,,5600,T2K 0T3,Alberta,Centre Street N,,,,,,,,Disc Golf Course (9 Holes),,,,,,,,,,,,,,,,,Calgary Disc Golf Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00194,Calgary,Alberta,50.940218385905176,-113.99559996307019,45112.95066089763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00120,24-42 Summit Pointe Dr,Alberta,50.842041082415555,-113.99229556508058,44465.94850906531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00286,TTB Solar Systems,Alberta,49.428739892903074,-113.50134292728576,36409.71588331361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00287,TTB Solar Systems,Alberta,49.428739892903074,-113.50134292728576,36409.71588331361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00101,Beddington Golf Park,Alberta,51.13547481493758,-114.0661303603809,35834.081057874115,,,,,9284,T3K 0B3,,Harvest Hills Boulevard N,,,,,,,,,,,,,,driving_range,,,,,grass,,,,,Mo-Su 10:00-19:00,Beddington Golf Park,,,,,,,+1-403-686-2171,,,,,,,,https://www.beddingtongolfpark.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00077,Harvest Hills Driving Range and Mini Golf,Alberta,51.15252231061091,-114.03852108683493,34807.68400961736,,,,,,,,,,,,,,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00163,Edmonton,Alberta,53.48341145664772,-113.4298194902345,34383.69626023652,,,,,,,,,,,,,,,,,,,,,,driving_range,,,,,grass,,,,,,Mill Woods Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00206,Confederation Park Driving Range,Alberta,51.08090613385061,-114.10284626117524,33880.96318688084,,,,,3204,,,Collingwood Drive NW,,,,,,,,,,,,,,driving_range,,,,,,,,,,,City of Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00128,Unknown Golf Course,Alberta,50.83577057038322,-114.01955975619923,33763.29525612024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00187,eaglequest Driving Range,Alberta,50.94859327567346,-114.01645144526849,33335.193644641855,,,,,,,,,,,,,,,,,,,,,,driving_range,,,,,,,,,,,eaglequest Golf,,,,,,,,,,,,,,,douglasdale@eaglequestgolf.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00033,Kinsmen Pitch & Putt,Alberta,53.52534200080339,-113.50973751635203,27714.62235557264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,https://kinsmenpitchandputt.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00122,Heritage Pointe,Alberta,50.847350072353045,-113.9943669674191,19383.047525278278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00157,Unknown Golf Course,Alberta,56.262969580226745,-117.34594444706724,17213.576347999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRCan-CanVec-10.0,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA00299,Miskanaw Golf Club Cubs Course,Alberta,56.74080206645159,-111.38076660380753,10326.961760701615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.miskanaw.ca/cubscourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00245,The Quail at Okanagan Golf Course,British Columbia,49.95693934468868,-119.39876041007703,1767325.2659486048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00110,Swaneset Bay Resort & Country Club,British Columbia,49.30686326462936,-122.65949860054863,1755573.7050645507,Pitt Meadows,,,,16651,V3Y1Z1,BC,Rannie Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wcgg.ca/swaneset-bay-resort-country-club/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00111,Swaneset Bay Resort & Country Club,British Columbia,49.30686326462936,-122.65949860054863,1755573.7050645507,Pitt Meadows,,,,16651,V3Y1Z1,BC,Rannie Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wcgg.ca/swaneset-bay-resort-country-club/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00309,Talking Rock Golf Course,British Columbia,50.87986400546251,-119.61518041504225,1737411.6339307034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.quaaoutlodge.com/golf-en.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00021,Northview Golf & Country Club,British Columbia,49.125775415815504,-122.76801870304291,1693447.8999581318,Surrey,,,,6857,V3S 3T6,,168 Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-888-574-2211,,,,,,,multipolygon,https://www.northviewgolf.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00341,Osoyoos,British Columbia,49.022490338169916,-119.48742148883572,1375397.4252781644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00288,Shadow Mountain Golf,British Columbia,49.57644457629442,-115.79154712801385,1238708.1429190799,Cranbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00312,Wildstone,British Columbia,49.542882284963405,-115.76062135389475,1150886.1875375719,Cranbrook,,,,950,V1C 0B4,BC,Wildstone Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00126,Unknown Golf Course,British Columbia,56.32435210862376,-120.99705349322036,1116090.4956938752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRCan-CanVec-7.0,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00310,Tobiano Golf Course,British Columbia,50.73677941571427,-120.69508777662044,1095792.8433653582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tobianogolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00311,Tobiano Golf Course,British Columbia,50.73677941571427,-120.69508777662044,1095792.8433653582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tobianogolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00122,Kitimat Golf Course,British Columbia,54.07754730117432,-128.63555680375327,981684.7154230102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00313,Trickle Creek,British Columbia,49.679212962481174,-115.99519904860493,977873.7920448247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00207,Pheasant Glen Golf Resort,British Columbia,49.33277667258616,-124.42720242456211,974927.9728102054,,,,,1025,,,Qualicum Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 250 752-8786,,,,,,,,https://www.pheasantglen.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00059,Predator Ridge,British Columbia,50.188780200362864,-119.38471207348186,955160.4797469908,Vernon,,,,301,V1H 1T2,,Village Centre Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,Q7239606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00060,Predator Ridge,British Columbia,50.188780200362864,-119.38471207348186,955160.4797469908,Vernon,,,,301,V1H 1T2,,Village Centre Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,Q7239606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00043,The Falls,British Columbia,49.14782055535335,-121.82198090930802,945819.4292529898,Chilliwack,,,,8341,,BC,Nixon Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-604-745-4653,,,,,,,multipolygon,https://www.thefalls.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00032,Bear Mountain Resort - Valley Course,British Columbia,48.484780717561165,-123.5219265812852,880181.7514532899,,,,,,,,,,,,,,,,,,,,,,,18_hole,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,Q4876506,en:Bear Mountain (resort),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00268,Vernon,British Columbia,50.185038267091684,-119.4080923128346,873751.3490538731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00269,Vernon,British Columbia,50.185038267091684,-119.4080923128346,873751.3490538731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00063,Fraserview Golf Course,British Columbia,49.21209498921172,-123.04810379243482,854796.6483631245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00154,Harvest Golf Course,British Columbia,49.854524224208674,-119.4256247021026,849118.0739441372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA00176,Lone Wolf Golf Course,British Columbia,56.16315563859659,-120.67590860574417,844227.8896887794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
